nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bacówka na Rycerzowej - Beskid Żywiecki;;;Soblówka 450, 34-371 Soblówka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2ZGSlSc2FEcRke0xa3NNaiw;49.41888609999999,19.0974711
Bacówka w Jaworcu - Bieszczady;;;Jaworzec, 38-608 Kalnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvR-oYVr7O0cRovvCQ7OwDX8;49.2220434,22.4419945
Bacówka na Krawcowym Wierchu - Beskid Żywiecki;;;Glinka, 34-371 Ujsoły, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqVwKeXQ0FEcRsRBS6nMj_KM;49.4759813,19.2187894
Bacówka w Bartnem - Beskid Niski;;;Bartne 60, 38-307, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc16LwwXNPUcRaloEs8wFhUY;49.5485762,21.3572109
Bacówka na Maciejowej - Gorce;;;34-700 Rabka-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyRKHHvHhFUcRPuOZOd7J228;49.582866,20.0077772
Bacówka nad Wierchomlą - Beskid Sądecki;;;Bacówka nad Wierchomlą, 33-370 Muszyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD7XqPWR1PkcR_u88XN7vJ5w;49.4357881,20.8482695
Bacówka pod Małą Rawką - Bieszczady;;;38-713 Brzegi Górne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkT7NrX7oO0cRsPNaN0mGIHI;49.1170763,22.5811247
Bacówka na Brzance - Pogórze Cieżkowickie;;;Jodłówka Tuchowska 125, 33-173 Jodłówka Tuchowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0cASUwaWPUcRQyGtO74h3b4;49.8436263,21.0969292
Bacówka na Jamnej - Pogórze Cieżkowickie;;;Jamna 14, 32-842 Paleśnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfZjfQkftPUcRWVQ0adr_Qss;49.7698498,20.8312271
Bacówka pod Honem - Bieszczady;;;82, 38-607 Cisna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvx9Gsyb8O0cR7UhjKCzqREM;49.21433099999999,22.3138561
Bacówka pod Bereśnikiem - Beskid Sądecki;;;Języki 22, 34-460 Szczawnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjSvF54kGPkcRFVk-ZQiSd_U;49.4390882,20.4858499
