nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Wielka Czantoria;Pasmo Stożka i Czantorii Beskid Śląski Beskidy Zachodnie;;Wielka Czantoria;https://www.google.com/maps/place/?q=place_id:ChIJKRzOSM0bFEcRscwe0_REvOo;49.678892,18.8049226
Klimczok;Pasmo Klimczaka Beskid Śląski Beskidy Zachodnie;;Klimczok, Szczyrk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKeiR7SggFEcRiwUgvxm9lXo;49.739947,18.9951012
Skrzyczne;Pasmo Baraniej Góry (Pasmo Wiślańskie) Beskid Śląski Beskidy Zachodnie;;Skrzyczne, Szczyrk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm6-fzWIhFEcRHDF_L9_nfrk;49.6844492,19.030162
Czupel;Grupa Magurki Wilkowickiej Beskid Mały Beskidy Zachodnie;;Czupel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW8WhyOmdFkcRI77dvFVmsao;49.7661048,19.1552773
Łamana Skała (Madohora);Grupa Łamanej Skały [Beskid Andrychowski] Beskid Mały Beskidy Zachodnie;;Łamana Skała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuaqOvmaBFkcRJfZfPLtujdU;49.7638888,19.3958333
Wielka Racza;Grupa Wielkiej Raczy [Worek Raczański] Beskid Żywiecki Beskidy Zachodnie;;34-370 Rycerka Górna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAQAAAPA5FEcR_q8KjJcIaJE;49.4128309,18.9695491
Pilsko (Góra Pięciu Kopców);Grupa Pilska i Romanki Beskid Żywiecki Beskidy Zachodnie;;Góra Pięciu Kopców, Korbielów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqRg-Xr4yFEcRhXzT_QE-oj4;49.5311554,19.3189216
Jałowiec;Pasmo Jałowieckie Beskid Żywiecki Beskidy Zachodnie;;Jałowiec, 34-332 Koszarawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTb0YqzfVFUcRNQ0SKYN6Li0;49.6700165,19.4579029
Babia Góra (Diablak);Pasmo Babiogórskie Beskid Żywiecki Beskidy Zachodnie;;Diablak, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFaFpV2rRFUcR6SwkUmtglGo;49.57316950000001,19.5294752
Polica;Pasmo Policy Beskid Żywiecki Beskidy Zachodnie;;Polica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe0qufbvXFUcRQkYjHeAyboE;49.6236111,19.6194444
Bukowiński Wierch;Pasmo Podhalańskiej (Beskid Orawsko-Podhalański) Beskid Żywiecki Beskidy Zachodnie;;Bukowiński Wierch, 34-721 Bukowina-Osiedle, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBcsY-vLdFUcRXLU0MrwKRGM;49.5236111,19.8347222
Lasek (Łosek);Pasma Laskowskie, Pewelskie i Żurawnicy Beskid Makowski (Beskid Średni) Beskidy Zachodnie;;Łosek, 34-340 Pewel Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUbgDV3IrFEcRlLCjrOQ-sLY;49.6416666,19.375
Babica;Pasma Babicy, Barnasiówki i Chełmu [Beskid Myślenicki] Beskid Makowski (Beskid Średni) Beskidy Zachodnie;;Babica, Harbutowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxeExEgFwFkcRb61cbf2JFuU;49.7902777,19.8041666
Koskowa Góra;Pasmo Koskowej Góry [Beskid Myślenicki] Beskid Makowski (Beskid Średni) Beskidy Zachodnie;;Koskowa Góra, 32-437, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW5bJ-5FwFkcRfq2PtA4UmQ0;49.7527777,19.7833333
Lubomir;Pasmo Lubomira i Łysiny [Beskid Myślenicki] Beskid Makowski (Beskid Średni) Beskidy Zachodnie;;Lubomir, 32-412, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG3_Aq5ASFkcRjKuC2YTDI3E;49.7666666,20.0625
Luboń Wielki;[Beskid Myślenicki] Beskid Wyspowy Beskidy Zachodnie;;Mszana Dolna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ0ZqqAULFkcRurZEUT1JP8I;49.6534955,19.9920337
Ćwilin;Beskid Wyspowy Beskidy Zachodnie;;Ćwilin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd1LBSwoPFkcRq6tjVJq9KEY;49.6885384,20.1907039
Mogielica;Beskid Wyspowy Beskidy Zachodnie;;Mogielica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmQX5SUgEFkcRU5V5u0zSSZs;49.65523049999999,20.2768336
Modyń;Beskid Wyspowy Beskidy Zachodnie;;Modyń, 34-608, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx0m86DUCFkcRb7YLGWpw7Lc;49.6208333,20.3763888
Jaworz;Pasmo Łososińskie Beskid Wyspowy Beskidy Zachodnie;;Laskowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrRgkg-n3PUcR-tXPVmSSvxM;49.7207692,20.5214681
Turbacz;Gniazdo Turbacza Gorce Beskidy Zachodnie;;Turbacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpUJJstPiFUcR59YSbwXDXB0;49.5429179,20.1113448
Lubań;Pasmo Lubania Gorce Beskidy Zachodnie;;Lubań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwcKr5tMBPkcRinsox_LO68g;49.4884773,20.3412227
Radziejowa;Pasmo Radziejowej Beskid Sądecki Beskidy Zachodnie;;Radziejowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnbgVkVkIPkcR-VwRndPS_yk;49.4493407,20.6041314
Jaworzyna Krynicka;Pasmo Jaworzyny Krynickiej Beskid Sądecki Beskidy Zachodnie;;Jaworzyna Krynicka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZbRkUex1PkcRKyEZtvlgn64;49.4194444,20.8944444
Kraczonik;Góry Leluchowskie Beskid Sądecki Beskidy Zachodnie;;Kraczonik, 33-370, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpTU8i79wPkcRj491pq8u26o;49.3194444,20.9416667
Kozie Żebro;Góry Grybowskie (Beskid Grybowski) Beskid Niski Beskidy Zachodnie;;Kozie Żebro, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyXRepVPRPUcRcuiu_X4N374;49.462592,21.2035775
Lackowa;Góry Hańczowskie (Hańczowskie Góry Rusztowe) [Beskid Gorlicki] Beskid Niski Beskidy Zachodnie;;Lackowa, 086 02 Petrová, Słowacja;https://www.google.com/maps/place/?q=place_id:ChIJaZ4UqKPXPUcRYtbWa5YL1k8;49.42939819999999,21.0963678
Wątkowa;Pasma Magurskie (Beskid Magurskie) [Beskid Gorlicki] Beskid Niski Beskidy Zachodnie;;Sękowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhyj0BvTMPUcRnsAA2EVPBWs;49.5710121,21.3732432
Baranie;Beskid Dukielski Beskid Niski Beskidy Zachodnie;;Baranie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF6jJ1fIvPEcRxdYZEjeSHpQ;49.4361111,21.6
Kamień;Pasmo Graniczne (Przeł. Beskid nad Czeremchą - Przeł. Łupkowska) Beskid Niski Beskidy Zachodnie;;Przełęcz Pański Kamień, 029 57 Zakamienny Klin, Słowacja;https://www.google.com/maps/place/?q=place_id:ChIJ26FxGAZKFEcRlGQEplJED_k;49.4051276,19.1470775
Tokarnia;Pasmo Bukowicy Beskid Niski Beskidy Zachodnie;;Tokarnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2UqQKAQRPEcRd4h5svMQi-8;49.4323568,22.0323515
Żar;Pieniny Spiskie Pieniny Obniżenie Orawsko- Podhalańskie;;Żar, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTZ4Qbbf5FUcRbWorisS7iLM;49.4194444,20.2277777
Trzy Korony (Okrąglica);Pieniny Właściwe Pieniny Obniżenie Orawsko- Podhalańskie;;34-443 Sromowce Niżne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfab4gHQEPkcRHvZgVRuuwlE;49.4138951,20.4139188
Wysoka (Wysokie Skałki);Małe Pieniny Pieniny Obniżenie Orawsko- Podhalańskie;;34-460 Jaworki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQWvVmRoPPkcRSoceFHnYXI4;49.3811592,20.5559668
Starorobociański Wierch;Tatry Zachodnie Tatry {Łańcuch Tatrzański};;Starorobociański Wierch;https://www.google.com/maps/place/?q=place_id:ChIJYW-yBY-RFUcRUmlIcdPWKg8;49.1997096,19.8198509
Krzesanica;Tatry Zachodnie Tatry {Łańcuch Tatrzański};;Krzesanica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtVwHBJ6NFUcRM0eqJULkNrM;49.23249029999999,19.9120545
Świnica;Tatry Wysokie {Tatry Wschodnie} Tatry {Łańcuch Tatrzański};;Świnica;https://www.google.com/maps/place/?q=place_id:ChIJnyPlv36LFUcRpi8gDNmDgH8;49.2194076,20.0092817
Rysy;Tatry Wysokie {Tatry Wschodnie} Tatry {Łańcuch Tatrzański};;Rysy;https://www.google.com/maps/place/?q=place_id:ChIJv86Ws3KKFUcRAvdxQ3QB86w;49.179548,20.088064
Słonny (pn.-zach.);Góry Słonne Góry Sanocko- Turczańskie [Bieszczady Niskie] Besidy Lesiste {Beskidy Wschodnie};;38-500 Liszna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ27jbV15zPEcRYIuWTJTeVMc;49.5762005,22.2797133
Słonny (pd.-wsch);Góry Słonne Góry Sanocko- Turczańskie [Bieszczady Niskie] Besidy Lesiste {Beskidy Wschodnie};;Słonny, Sanok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc3NssjFyPEcRMzl8aCD9a4U;49.57639649999999,22.2799516
Jaworniki;Żuków Góry Sanocko- Turczańskie [Bieszczady Niskie] Besidy Lesiste {Beskidy Wschodnie};;Jaworniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ691pee_rO0cRzKDayr2m-Pg;49.3402778,22.7133333
Trochaniec;Otryt Bieszczady {Bieszczady Zachodnie} [Bieszczady Wysokie] Besidy Lesiste {Beskidy Wschodnie};;Trohaniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK58oxUnmO0cREoe-0R8UkrQ;49.2333333,22.6569443
Łopiennik;Pasmo Łopiennika i Durnej Bieszczady {Bieszczady Zachodnie} [Bieszczady Wysokie] Besidy Lesiste {Beskidy Wschodnie};;Łopiennik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4TgMmnr5O0cRt181pFUlcJk;49.2444444,22.3388889
