nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bóbr;;;Bóbr, 542 01 Žacléř 1, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJ1focLCHyDkcRH2I4YRPf40w;50.6729908,15.900611
Biała Dunajcowa;;;Biała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0-XIQc6EPUcRatuNdL5_mBc;49.7586976,20.9619723
Biała Głuchołaska;;;Biała Głuchołaska, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJZyZDt73zEUcRrhBslAwtFyw;50.2194977,17.2089675
Dunajec;;;Dunajec;https://www.google.com/maps/place/?q=place_id:ChIJ9xVmpFfVF0cRZavWs8mxwz0;49.79934340000001,20.6509939
Drawa;;;Drawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb3Vew--2BkcRTGwCbwrYiLA;53.0464424,15.9335104
Łupawa;;;Łupawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpTTOQOFq_kYRqCzo88wiuQw;54.666366,17.0586781
Łeba;;;Łeba, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz0kAoSx4_kYR43rGs-ooLTU;54.760117,17.5563117
Nysa Kłodzka;;;Nysa Kłodzka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-zcZFwMXDkcRS_dJ88K8UYg;50.4593253,17.1505222
Poprad;;;Poprad;https://www.google.com/maps/place/?q=place_id:ChIJgSnxn0_iPUcRQK2QXZAwXyw;49.2703363,20.5537069
Radunia;;;Radunia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZxEeOih3_UYRRMPxM-SCexk;54.28154379999999,18.6391564
Raba;;;Raba, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw0tzhxk8FkcRXOuq1O8Uonc;49.9776554,20.311891
Rawka;;;Rawka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU3ckCxHiG0cRSGdI0m3TXXY;52.035041,20.2007231
San;;;San;https://www.google.com/maps/place/?q=place_id:ChIJHaiAwnRhPEcRrTCCPz02UI0;49.8196673,22.3979455
Skrwa;;;Skrwa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLaX3A9Z8HEcRQ9Ov9sQurTg;52.7421184,19.5192889
Słupia;;;96-128 Słupia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6-frKRzYG0cR9ajbuQ3iUWQ;51.8544541,19.969775
Studnica;;;Studnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmwl0WVLgAEcRA6yBqWf5LwQ;53.4439704,15.6461483
Skawa;;;Skawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsR640uLfFUcR3v_-BnttQJo;49.6064903,19.9029948
Tanew;;;Tanew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ613or1fUPEcRwpnRGIbVorI;50.45324069999999,22.6218712
Wel;;;Wel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwchTpGAUHUcRKO9XWJPxqZs;53.3544874,19.7464706
Wisłok;;;Wisłok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf5UZ4lRPPEcRTeyU3rsIhIg;49.9577428,21.9448631
Białka Tatrzańska;;;Białka Tatrzańska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy7H0kb7wFUcR73W_VdbC_N0;49.3891809,20.1050703
Biała Lądecka;;;Biała Lądecka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMzv-zYUdDkcRLs3_RB7c12M;50.3418765,16.817736
Bóbr;;;Bóbr, 542 01 Žacléř 1, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJ1focLCHyDkcRH2I4YRPf40w;50.6729908,15.900611
Czarny Dunajec;;;Czarny Dunajec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3QH5-WHoFUcRvw3XMZhEeW0;49.4401047,19.8529933
Dzika Orlica;;;Dzika Orlica;https://www.google.com/maps/place/?q=place_id:ChIJm3jcGs_bDUcRCgRrCj58HXU;50.1029726,16.2833351
Kwisa;;;Kwisa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm6fuD5CvCEcRoRfaHCi4hcQ;51.420758,15.4035237
Osława;;;Osława, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMxr2WkpzPEcROdtY4deajpw;49.4039483,22.1503622
Ropa;;;Inwestycyjna 2, 55-330 Źródła, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkVN_AaWfD0cR9mKP0sRkw6k;51.1610846,16.712206
San;;;San;https://www.google.com/maps/place/?q=place_id:ChIJHaiAwnRhPEcRrTCCPz02UI0;49.8196673,22.3979455
Solinka;;;Solinka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPc_oZpJVOUcRl1GW_4d2cQ4;49.1702614,22.2401825
Soła;;;Soła, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXxmin0CVFkcRrj8N_XNiiIo;50.003843,19.2043912
Wisłoka;;;;NOT_FOUND;
Wołosaty;;;Wołosaty, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ06q2XF7nO0cR_m05LpDw-0o;49.1593885,22.6883993
Wetlina;;;38-608 Wetlina, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr6rvJkLiO0cREhpRnKmaFNw;49.1433611,22.4847705
