nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Kamienica Loitzów w Szczecinie;;;Kamienica Loitzów, Kurkowa 1, 70-543 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ77WpA8JqkcR5QbeC_jcwIM;53.4252428,14.5592828
Dom Protzena w Stargardzie Szczecińskim;;;Kazimierza Wielkiego 13, 73-110 Stargard, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2SFkGk24AEcRYg60gwlcXas;53.3374157,15.0466001
Złota Kamienica w Gdańsku;;;Długi Targ 41-42, 80-831 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqxhWMqBz_UYRSk7dUuep7KM;54.3485904,18.6537199
Dom Opatów Pelplińskich w Gdańsku;;;Elżbietańska 3, 80-894 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtWdaCnZz_UYRCcUvr5H1dEg;54.3535081,18.6468522
Domy Angielski i Przyrodników w Gdańsku;;;Chlebnicka 13/16, 80-830 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-fhtjUlz_UYR6uVRDwHO65k;54.34865319999999,18.6554179
Dom Schumannów w Gdańsku;;;Długa 45, 80-831 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp1y-A5Vz_UYRsqio5T2XIe4;54.348503,18.652632
Dom Uphagena w Gdańsku;;;Długa 12, 80-827 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBQm1qZ9z_UYRR8pUUV8GlK8;54.34933299999999,18.6493389
Kamienica Carla Meinhardta w Bydgoszczy;;;Gdańska 27, 85-005 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAT2OM78TA0cR9KG8Tmk2Ols;53.127427,18.0049372
Kamienica Augusta Mentzla w Bydgoszczy;;;Gdańska 5, 85-005 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJP3NPjC0TA0cR55-bP12mN3w;53.1249293,18.0027605
Kamienica przy pl.Wolności w Bydgoszczy;;;Kamienica na placu Wolności 1 w Bydgoszczy, 85-006 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG7tWML8TA0cRBiPU3RywXCM;53.127222,18.005278
Dom Kopernika w Toruniu;;;Mikołaja Kopernika 15/17, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB-xHtB01A0cRMCYmlZJDySc;53.0093069,18.6038725
Kamienica Pod Gwiazdą w Toruniu;;;Rynek Staromiejski 35, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUzB5u2k1A0cR8FzAJJa23MQ;53.010654,18.6051583
Dom Eskenów w Toruniu;;;Łazienna 16, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJza7IcR41A0cR36dGCA7oT0M;53.0094133,18.6072259
Kamienica Selmy Heider w Zielonej Górze;;;;NOT_FOUND;
Kamienica Wieniawa w Lesznie;;;Rynek 29, 64-100 Leszno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZei6TjuYBUcRCspZEz_h5hQ;51.8431315,16.5750385
Kamienice Goskiego i Mikana w Poznaniu;;;Stary Rynek 48, 61-772 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGS1nEQBbBEcRdxyfIcyjocM;52.4078317,16.9346003
Domki budnicze w Poznaniu;;;Stary Rynek, 61-772 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqarb9DhbBEcRk-mj4p-apyQ;52.4081175,16.9340633
Kamienice Pod Gutenbergiem i Oszera Kohna (Pod Kasztanami) w Łodzi;;;Piotrkowska 86, 90-103 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJj5kOetXKG0cRIeNGH9iPPHY;51.76688679999999,19.457109
Kamienice Pod Murzynkiem i Baryczków w Warszawie;;;Chłodna 20, 00-401 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmz5tWkLNHkcRCnZYYbRiNA8;52.2377852,20.9904397
Kamienica Fukierów w Warszawie;;;Piwna 44, 00-288 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC1rMb2_MHkcRGpLT1OkcDDw;52.2495412,21.0112915
Kamienica Pod św. Anną w Warszawie;;;Rynek Starego Miasta 31, 00-272 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjd4Wcm_MHkcRcfrmHSLlzC8;52.24979709999999,21.0113862
Kamienica Rodryga Mroczkowskiego w Warszawie;;;Mokotowska 57, 00-542 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWahV3iTNHkcRZFOaX18qDm0;52.2254249,21.021411
Kamienice Przybyłów i Celejowska w Kazimierzu Dolnym;;;Rynek 14, 24-120 Kazimierz Dolny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkXgj65N9IkcRKYro9CJouvw;51.3217605,21.9474344
Budynek Muzeum Literackiego im. Józefa Czechowicza w Lublinie;;;Złota 3, 20-112 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqRKCfGpXIkcRfEyRbk7Tgdk;51.2478512,22.5690845
Kamienice Klonowica, Lubomelskich i Konopniców w Lublinie;;;Rynek 12, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi1LMZWpXIkcR17mZOwNvcfk;51.2475114,22.5683228
Kamienice ormiańskie w Zamościu;;;Ormiańska 1/3, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtQjuwohnI0cRjMk5xpi47Lc;50.717445,23.2533319
Kamienica Pod Przepiórczym Koszem w Legnicy;;;Kopernika, 59-220 Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgVutZ-ATD0cRacG5CL5Jfq0;51.2075999,16.1603784
Kamienice Jaś i Małgosia we Wrocławiu;;;Świętego Mikołaja 1, 52-007 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-doqbHXCD0cRqaSPIMRRYnA;51.111222,17.0307925
Kamienica Pod Siedmioma Elektorami we Wrocławiu;;;50-001 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr_fPGnXCD0cRh-z8nAAr-qQ;51.11009490000001,17.0302945
Kamienica Pod Gryfami we Wrocławiu;;;Rynek 2, 50-529 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ847OF3rDD0cRv0BhcLIguHo;51.1107324,17.0305231
