nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Radziejowa;Beskid Sądecki;;Radziejowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnbgVkVkIPkcR-VwRndPS_yk;49.4493407,20.6041314
Złomisty Wierch;Beskid Sądecki;;34-460 Jaworki II, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhyyzoy0JPkcR9-4gVmlh1vQ;49.46026670000001,20.5776911
Mała Radziejowa;Beskid Sądecki;;Radziejowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnbgVkVkIPkcR-VwRndPS_yk;49.4493407,20.6041314
Wielka Przehyba;Beskid Sądecki;;Wielka Przehyba, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7ZvPTN8HPkcRr5zt_SAedgw;49.467096,20.5707566
Wielki Rogacz;Beskid Sądecki;;Wielki Rogacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf8zO6_4IPkcRpqRGHBo1uEg;49.4401339,20.6100892
Przehyba;Beskid Sądecki;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJVawXIf38PUcR448NAwrPOxs;49.4664154,20.5559283
Skałka;Beskid Sądecki;;Skałka, Szczawnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYVWAG7sHPkcRW-iqaSP4Uw0;49.47219579999999,20.530529
Mały Rogacz;Beskid Sądecki;;Wielki Rogacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf8zO6_4IPkcRpqRGHBo1uEg;49.4401339,20.6100892
Mała Przehyba;Beskid Sądecki;;Mała Prehyba, Przysietnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPRpjJMUHPkcRV8gr4C3U8kI;49.4669374,20.5544742
Czeremcha;Beskid Sądecki;;Czeremcha, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-_uJAbcuPEcRVO1rXgJLBDI;49.4166666,21.4583332
Zgrzypy;Beskid Sądecki;;Zgrzypy, Przysietnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqVr7qOcHPkcRv0yKZpUxhPw;49.4753748,20.56602
Jaworzyna Krynicka;Beskid Sądecki;;Stacja narciarska Jaworzyna, Czarny Potok 75, 33-380 Krynica-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEQExrBN2PkcRJMpyNz2p548;49.4195709,20.9260216
Wielka Bukowa;Beskid Sądecki;;Unnamed Road, 33-370, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx1RaUPZ1PkcRpWl_TVSOLkE;49.4189279,20.8715584
Wierch Nad Kamieniem;Beskid Sądecki;;Wierch nad Kamieniem, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ-r6Y1DgPUcRie11qNpTjlM;49.4861111,20.7944444
Runek;Beskid Sądecki;;Runek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMebv3YjfPUcRJ99MiRICNmk;49.4441667,20.8569444
Pusta Wielka;Beskid Sądecki;;Pusta Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu3PPz_10PkcRunIgBDgLTp0;49.4055555,20.825
Hala Łabowska;Beskid Sądecki;;W. Stendery, 33-336 Łabowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM1vHf2zgPUcR2fyvVmATlu8;49.4728778,20.8104111
Czubakowska;Beskid Sądecki;;Czubakowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_bSex3_fPUcRc_u2nwjUOuc;49.4380693,20.8746377
Łysina;Beskid Sądecki;;Łysina, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq-yjBMkSFkcR7D6vfZXs2Cc;49.7833333,20.0499999
