nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
"należy wziąć udział w wycieczce turystycznej mającej swój początek i koniec na stacji lub przystanku kolejowym. Dozwolone jest tylko rozpoczęcie lub zakończenie wycieczki na stacji, gdy dojazd (powrót) odbywał się koleją;";;;;NOT_FOUND;
"za pomnik techniki uznaje się lokomotywę bądź inne eksponaty techniczne ustawione w charakterze pomnika;";;;;NOT_FOUND;
zabytkowy budynek stacyjny to obiekt zbudowany przed 1945 rokiem, zawierający elementy stylu architektonicznego lub odznaczający się niespotykanymi rozwiązaniami fasady lub wnętrza. Oprócz budynków stacyjnych można także uznać inne zabytkowe budowle związane ściśle z kolejnictwem jak na przykład gmachy dyrekcji okręgowych, lokomotywownie, zakłady naprawcze itp.;;;;NOT_FOUND;
treść widniejąca na tablicy powinna dotyczyć tylko tematyki związanej z kolejnictwem jak na przykład: udział kolejarzy w walkach, pamiątki manifestacji, otwarcie linii kolejowej itp.;;;;NOT_FOUND;
"należy dokładnie zapoznać się z ekspozycją zorganizowanego na stałe skansenu lub muzeum kolejnictwa; w przypadku zwiedzania izb pamięci lub historii w zakładzie pracy PKP lub szkole kolejowej dwa takie obiekty są równoważne jednemu skansenowi; postanowienia tego punktu dotyczą także tzw. czynnych skansenów trakcji parowej;";;;;NOT_FOUND;
"za pociąg okolicznościowy uważa się przejazd pociągiem nie uwzględnionym w sieciowym rozkładzie jazdy (jako pociąg stałego kursowania) i mającym charakter turystyczny lub hobbistyczny; pociągi takie towarzyszą zwykle wystawom taborukolejowego, obchodom rocznicowym lub kursują na zamówienie grup entuzjastów kolejnictwa i są w dużej mierze dostępne dla wszystkich chętnych;";;;Bahnhofplatz, 6300 Zug, Szwajcaria;https://www.google.com/maps/place/?q=place_id:ChIJt3qYofeqmkcRjT2MlXDbvvk;47.1735054,8.515304500000001
"za przejazd linią kolejową nie należącą do PKP uważa się przejazd długości co najmniej 10 km, a w przypadku linii wydzielonych o całkowitej długości mniejszej niż 10 km – przejazd całej trasy; punkt ten nie dotyczy kolei linowych;";;;;NOT_FOUND;
"przejazd kolejami wąskotorowymi powinien obejmować określoną w tabeli ilość odcinków różnych grup kolei wąskotorowych;";;;Reja - Parowozownia, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTwxfW9ksEUcRQ0NcSvCVo6Q;50.3474197,18.8889141
dotyczy również kolei linowo-terenowej, natomiast nie uwzględnia wyciągów krzesełkowych, orczykowych itp.;;;;NOT_FOUND;
"za imprezę turystyczną środowiska uważane są: zlot, rajd lub wycieczka organizowana przez jednostki PTTK związane ze środowiskiem kolejowym w randze oddziału, koła lub klubu turystycznego; zaliczyć tu można także wyjazd turystyczny wagonem akcji socjalnej lub imprezę turystyczną zorganizowaną przez jednostkę Federacji Rady Kultury Fizycznej i Turystyki Kolejarz;";;;Senatorska 11, 00-075 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXWpEd2bMHkcRbE0l_Wp5g4E;52.24645659999999,21.0125366
"wystawa modeli powinna być firmowana przez Klub Modelarzy Kolejowych lub organizację pokrewną; nie można uznać w tym punkcie giełdy modelarskiej;";;;Fredry 13, 61-701 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaSevNTZbBEcRTn0cp2z1hk4;52.4086261,16.9215607
"za wycieczkę linią nieistniejącą uważa się przejazd lub przejście turystyczne pokrywające się z odcinkiem linii kolejowej rozebranej; wybór trasy należy do zdobywającego odznakę, który jednak powinien trasę dokładnie opisać (przebieg, punkty pośrednie, zachowane fragmenty szyn, podkładów, urządzeń, budynki, mosty, tunele itp.);";;;;NOT_FOUND;
"za linię nieczynną uważa się linię, po której już nie prowadzi się planowego ruchu pasażerskiego;";;;;NOT_FOUND;
"obowiązuje przejazd pociągiem prowadzonym przez parowóz na odcinku co najmniej 25 km, a w przypadku kolei wąskotorowej – 10 km lub na całej długości trasy jeżeli jest ona krótsza od powyższych norm;";;;;NOT_FOUND;
"zaliczone będzie zapoznanie z mostem, wiaduktem, tunelem o ciekawej konstrukcji lub dużej wartości historycznej; ten podpunkt obowiązuje również w przypadku zwiedzania obiektów i urządzeń kolejowych jak na przykład: nastawni, dyspozytorni okręgowych, górek rozrządowych, lokomotywowni, podstacji trakcyjnych, zakładów naprawczych taboru kolejowego i innych pod warunkiem oprowadzenia przez przewodnika lub instruktora.";;;;NOT_FOUND;
Przy zaliczaniu dozwolone jest połączenie wymogów podpunktu a z f, podpunktu f z g, h, m, n oraz podpunktu h z g, n lub m.;Uwagi do załącznika:;;Baarerstrasse 16, 6300 Zug, Szwajcaria;https://www.google.com/maps/place/?q=place_id:ChIJF12qQ1iqmkcRMl2ijHcdK10;47.1725211,8.5168167
Przejazd, o którym mowa w podpunkcie g może być realizowany w trakcie zdobywania dowolnego stopnia odznaki.;Uwagi do załącznika:;;;NOT_FOUND;
