nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Babia Góra;Beskid Żywiecki;;Beskid Zywiecki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrXWA7Lo3FEcRO5v9-ZMFctA;49.45,19.0833333
Pilsko;Beskid Żywiecki;;Beskid Zywiecki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrXWA7Lo3FEcRO5v9-ZMFctA;49.45,19.0833333
Turbacz;Gorce;;Turbacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpUJJstPiFUcR59YSbwXDXB0;49.5429179,20.1113448
Skrzyczne;Beskid Śląski;;Skrzyczne, Szczyrk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm6-fzWIhFEcRHDF_L9_nfrk;49.6844492,19.030162
Radziejowa;Beskid Sądecki;;Radziejowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnbgVkVkIPkcR-VwRndPS_yk;49.4493407,20.6041314
Czupel;Beskid Mały;;Czupel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW8WhyOmdFkcRI77dvFVmsao;49.7661048,19.1552773
Wielka Rawka;Bieszczady;;Wielka Rawka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBxN9F4hfOUcRWOKV-T3i9Fg;49.0983111,22.5785968
Luboń Wielki;Beskid Wyspowy;;Mszana Dolna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ0ZqqAULFkcRurZEUT1JP8I;49.6534955,19.9920337
Tarnica;Bieszczady;;Tarnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp1WfalTfO0cRR3-5o_6_RDQ;49.0745547,22.7262497
Jaworzyna Krynicka;Beskid Sądecki;;Stacja narciarska Jaworzyna, Czarny Potok 75, 33-380 Krynica-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEQExrBN2PkcRJMpyNz2p548;49.4195709,20.9260216
Połonina Caryńska;Bieszczady;;Połonina Caryńska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFbG71V_gO0cRhzUkUscCFUk;49.1388888,22.6027777
Lubogoszcz;Beskid Wyspowy;;Lubogoszcz, Kasina Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmRpXSssNFkcREvefQJJBPss;49.70982859999999,20.0865269
Mogielica;Beskid Wyspowy;;Mogielica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmQX5SUgEFkcRU5V5u0zSSZs;49.65523049999999,20.2768336
Ćwilin;Beskid Wyspowy;;Ćwilin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd1LBSwoPFkcRq6tjVJq9KEY;49.6885384,20.1907039
Jaworz;Beskid Wyspowy;;Laskowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrRgkg-n3PUcR-tXPVmSSvxM;49.7207692,20.5214681
Wielka Racza;Beskid Żywiecki;;Beskid Zywiecki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrXWA7Lo3FEcRO5v9-ZMFctA;49.45,19.0833333
