nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Barkowo;;;Barkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1dt9xpCHD0cRKKNX4N6Uhx4;51.4767804,16.7955264
Batorów;;;Batorów, 57-330 Szczytna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyy4DKllrDkcRHYgY8mlSJ5k;50.4391289,16.4252035
Biała;;;Biała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHYoNaTKjEUcRUuJulEkZSfE;50.3863338,17.6604533
Bielawa;;;Bielawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs7VOb943DkcRBojLXSPsPSc;50.6907986,16.6229286
Bogunów;;;Bogunów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM79S76raD0cRszcvxFIqcdM;50.9437484,17.0189121
Bojanice;;;58-113 Bojanice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE8ktpjxMDkcRBAjYykiRK94;50.773217,16.4990881
Bolesławiec;;;59-700 Bolesławiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrzgwDTs0D0cRonh00IwO_I0;51.2658553,15.5657397
Bolesławice;;;Bolesławice, 76-251 Słupsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJt0j0v74Z_kYR43GrxzcT7vY;54.4474932,16.952077
Brennik;;;Brennik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpy3vfHEKD0cRSzN2p5p0ACU;51.1505494,16.3754906
Brochocin;;;55-100 Brochocin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5ffp6AfyD0cRRl_ePXShCbg;51.2773328,17.0858593
Brożec;;;Brożec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs9bdZU0IEUcRCRAqnQYRBK8;50.4153472,17.9854272
Brzeźnica;;;34-114 Brzeźnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVRDBxPWKFkcRNvfOETAJ-KQ;49.965411,19.6346802
Budzów;;;Budzów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_yI31Jt7FkcRjhRRK3Axq1w;49.7759079,19.672595
Bukowiec;;;86-122 Bukowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ38_0XMzjAkcRX61Z1vQacF8;53.4322372,18.243079
Buków;;;32-031 Buków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpyRSuphnFkcRu_j1uKutJbA;49.94662350000001,19.8417669
Bukówka;;;58-420 Bukówka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFU2jUhzxDkcR-X1BdgVNp-M;50.70758980000001,15.9632081
Bychowo;;;Bychowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDQ0ejfDO_UYRx2o44V8SYPU;54.74191990000001,17.9775042
Cesarzowice;;;Cesarzowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsW3oYmejD0cR4T8QLKcVV9c;51.1050994,16.5686978
Chobienia;;;Chobienia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC9iyxX6HBUcRsdO5mrR87TM;51.5433741,16.4481859
Chociwel;;;Chociwel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGz9SXIvpAEcROFiBy5FbG58;53.46687,15.33337
Choiniec;;;Choiniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbXZKBbIkD0cRjUe1wu_nGfA;51.1216859,15.7356748
Chomiąża;;;Chomiąża, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWVXfez6fD0cR9bdwR3Tscek;51.2129554,16.5266066
Chrośnica;;;Chrośnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcYA9uxcgD0cRR-13ocNUbyc;50.9755719,15.7963487
Ciernie;;;Ciernie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYwDMlhbG4UYRfcJqwDA7awA;53.67983030000001,22.285898
Cisów;;;Cisów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_2ffkSr0F0cRQF9PRdr_WDE;50.7592934,20.9016881
Czarne;;;Czarne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgfgRFViHAUcRlDp9v2-BCjc;53.6838177,16.9393484
Czaple;;;80-298 Czaple, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLRvGr0Ke_UYRw2-fa0lMs04;54.36385199999999,18.4333563
Czerna;;;32-065 Czerna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1IGj33wFkcRrjwD8Y0KcFc;50.17077399999999,19.6228967
Czernica;;;55-003 Czernica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv5Nf7lzeD0cRG2XgW79wD6E;51.0457859,17.2449367
Czernica Dolna;;;55-003 Czernica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6ZG4deffD0cRimAtTGXb8lI;51.0459415,17.2559542
Czerwieńczyce;;;Czerwieńczyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ2q6518-DkcRieMmv_cTkaU;50.5317126,16.6069488
Damianowice;;;Damianowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb-dJISTJD0cRUJuesTt5dzI;50.9192763,16.8532786
Dłużec;;;Dłużec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJj0SoDDEF4kYRHp7yXivgYTQ;53.7602334,21.242996
Doboszowice;;;Doboszowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJX3v9XtIgDkcR5NmKEmpXRJw;50.521162,16.955106
Dzbanów;;;Dzbanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJabLY2v4iDkcRyZL5RYNuJWs;50.5075119,16.7998847
