nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Augustów – Budynek Oficerskiego Yacht Klubu RP (ob. Oficerski Yacht Club Pacyfik) przy Al. Kardynała Wyszyńskiego 1;;;Aleja Wyszyńskiego 1, 16-300 Augustów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu31JjwzPHkcRfJc2hGSmxQI;53.86235490000001,23.0103119
Będzin – Dworzec kolejowy Będzin Miasto przy Pl. Kolei Warszawsko-Wiedeńskiej;;;plac Kolei Warszawsko-Wiedeńskiej, 42-500 Będzin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO5slApzQFkcRVfkefC_Ci7g;50.3191968,19.1352644
Białystok – kościół pw. św. Rocha przy ul. Ks. Abramowicza 1 **;;;Księdza Adama Abramowicza 1, 15-871 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9RvN8A38H0cRt8oDYK1fq1M;53.1344845,23.1448273
Białystok - Sąd Apelacyjny (d. Sąd Okręgowy i Grodzki) przy ul. Mickiewicza 5;;;15-950, Adama Mickiewicza 5, Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_fRrsqn-H0cRQZOMbJ6F-mw;53.12744989999999,23.1704718
Bielsko Biała – Kamienica Marii Polak przy ul. Warszawskiej 3;;;;NOT_FOUND;
Bytom – Muzeum Górnośląskie przy Pl. Jana III Sobieskiego 2 **;;;Wojciecha Korfantego 34, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY3HRLSXTFkcRtkYm7hkF908;50.34902959999999,18.9264846
Chełm – Osiedle „Dyrekcja” rejon ulic Czackiego, Granicznej, Piłsudskiego, Pl. Tysiąclecia Państwa Polskiego, Wiejskiej, Wysokiej,;;;Wiejska, 22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK1K81SibI0cRfHFOozAIEnI;51.1291732,23.4910043
Chorzów – Ratusz Miejski (ob. Urząd Miasta) przy ul. Rynek 1;;;Rynek 1, 41-500 Chorzów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXbB6uHDSFkcRHXE8df-bH7w;50.2974696,18.9535017
Cieszyn – Powiatowa Kasa Chorych przy ul. Bielskiej 37;;;Bielska 37, 43-400 Cieszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDSabdPYDFEcRGW_iyer-87U;49.7491687,18.6430653
Cieszyn – Dom Żołnierza (ob. Szkolne Schronisko Młodzieżowe) przy ul. Błogockiej 24;;;Błogocka 24, 43-400 Cieszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVXRCVg4EFEcRnZu2OHRZKW4;49.74110899999999,18.634706
Gdynia – Budynek ZUS (ob. Urząd Miasta) przy ul. 10-go Lutego 24;;;10 Lutego 24, 81-364 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCb_aFs6n_UYR5lyiV3bbR9k;54.5199201,18.5353066
Gdynia – Dom FE BGK „Bankowiec” przy ul 3 Maja 27/31;;;3 Maja 27/31, 81-364 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpbImJACn_UYRIN47MS8L7m4;54.5190347,18.5357585
Gdynia – Dworzec Morski ul. Polska 1 (ob. Muzeum Emigracji);;;Polska 1, 81-339 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJj_idLxqn_UYRCMENp8-YE2w;54.533039,18.5479922
Gdynia – Miejskie Hale Targowe przy ul Wójta Radtkego 36;;;Wójta Radtkego 36, 81-355 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-TZuHiSn_UYRPo8834Zmkgo;54.52284239999999,18.5335802
Gdańsk – Szkoła im. Heleny Lange (ob. Wydział Farmaceutyczny Gdańskiego Uniwersytetu Medycznego) przy ul. Gen. J. Hallera 107;;;Aleja Generała Józefa Hallera 107, 80-416 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9Uwu1bx0_UYRZNYJnIhUJTc;54.38189,18.6226067
Gliwice – Dom tekstylny Weichmanna przy ul. Zwycięstwa 37;;;Zwycięstwa 37, 44-100 Gliwice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJX2ZFDVYwEUcRi71g8ZS_ELs;50.2971648,18.6713173
Katowice – Gmach Urzędu Skarbowego tzw. „Drapacz Chmur” przy ul. Żwirki i Wigury 15/17;;;Żwirki i Wigury 15, 40-061 Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1YuXdtDPFkcRbx72VVZtj28;50.2543344,19.0142205
Katowice – Siedziba Polskiego Radia przy ul. Ligonia 29;;;Juliusza Ligonia 29, 40-036 Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo9AozU7OFkcRGjdLiuIvSl8;50.2531551,19.021247
Katowice – Willa własna Tadeusza Michejdy przy ul. Poniatowskiego 19;;;Tadeusza Michejdy, Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ046ST3HOFkcR3cSt6HQP9uo;50.2594317,18.9811361
Kraków – Biblioteka Jagiellońska przy ul. Słowackiego 22;;;al. Adama Mickiewicza 22, 30-059 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwXT8iQpbFkcR7Zsuq-Fp0To;50.06128380000001,19.9218611
Kraków – Bank Rolny (ob. Bank Pekao) róg ul. Dunajewskiego 8 i Garbarskiej;;;Pijarska 1, 31-015 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPRrcpg9bFkcRcMEeBiduXSo;50.06526700000001,19.9368608
Kraków – Kamienica Tomasza Będzikiewicza przy pl. Inwalidów7-8;;;;NOT_FOUND;
