nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Komańcza;Miejsca internowania;;Komańcza 27, 38-543 Komańcza, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYRNJpBUFPEcRGtkuMtK77iQ;49.3491841,22.0749091
Prudnik;Miejsca internowania;;Klasztorna 4, 48-200 Prudnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJR42vcbiXEUcR95XLFyy6tCI;50.3210512,17.5775272
Rywald Królewski;Miejsca internowania;;Rywałd 48, 87-220 Rywałd, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAzFCgzEsHUcRX7ay57p9MGw;53.3780969,19.0297125
Stoczek Warmiński;Miejsca internowania;;Stoczek Klasztorny 30, 11-106 Kiwity, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnweT4bde4kYRX4yBK2gK8Y0;54.1255268,20.7269814
Częstochowa;Pozostałe miejscowości;;Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr6gsTsW1EEcRNoIXGk0NT4U;50.8118195,19.1203094
Gniezno;Pozostałe miejscowości;;Gniezno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc3vYEhWRBEcRcoFilLw4gfY;52.5349253,17.5826575
Laski;Pozostałe miejscowości;;32-329 Laski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSwfmSeLgFkcRrIlNnVA-BY0;50.3179732,19.460569
Lublin;Pozostałe miejscowości;;Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYUAVHhRXIkcRX-no9nruKFU;51.2509458,22.5747275
Łomża;Pozostałe miejscowości;;Łomża, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-UEAs5AzHkcRWlN8AkDuMdA;53.1781197,22.0590321
Puszcza Kampinoska;Pozostałe miejscowości;;Kazimierza Tetmajera 38, 05-080 Izabelin C, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMyuYzsy1HkcR8Kv3GQV6pu0;52.3200087,20.6440552
Warszawa;Pozostałe miejscowości;;Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAZ-GmmbMHkcR_NPqiCq-8HI;52.2296756,21.0122287
Włocławek;Pozostałe miejscowości;;Włocławek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW6B5kHSZHEcRwff3MvuWv9U;52.6483303,19.0677357
Zuzela;Pozostałe miejscowości;;07-322 Zuzela, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMdS3e8CgH0cRTytnXFKRHjs;52.696272,22.2387675
