nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Pomnik Konstytucji 3 Maja (ul. Piłsudskiego);;;50-156 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk9rnCXjCD0cRaEWTjHHgvQA;51.1100728,17.0443614
Tablica Konstytucji 3 Maja (kościół na Os. Dolnośląskim);;;Konstytucji 3-ego Maja, 58-540 Karpacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOQQgc4PoDkcRSVFWPTGME_g;50.7746384,15.7527204
Tablica Konstytucji 3 Maja (budynek I LO);;;;NOT_FOUND;
Pałac – zbudowany przez Stanisława Małachowskiego;;;Senatorska 11, 00-309 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxxqucGbMHkcRGGoBCB9ARHo;52.2464423,21.0125262
Pomnik Konstytucji 3 Maja Las Zwierzyniecki – Park Konstytucji 3 Maja;;;15-227 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-6gVzKr-H0cRltqyXxUKSbE;53.1210067,23.1645802
Miejsce ostatniej narady dowództwa i pobytu oraz przeglądu wojsk polskich. Pomnik T. Kościuszki.;;;plac Żelaznej Bramy, 00-100 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyYfjbG1bFkcRQKUoN-fH8kg;52.2395991,21.0024708
Tablica w 222 rocznicę uchwalenia Konstytucji 3 Maja (Urząd Gminy);;;;NOT_FOUND;
Miejsce zakończenia odwrotu korpusu T. Kościuszki spod Dubienki. (Chełmska Górka – tablica upamiętniająca pobyt T. Kościuszki).;;;Chełmska, 22-145 Dubienka, Polska;https://www.google.com/maps/place/?q=place_id:EiJDaGXFgm1za2EsIDIyLTE0NSBEdWJpZW5rYSwgUG9sc2thIi4qLAoUChIJRUtOcZB5JEcRctsU9QHESCQSFAoSCa1p5aWPeSRHEatFjD7I9O5w;51.0468166,23.8783786
Tablica W 200. lecie Konstytucji 3 Maja (Urząd Gminy) park Małachowskich;;;;NOT_FOUND;
Pomnik Konstytucji 3 Maja ul. Słowackiego;;;Unnamed Road, 81-392 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-6KIKRGn_UYRlf26A6d9Tok;54.5133121,18.5423017
Pomnik Konstytucji 3 Maja, Zespół Szkół im. Tadeusza Kościuszki;;;3 Maja 2, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq2CNZmhXIkcRQlrk00PJkiQ;51.2481865,22.5583992
Miejsce obrony przeprawy na wschodnim brzegu Bugu 24 lipca 1792 r. przed armia Suworowa. Pomnik poległych na cmentarzu w Grannem.;;;;NOT_FOUND;
Grota Naruszewicza Kolegiata Św. Trójcy (d. katedra) miejscespoczynku bp. Adama Naruszewicza;;;21-505 Janów Podlaski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBwNgU6W-IUcRB6V-H4GGzq0;52.1965851,23.2029474
Pomnik w 200. Rocznicę Konstytucji 3 Maja (Starostwo);;;;NOT_FOUND;
Tablica 200. Rocznicy uchwalenia Konstytucji 3 Maja;;;;NOT_FOUND;
Tablica twórcom Konstytucji 3 Maja (Urząd Gminy);;;;NOT_FOUND;
Tablica Konstytucji 3 Maja (Bank Spółdzielczy);;;Grzybowska 81, 00-844 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJP1mRLoPMHkcRrG5sqZxMD-8;52.2326797,20.9800079
Miejsce bitwy 24 lipca 1792 r. z korpusem Denisowa;;;;NOT_FOUND;
"Zamek Bazylika św. Anny ""Placencja"" miejsca życia i pochówku Kazimierza Nestora Sapiehy";;;;NOT_FOUND;
Tablica Konstytucji 3 Maja (fara);;;;NOT_FOUND;
Miejsce urodzenia Stanisława Małachowskiego (zespół pałacowoparkowy);;;72-315, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT3AymvteAEcRb4t830DltOE;53.8339477,15.4713619
Miejsce uwięzienia Stanisława Małachowskiego. Pomnik H. Kołłątaj (Al. 3 Maja) Pomnik H. Kołłątaja (Colegium Kołłątaja UJ ul. św. Anny);;;Świętej Anny 6, 31-008 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKVxI0g1bFkcRSnMjF5dpqcU;50.0616285,19.9344835
Miejsce śmierci i spoczynku Adama Stanisława Krasińskiego (kościół pw. Znalezienia Krzyża Świętego).;;;Kardynała Stanisława Hozjusza 2, 05-077 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbRoXZe3LHkcR2hYgJcyuyAg;52.2676926,20.9839262
Miejsce przechowywania rękopisu Konstytucji do 1945 r.(archiwum rodzinne Potockich – pałac Potockich);;;Spacerowa, 32-065 Krzeszowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ3N0Td7wFkcRR9lVffCqw4E;50.1360794,19.6246595
Miejsce stacjonowania dowództwa i wojski polskich przed bitwą pod Markuszowem. Kwatera Józefa x. Poniatowskiego.;;;;NOT_FOUND;
Bazylika zbudowana jako pomnik 100-lecia Uchwalenia Konstytucji 3 Maja;;;;NOT_FOUND;
Sławinek - Dworek Kościuszków Pomnik Konstytucji 3 Maja (pl. Litewski). Miejsce urodzenia Stanisława Kostki Potockiego (pałac Potockich) ul. Staszica 3;;;Sławinkowska 3, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvzf58ZRZIkcRZJ8gMlJ2-nk;51.2608753,22.5129986
Pomnik 200-lecia Konstytucji 3 Maja i Odzyskania Niepodległości. Aleje Konstytucji 3 Maja.;;;Aleja Konstytucji 3 Maja 2, 64-100 Leszno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv8065T-YBUcRZIkkoJ2Vyns;51.84643819999999,16.5916053
Tablica Konstytucji 3 Maja (w katedrze św. Stanisława Kostki, ul. Piotrkowska 265);;;Piotrkowska 265, 90-457 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtSZsQts0GkcRMLhAXQ-MuDA;51.7489986,19.4602944
Tablica pamiątkowa w 125. rocznicę Konstytucji 3 Maja.(kościół popijarski);;;;NOT_FOUND;
Miejsce ostatniej bitwy w obronie Konstytucji stoczonej przez korpus księcia Józefa Poniatowskiego 26 lipca 1792 r. ostatniej bitwy wojsk polskich w obronie Konstytucji i miejsce śmierci gen. Janusza Stanisława Ilińskiego.;;;;NOT_FOUND;
Pałac – dawniej własność Stanisława Małachowskiego;;;Senatorska 11, 00-309 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxxqucGbMHkcRGGoBCB9ARHo;52.2464423,21.0125262
Zespół pałacowo-parkowy. Miejsce spotkań J.U. Niemcewicza z bratem i miejsce twórczości.;;;Zarzecze 1, 37-205 Zarzecze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN8OMehSQPEcR2wzg3en_okA;49.984997,22.541812
Tablica Konstytucji 3 Maja (ratusz);;;;NOT_FOUND;
Pałac Potockich. Miejsce życia i działalności S.K. Potockiego. Przebywał tutaj J.U. Niemcewicz.;;;Krakowskie Przedmieście 15, 00-071 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_0Zh1GDMHkcRNReVqzgVyqg;52.24254570000001,21.0137541
Tablica Konstytucji 3 Maja (katedra Św. Krzyża);;;;NOT_FOUND;
Tablica Konstytucji 3 Maja (Urząd Miejski);;;;NOT_FOUND;
Pomnik Twórcom Konstytucji 3 Maja (k/ zamku);;;3 Maja 2, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq2CNZmhXIkcRQlrk00PJkiQ;51.2481865,22.5583992
Pomnik w 200 rocznicę uchwalenia Konstytucji 3 Maja. (ul. Piłsudskiego k/ Miejskiej Bibliotek Publicznej);;;;NOT_FOUND;
Zespół pałacowo-parkowy: Własność Adama Kazimierza x. Czartoryskiego a następnie Adama Jerzego x. Czartoryskiego – związanych z pracami nad Konstytucją i jej obroną. Przebywał tutaj J. U. Niemcewicz.;;;Melgiew Podzamcze, Podzamcze 17A, 21-007, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpf57skurI0cRLPwSdTCmz4E;51.2064753,22.7885622
Pomnik Konstytucji 3 Maja. Pl. 3 Maja;;;50-156 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk9rnCXjCD0cRaEWTjHHgvQA;51.1100728,17.0443614
Pałac - miejsce urodzenia Ignacego Potockiego a także powstania części projektu Konstytucji 3 Maja. Pomnik Uchwalenia Konstytucji 3 Maja (pl. Ignacego Potockiego);;;Krakowskie Przedmieście 32, 00-067 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaxnwOl7MHkcRslNzIFFf4Lw;52.24050039999999,21.016767
Pomnik Konstytucji 3 Maja (zespół pałacowo-parkowy);;;15-227 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-6gVzKr-H0cRltqyXxUKSbE;53.1210067,23.1645802
Tablica Konstytucji 3 Maja (ratusz);;;;NOT_FOUND;
Tablica Konstytucji 3 Maja (skwer przy wieży ciśnień);;;;NOT_FOUND;
Pomnik Konstytucji 3 Maja (Rynek).;;;50-156 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk9rnCXjCD0cRaEWTjHHgvQA;51.1100728,17.0443614
Tablica pamiątkowa na kościele jezuitów – Rynek Starego Miasta;;;;NOT_FOUND;
Miejsce bitwy pod Dubienką 18 lipca 1792 r. Pomnik – Kopiec Kościuszki;;;22-145 Uchańka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ20bF4y54JEcRRdfzpeQBZqg;51.0812875,23.8587482
"Zamek Królewski: miejsce uchwalenia Konstytucji 3 Maja; obraz J. Matejki „Konstytucja 3 Maja 1791 roku”. gabinet miejsce urzędowania ScipionaPiattoliego i miejsce spotkań autorów konstytucji. archikatedra rzymsko-katolicka pw. św. Jana: miejsce nabożeństwa dziękczynnego; Archiwum Główne Akt Dawnych (Pałac Raczyńskich), ul. Długa 7 Wilanów: pierwsze miejsce przechowywania rękopisu w archiwum Potockich – Stanisława Kostki Potockiego – do l. 70. XIX w. S.K. Potocki założył muzeum w Wilanowie. miejsce śmierci Stanisława Kostki Potockiego. Wilanów cmentarz Wiertnicza / Wilanowska: miejsce spoczynku Ignacego Potockiego. Pałac Czapskich – Raczyńskich, miejsce zamieszkania Stanisława Małachowskiego i tajnych zebrań redakcji konstytucji, ob. Akademia Sztuk Pięknych - Krakowskie Przedmieście 5; Pałac Prezydencki (d. pałac Radziwiłłowski) miejsce zabrania i odczytania projektu ustawy 2.V. i miejsce spotkań Zgromadzenia Przyjaciół Konstytucji Rządowej; Biblioteka Narodowa: miejsce przechowywania paryskiej edycji z 1791 r. ; al. Niepodległości 213. Łazienki Królewskie miejsce życia króla Stanisława Augusta Poniatowskiego. Kościół św. Krzyża – miejsce spoczynku Stanisława Małachowskiego. Rynek 21A miejsce zamieszkania Hugona Kołłątaja i siedziba „Kuźnicy Kołłątajowskiej” Powązki – miejsce spoczynku Hugona Kołłątaja, katakumby Merliniego. Park Traugutta, Kamień Pamięci Konstytucji 3 Maja";;;plac Zamkowy 4, 00-277 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB1RFG2bMHkcRvslJ-0ahGSA;52.2477436,21.0141275
Tablica Konstytucji 3 Maja. Skwer 3 Maja;;;83-110 Tczew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUfoixDlh_UYRANDRE9Vj-XU;54.0832809,18.7921946
Tablica i urna z sercem Hugona Kołłątaja (kościół). Dawny pałacyk Kołłątajów;;;Kołłątaja 42, 61-421 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXwzm_61aBEcR8LobKE0zWAs;52.3621072,16.8857788
Pomnik Konstytucji 3 Maja (obok Rotundy Panoramy Racławickiej);;;50-156 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk9rnCXjCD0cRaEWTjHHgvQA;51.1100728,17.0443614
Pomnik Konstytucji 3 Maja (skraj parku gen. J. Sowińskiego);;;15-227 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-6gVzKr-H0cRltqyXxUKSbE;53.1210067,23.1645802
Głaz z tablicą upamiętniającą Konstytucję 3 Maja (przy starej remizie);;;;NOT_FOUND;
Tablica W 200. lecie Konstytucji 3 Maja (Urząd Gminy);;;;NOT_FOUND;
park Małachowskich;;;Zamkowa, 26-200 Końskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ81-kTm7JGUcRXh4fcswkNhk;51.1890314,20.4135407
Grota Naruszewicza;;;21-505 Janów Podlaski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBwNgU6W-IUcRB6V-H4GGzq0;52.1965851,23.2029474
Kolegiata Św. Trójcy (d. katedra) miejscespoczynku bp. Adama Naruszewicza;;;Tadeusza Kościuszki 2, 84-200 Wejherowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ88yari26_UYRIxxJnAYkbCk;54.6015183,18.2385206
Zamek;;;Piastów Śląskich 1, 58-306 Wałbrzych, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_8-gefFUDkcROJcI7PFONBc;50.8423154,16.2915673
Bazylika św. Anny;;;Juliusza Słowackiego 6, 21-100 Lubartów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT8Pg2cZGIkcRPXPZF2PkUkM;51.464185,22.6085623
