nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
dawne opactwo Cystersów w Oliwie;Gdańsk;;Biskupa Edmunda Nowickiego 4, 80-330 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBT42WQB1_UYRgDca9I4QnE4;54.4110728,18.5583567
Droga Królewska - ciąg ulic Długiej i Długi Targ;Gdańsk;;Długa, 80-831 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc6lfy6Fz_UYRr1BwQbkrbls;54.3483269,18.6540422
kościół pw. Najświętszej Maryi Panny;Gdańsk;;Podkramarska 5, 80-834 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5ymnjZ9z_UYRDRWYS9R5hvo;54.3498349,18.6530561
kościół pw. św. Brygidy;Gdańsk;;Profesorska 17, 80-001 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi1WT9Vlz_UYRoZmXNQo1gPg;54.3545921,18.6522627
kościół pw. św. Katarzyny;Gdańsk;;Profesorska 3, 80-856 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUULiq3Vz_UYRYjIK4VTDLEo;54.3540485,18.6512313
kościół pw. św. Mikołaja;Gdańsk;;Świętojańska 72, 80-840 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD4yeKwNz_UYR18by6MOBPdU;54.3521416,18.6515269
Muzeum Archeologiczne;Gdańsk;;Mariacka 25/26, 80-833 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb4LDQqBz_UYR4JJSREuTxbY;54.3492833,18.6564542
Muzeum Narodowe;Gdańsk;;Toruńska 1, 80-822 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWyrKlphz_UYRGW2KxF0nXpQ;54.3454255,18.6468929
Muzeum Poczty Polskiej;Gdańsk;;plac Obrońców Poczty Polskiej 1/2, 80-800 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb5hztXRz_UYRpCL1_MhtIr8;54.3550632,18.6566634
Narodowe Muzeum Morskie;Gdańsk;;Ołowianka 9-13, 80-751 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgXgNfApz_UYR0qOqxbwK0I4;54.35089900000001,18.659019
Pomnik Poległych Stoczniowców;Gdańsk;;Plac Solidarności, 80-001 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS92Xp3Fz_UYRjoGR5VXzu6g;54.3605478,18.6490012
Twierdza Wisłoujście;Gdańsk;;Stara Twierdza 1, 80-551 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6_y-W7QM_UYR16N3s8iMoO8;54.3956609,18.679898
Westerplatte;Gdańsk;;80-001 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1yazczN1_UYRorW0dRJlp2k;54.4066936,18.6669688
Barbakan i Brama Floriańska;Kraków;;30-001 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW_gtOxBbFkcR10uSgmL9xP8;50.0648602,19.9413951
bazylika św. Michała Archanioła i św. Stanisława Biskupa i Męczennika (bazylika na Skałce);Kraków;;Skałeczna 15, 31-065 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXyavIGlbFkcRGGC9P9aiYTs;50.048261,19.9377602
Cmentarz Rakowicki;Kraków;;Rakowicka 26, 31-510 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4fLDYh1bFkcRf6eDsONQ6WU;50.0738873,19.954187
Kopiec Kościuszki;Kraków;;al. Waszyngtona 1, 30-204 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnYyClpFbFkcRM1wE20RBCGc;50.05484149999999,19.8927559
Kopiec Piłsudskiego;Kraków;;Kopiec Piłsudskiego, aleja Do Kopca 123, 30-240 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn80dxlBZFkcRCGF4LdB7T_M;50.06005889999999,19.8472029
kościół „Arka” w Nowej Hucie-Bieńczycach;Kraków;;Obrońców Krzyża 1, 31-831 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO6lS10BFFkcRpwgs2g8yXaE;50.0849184,20.0293451
kościół archiprezbiterialny pw. Wniebowzięcia Najświętszej Marii Panny (Mariacki);Kraków;;plac Mariacki 5, 31-042 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd1A69RFbFkcRMr_ccTAeN90;50.0616411,19.9393903
kościół świętych Apostołów Piotra i Pawła;Kraków;;Grodzka 52A, 31-044 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbWWu3RJbFkcRXGEhHFzCIvs;50.0569321,19.9387855
Muzeum Krakowa - Fabryka Emalia Oskara Schindlera;Kraków;;Lipowa 4, 30-702 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2-L1uEhbFkcR-Zek84Ap7zI;50.0474296,19.9615736
Muzeum Krakowa - Rydlówka;Kraków;;Włodzimierza Tetmajera 28, 31-352 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2RUiT9VbFkcR1bZOS3YRwcU;50.0877547,19.8779264
Muzeum Krakowa - Rynek Podziemny;Kraków;;Rynek Główny 1, 31-042 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJERHICBJbFkcRo-dPAVreKqU;50.061934,19.93777
Muzeum Krakowa - Stara Synagoga;Kraków;;Szeroka 24, 31-053 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJselQM0BbFkcRRNtlrwTACk4;50.0514597,19.9485936
Muzeum Lotnictwa Polskiego;Kraków;;al. Jana Pawła II 39, 31-864 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ39ffX9JaFkcR86cKqC04JVg;50.0769631,19.9897622
