nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Centrum Słowian i Wikingów w Wolinie;;;Recław 37, 72-510 Wolin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhx8vRNl8qkcRFtXnA8wEHQk;53.8411039,14.6201727
Grodzisko w Owidzu;;;Rycerska 1, 83-211 Owidz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJt-4YVIibAkcRao5NtXJTZlw;53.955056,18.571803
Kamienne kręgi w Grzybnicy, Odrach, Węsiorach i Leśnie;;;83-320 Węsiory, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_zsh3CSL_UYRXnBTqapTJ3E;54.2177778,17.8400001
Grodzisko w Sopocie;;;Jana Jerzego Haffnera 63, 81-715 Sopot, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXUSUkIYK_UYRHnOrqDInUpY;54.4520244,18.5607042
Rzymska Faktoria Handlowa w Pruszczu Gdańskim;;;Zastawna, 83-000 Pruszcz Gdański, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3Y7dW1lw_UYRcIlGwSMg354;54.2507439,18.6277016
„Cmentarzysko Jaćwingów” w Szwajcarii;;;Szwajcaria, Suwałki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8-0GeKsC4UYRejTXFbJY80M;54.15074569999999,22.9607681
Gród Santocki w Santoku;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJPZS-kG_fBkcRWiT3ZP0dhaE;52.7335966,15.4012358
Rezerwat archeologiczny „Gród Piastowski” w Gieczu;;;Grodziszczko 2, 63-012 Giecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJH8-mweI5BEcRjAtOsaITg6o;52.3186018,17.3638725
Rezerwat archeologiczny „Gród w Grzybowie”;;;Grzybowo 10A, 62-309 Grzybowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO_N9k2PqBEcRR7yBVQAw1p0;52.3620402,17.649018
Rezerwat archeologiczny „Kaliski Gród Piastów” w Kaliszu-Zawodziu;;;Bolesława Pobożnego 87/105a, 62-800 Kalisz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHW4ga8jFGkcRAx74kSrwXEA;51.74652990000001,18.1024219
Grodzisko w Lądzie;;;28-506 Stradów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ15t1zge4F0cR_G_oabMODts;50.3771973,20.4800988
Zespół osadniczy w Łeknie;;;;NOT_FOUND;
Wielkopolskie Piramidy w Łękach Małych;;;Piramidy Wielkopolskie, DW308, 64-060, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZVYWsty1BUcRcNOOjSlfBog;52.1489346,16.5293541
Gród na Ostrowie Lednickim;;;Ostrów Lednicki, 62-261, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0XtJrfiLBEcRaW2ob4iyP48;52.5269444,17.3777778
Gród na Ostrowie Radzimskim;;;Murowana Goślina, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd_sEmEppBEcRJjfkLqiGxvs;52.6045028,16.9333593
Muzeum Archeologiczne w Biskupinie;;;Biskupin 3, 88-410, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKVwK8ORiA0cR43LzwFZZw7w;52.7850085,17.7434372
Grodzisko Wyszogród w Bydgoszczy;;;85-790 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk_uCCm0WA0cRqjz9TVplyGs;53.1407079,18.1542665
Skansen archeologiczny w Mrówkach;;;Kownaty, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhculI-mxBEcRf5s42v2Gpvk;52.496143,18.1216092
Osada Średniowieczna w Hucie Szklanej;;;Huta Szklana 37, 26-004 Huta Szklana, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE5_hBvQeGEcRQeCxsmsmxgA;50.8632207,21.0208264
Gród koło Byczyny;;;Biskupice 58, 46-220, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnVwNBBVlEEcRcR1HlQGMjZs;51.0848708,18.1612105
Muzeum i Rezerwat Archeologiczno-Przyrodniczy „Krzemionki” w Krzemionkach;;;Sudół 135a, 27-400 Ostrowiec Świętokrzyski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtw1QJgMKGEcRvOgQYZ4nIUY;50.9722558,21.4900411
Grodzisko w Stradowie;;;28-506 Stradów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ15t1zge4F0cR_G_oabMODts;50.3771973,20.4800988
Gród na Górze Birów w Podzamczu;;;Partyzantów 9, 42-440 Podzamcze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx1gEDLUYF0cRW0kWj0gWJSU;50.4642265,19.5513782
Park archeologiczny „Osada VI Oraczy” w Bochni;;;Kopalnia Soli, Campi 15, 32-701 Bochnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgbHmvkc7FkcRkqJK554muD0;49.96990419999999,20.4182346
Gród Choina Horodyszcze w Wólce Bieleckiej;;;Wólka Bielecka 7, 21-020 Wólka Bielecka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpRi436-vI0cRiQ0LiZIpEmA;51.23377989999999,23.0420455
Grodzisko Żmijowiska w Żmijowiskach;;;24-313 Żmijowiska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1YXbTKEIkcRwETqiA881ZE;51.2183983,21.9000525
Skansen archeologiczny „Karpacka Troja” w Trzcinicy;;;Trzcinica 646, 38-207 Trzcinica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMTQxWyG0PUcRpToskX_4y2M;49.7320824,21.4332178
