nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Orla Perć* (Tatry);;;Orla Perć, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZb5nGnGLFUcRnR1S9q-G1Ms;49.2231799,20.0327624
Szpiglasowe Perci (Tatry);;;Bukowina Tatrzańska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2-z-sbGLFUcRSYueV8wCzCc;49.1972992,20.0401042
Perć Akademików (Beskid Żywiecki);;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJOWiVEznRFUcRbqfeBrfnytE;49.58337400000001,19.5236721
Perć Przyrodników (Beskid Żywiecki);;;Perć Przyrodników, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbdFQRh_RFUcRrnWqPWaLZ2I;49.5842485,19.5615233
Perć Borkowskiego (Beskid Wyspowy);;;Zaryte, 34-700 Rabka-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO1x-8loLFkcRw7UDIrXH5Zo;49.6511449,19.994862
Skalna Perć (Masyw Ślęży);;;Unnamed Road, Krzeczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw7AROXG1D0cRtL__VlRgJQU;50.86797780000001,16.7081441
Sokola Perć (Pieniny);;;Polen PL, Szlak pieszy niebieski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh7MrXNUFPkcRSVImbOibfCM;49.4245847,20.4274434
Perć Gwarków (Góry Opawskie);;;Głuchołazy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaYlmi_WTEUcRI5tICfB3fpg;50.27768620000001,17.4493005
Perć Sosnowskiego (Beskid Sądecki);;;Języki 22, 34-460 Szczawnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjSvF54kGPkcRFVk-ZQiSd_U;49.4390882,20.4858499
Jastrzębia Perć (Góry Kamienne);;;Jastrzębia Góra, 58-379, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa6Y2A2r4DkcR6mtbbVRAqSA;50.7563586,16.1263815
Muflonowa Perć (Góry Kamienne);;;58-340 Głuszyca, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNyalRZFaDkcRecVTUhCMzmM;50.688071,16.3240606
