nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Odwiedzenie mogiły pułkownika Jerzego Strzałkowskiego.;;;;NOT_FOUND;
Udział w uroczystościach organizowanych lub współorganizowanych przez Stowarzyszenie Żołnierzy AK POS „Jerzyki”.;;;;NOT_FOUND;
Pomnik żołnierzy AK POS „Jerzyki”.;;;Unnamed Road, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8Yx-ycY3GEcRR8WNBljlB_I;51.1578796,20.7395166
Tablica poświęcona żołnierzom AK POS „Jerzyki”.;;;Droga palmirska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDwArev6zHkcREm1X_gN_AOs;52.3260934,20.7609248
Odwiedzenie indywidualnej mogiły żołnierza AK POS „Jerzyki”.;;;Powązkowska 43/45, 01-797 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0XNtRaPLHkcRXqSfvLf4ezk;52.2585454,20.9535878
"Muzea, wystawy, izby pamięci dotyczące żołnierzy AK POS „Jerzyki” lub ZMzDW (Związek Młodzieży z Dalekiego Wschodu); instytucje (organizacje) noszące imię Jerzego Strzałkowskiego, POS lub „Jerzyki”.";;;Wolska 168, 01-258 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzekjw1PLHkcRx9tgYTtdOU4;52.2255042,20.9361244
Odwiedzone miejsca związane z działalnością bojową POS „Jerzyki”.;;;Droga palmirska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDwArev6zHkcREm1X_gN_AOs;52.3260934,20.7609248
Miejsca i osoby związane z działalnością cywilną POS „Jerzyki”.;;;;NOT_FOUND;
Sfotografowanie obiektu.;;;;NOT_FOUND;
Miejsca związane z działalnością ZMzDW.;;;Kolejowa 5/7, 01-217 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGSPaD2DMHkcR4SC4mtMRcuI;52.2248967,20.9721353
Ulice, skwery, pomniki poświęcone pojedynczemu żołnierzowi AK POS „Jerzyki”.;;;Leszno, 01-015 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgS52oYHMHkcRShaoEMWPvrA;52.2387202,20.9836132
Artykuł w prasie o działalności „Jerzyków” lub ZMzDW (podać nazwę i datę publikacji) – (za przytoczoną treść kolejne 2 pkt.).;;;;NOT_FOUND;
Żołnierze AK POS „Jerzyki”.;;;Droga palmirska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDwArev6zHkcREm1X_gN_AOs;52.3260934,20.7609248
