nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bardo Śląskie - pow. kłodzki, woj. dolnośląskie,;;;Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ267jxyojDkcRAxDYiEWfOGY;50.5000144,16.7583469
Batorów - gm. Szczytna, pow. kłodzki, woj. dolnośląskie,;;;Batorówek, Szczytna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMWBfNGxrDkcR-lL6dkl1tD8;50.44906659999999,16.4230326
Bolesławiec - gm. Bolesławiec, pow. bolesławiecki, woj. dolnośląskie,;;;59-700 Bolesławiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrzgwDTs0D0cRonh00IwO_I0;51.2658553,15.5657397
Burgrabice - gm. Głuchołazy, pow. nyski, woj. opolskie,;;;48-340 Burgrabice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNXBK-yXqEUcRVbPZRE-aCQA;50.3570104,17.2834219
Chełm - gm. Chełm, pow. chełmski, woj. lubelskie,;;;Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ36UeUliaI0cR9vky0FB9vlI;51.1431232,23.4711986
Domaszkowice - gm. Nysa, pow. nyski, woj. opolskie,;;;Domaszkowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb1A0HE3HEUcR-jXii2P01As;50.4521033,17.4397334
Duszniki Zdrój - gm. Duszniki zdrój, pow. lodzi, woj. dolnośląskie,;;;Duszniki-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_eTxHGFsDkcRDzYttRmDCGo;50.404284,16.3904406
Gierałcice - gm. Głuchołazy, pow. nyski, woj. opolskie,;;;Gierałcice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq7LXxVPqEUcR5dwrxoQdblA;50.345613,17.3182323
Głodowo - gm. Dobre Miasto, pow. olsztyński, woj. warmińsko - mazurskie,;;;Głotowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSy_X-MSI4kYRBv1PF_EItJk;53.9591296,20.3626489
Głuchołazy - gm. Głuchołazy, pow. nyski, woj. opolskie,;;;Głuchołazy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy3l8XSjrEUcRMCxDbiAyLkQ;50.3151456,17.383469
Góra Kalwaria - pow. piaseczyński, woj. mazowieckie,;;;05-530 Góra Kalwaria, Polska;https://www.google.com/maps/place/?q=place_id:ChIJifyeQfDXGEcR08Kb-7qSSjU;51.97646599999999,21.215337
Góra Św. Anny - gm. Leśnica, pow. strzelecki, woj. opolskie,;;;47-154 Góra Świętej Anny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY6dhARAFEUcR8FX33Po8H5c;50.4527019,18.1674707
Grodków - gm. Grodków, pow. brzeski, woj. opolskie,;;;Grodków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_y15mULNEUcRsQijY9rWN7k;50.69625,17.38516
Kalwaria Pacławska - gm. Fredropol, pow. przemyski, woj. podkarpackie,;;;Kalwaria Pacławska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1wxQlDWEO0cRdQn5at3Oho0;49.6345697,22.706023
Kalwaria Zebrzydowska - gm. Zebrzydowice, pow. wadowicki, woj. małopolskie,;;;34-130 Kalwaria Zebrzydowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPUvbwwdjFkcRT1YYLubxfjU;49.86686,19.67676
Katowice - Panewniki - gm. Katowice, woj. śląskie,;;;Panewniki, 40-752 Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB9UDSqDOFkcRMbYg6fRddtM;50.2259714,18.952727
Kąty - gm. Nowy Żmigród, pow. jasielski, woj. podkarpackie,;;;38-230 Kąty, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTz4VL40zPEcRyuhDyF1XxUU;49.5603882,21.5196254
