nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Abisynia K-P;;;83-441 Abisynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5-ebvfBuAkcRzCSuTJnc_BA;53.933611,17.8175
Adamki K-P;;;34-340 Pewel Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG7mKWU4qFEcRVZu8ULQdeVM;49.6743827,19.3664196
Adamowa Góra MAZ;;;96-512 Adamowa Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRwetzpD-G0cRCK2mn9guwn4;52.26310520000001,20.2100788
Adolfin K-P;;;26-670 Adolfin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9-thKviKGEcRcmq8suoUFrA;51.4484984,21.3845734
Adrian W-M;;;;NOT_FOUND;
Agnieszkowo K-P;;;87-890 Agnieszkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4_qieTtfG0cRGMwDSDLz1vw;52.55549269999999,18.7642288
Agrafinówka PDL;;;;NOT_FOUND;
Albinów MAZ;;;Albinów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT3hXEa_cG0cR-8MOAlFKV5A;51.9719935,19.8254168
Aleksicze PDL;;;16-060 Aleksicze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG-K0ZhIbIEcRO_0ysDQy5YQ;52.9573628,23.3538598
Alfonsów MAZ;;;09-533 Alfonsów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyf6GsKcKHEcRqzlyxaqtXOU;52.3999314,19.8764814
Alpy POM;;;Alpy, 84-251 Rybienko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWy7bhobI_UYR67mM0pTLW0E;54.6808983,18.0600869
Altana K-P;;;33-395 Rdziostów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB2BDJsf7PUcRKf4evDxp8lg;49.6466924,20.6537919
Altanka MAZ;;;pomiędzy Wakepark, a Gminnym Ośrodkiem Kultury, Jeziorna 8, 66-415 Kłodawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4TQJp0QhB0cRIhYiTKP8ONM;52.7886296,15.2183597
Ameryczka K-P;;;;NOT_FOUND;
Ameryka K-P;;;;NOT_FOUND;
Anatolin MAZ;;;09-541 Anatolin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCzObxZ-MG0cR0fh9gVIwqTA;52.3277175,19.7650561
Andrzejki MAZ;;;;NOT_FOUND;
Aniele W-M;;;;NOT_FOUND;
Aniołowo W-M;;;Aniołowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRf3bj2Gx4kYRnGGSqz4za50;54.1216635,19.5997753
Antonia W-M;;;12-114 Antonia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzca1bnMEHkcRC31KOKEF6Pw;53.45458430000001,21.4296258
Antymeszki W-M;;;Antomieszki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTRmx6B94UYRKdXiWykBb6g;54.3129151,21.9977406
Ateny PDL;;;;NOT_FOUND;
Aulakowszczyzna PDL;;;;NOT_FOUND;
Azja WLP;;;Tadeusza Czackiego 7/9/11, 00-043 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz6LL8F_MHkcRh7hlerx8fEg;52.237289,21.0147395
Baba K-P;;;Starowiślna, 03-193 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU25pcCnJHkcRT0HKpb5ILp8;52.30278029999999,20.9920699
Babia WLP;;;34-223 Zawoja, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG6tOTtnVFUcRtYEocLr5u28;49.5937423,19.531196
Babia Gać K-P;;;Babia Gać, Wąsosz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO0a4vUBwA0cRCPGpR7tEc0A;52.94992149999999,17.7568633
Babiak W-M;;;Babiak, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-ym_HXby4kYRH1nEbH8Eh0A;54.1716243,20.3599197
Babia Doły POM;;;Babie Doły, Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJTK1bjym_UYRHmFmtBl-pnA;54.5761844,18.5417868
Babięta W-M;;;Babięta, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0XyWnRwE4kYRKr94shwQQJY;53.6729259,21.2590402
Babiki PDL;;;;NOT_FOUND;
Babilon POM;;;Babilon, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGyTkg8Y-AkcR7AjooIQBXMU;53.7886957,17.4363895
Babin ZPM;;;24-200 Babin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUWVPlYL2IkcRxO_iUvZHMO8;51.1747878,22.3400489
Babka K-P;;;Zygmunta Słomińskiego 19, 00-195 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYUeruYjLHkcRGU37bSLJm0s;52.25440769999999,20.9856439
Babki W-M;;;Babki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7eXccdxy4UYRl2Adfr0OPxM;54.22250409999999,22.4515079
Baby MAZ;;;Xawerego Dunikowskiego 10, 02-784 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1egX93ctGUcR2KKXCq-zvY8;52.1525733,21.026314
Babule PKR;;;Babule 37, 39-340 Padew Narodowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8xZGB5RAPUcRpP-wczPECww;50.39886440000001,21.5389429
Bagno WLP;;;55-120 Bagno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_yGKN7WPD0cRP1630T5gf5k;51.3383972,16.8208678
Bajka K-P;;;Władysława Broniewskiego 9, 01-780 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXdfnzbTLHkcRAteILnVgLgE;52.2646364,20.96939
Balcer PDL;;;;NOT_FOUND;
Bale MAZ;;;Bale, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBUpuivdDH0cRVvwRByZKOgQ;52.2474457,22.1326196
Bałamątek POM;;;76-211 Bałamątek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ23_RB4V_kYR-2EwAydkXSI;54.6159882,17.0317415
Bałkany POM;;;;NOT_FOUND;
Banderoza LBU;;;Powstańców Śląskich 23, 48-340 Głuchołazy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPUU0TzSVEUcRgc-uYP6Rt2Q;50.3119458,17.3911317
Banie ZPM;;;os. Centrum 7, 43-170 Łaziska Górne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9VFW3m7LFkcREwSzutVpVkg;50.148903,18.8427775
Bańki PDL;;;al. Jana Pawła II 29, 00-867 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpSYWlYnMHkcRqklQHoYkc3Q;52.23892619999999,20.9952242
Bar W-M;;;;NOT_FOUND;
Baraki WLP;;;23-235 Baraki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJeRteTDy-IkcR345WqLlirg8;50.9474816,21.9122669
Baranki PDL;;;Brandstrasse 12, 8952 Schlieren, Szwajcaria;https://www.google.com/maps/place/?q=place_id:ChIJS7MJ5jgNkEcR96HzGIF2pAk;47.4018454,8.4464104
Baranów MAZ;;;96-314 Baranów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMZFkVPxPGUcRx-Jf7QZfgVw;52.1217948,20.4717194
Barany K-P;;;;NOT_FOUND;
Barbarka K-P;;;Różankowo-Świerczyny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb4KRUKk2A0cRCgT0_o6Mm2o;53.060752,18.540137
Bark W-M;;;;NOT_FOUND;
Barłogi WLP;;;Barłogi, Polska;https://www.google.com/maps/place/?q=place_id:ChIJicA2Ck_NBEcR6arH_jX0Rts;52.183356,18.0669121
Barszcze PDL;;;Barszcze 30, 16-320, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCxKwZ4NL4EYRcCAGfGBgkJw;53.74217050000001,22.7483488
Bartki PDL;;;;NOT_FOUND;
Bartniki MAZ;;;Bartniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0R8pDthdGUcRnEnlFhCz23k;52.01119550000001,20.2502004
Bartosz MAZ;;;08-300 Bartosz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi9ZD4eBrH0cRZp6SDnE0ZLs;52.3865989,22.2257098
Basen PDL;;;Toruńska 34/40, 87-165 Wielka Nieszawka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIxH1XOU1A0cRh-FU9Sw6Kb0;52.9990502,18.5045966
Batowo W-M;;;74-230 Batowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlXTLSPw1B0cR2a6IXOezF6M;53.0562939,14.9628675
Bażantarnia ŁDZ;;;82-317 Elbląg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3W5uqrZM_UYRYNP0tjT8Gzo;54.174858,19.4464237
Bąblin WLP;;;Bąblin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU-K1w7UTBEcRGdASnR00OdM;52.6766653,16.7186252
Bącz POM;;;83-329 Bącz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlzVUTgmT_UYR4INQGcezZtI;54.38053300000001,17.9925606
