nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Cieplice Śląskie Zdrój – w granicach administracyjnych Jeleniej Góry,;;;Cieplice Śląskie-Zdrój, 58-560 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzYZxc9rdDkcRwU1fIcFxU8E;50.8691192,15.6842688
Czerniawa Zdrój – w granicach Świeradowa Zdroju,;;;Sienkiewicza 13, 59-850 Świeradów-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnSmUG5zTDkcRMnpUZxcRWMU;50.9094579,15.3304033
Długopole Zdrój,;;;57-520 Długopole-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb9mZmcUFDkcRZifiS02eLmc;50.2457205,16.6323254
Duszniki Zdrój,;;;Duszniki-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_eTxHGFsDkcRDzYttRmDCGo;50.404284,16.3904406
Jedlina Zdrój,;;;Jedlina-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQdqQIkNQDkcRb61CV5_AhHo;50.71966,16.345569
Kudowa Zdrój,;;;Kudowa-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ15WdBS9vDkcRbIn_hk-Zrv0;50.4427156,16.2426605
Lądek Zdrój,;;;Lądek-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0-K5_4sdDkcR17jrYWIdcw4;50.3430802,16.8795362
Polanica Zdrój,;;;Polanica-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5wnPop8TDkcR8F1uBb0d1hQ;50.40422969999999,16.5127837
Przerzeczyn Zdrój,;;;58-231 Przerzeczyn-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW7i18MUxDkcR1Hqr2LDaRUw;50.6850692,16.8259844
Szczawno Zdrój,;;;Szczawno-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJt_iTXyhUDkcRAaKoPiD1fjU;50.810462,16.2478969
