nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
"Książański Park Krajobrazowy (data utworzenia: 28 października 1981; powierzchnia: 3 155,4 ha)";;;;NOT_FOUND;
"Park Krajobrazowy Chełmy (data utworzenia: 1992; powierzchnia: 15 990 ha)";;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-QbtqpYbD0cRBsUo_fYOefw;51.0228933,15.9810899
"Park Krajobrazowy Dolina Baryczy (data utworzenia: 3 czerwca 1996; powierzchnia: 70 040 ha)";;;;NOT_FOUND;
"Park Krajobrazowy Dolina Bystrzycy (data utworzenia: 1998; powierzchnia: 8570 ha)";;;;NOT_FOUND;
"Park Krajobrazowy Dolina Jezierzycy (data utworzenia: 12 sierpnia 1994; powierzchnia: 7953 ha)";;;;NOT_FOUND;
"Park Krajobrazowy Doliny Bobru (data utworzenia: 16 listopada 1989; powierzchnia: 12 295 ha)";;;59-610 Wleń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPRF4MlfcDkcRo0sQsfiWNk8;50.9876314,15.64817
"Park Krajobrazowy Gór Sowich (data utworzenia: 1991; powierzchnia: 8140 ha)";;;Valbjix, 57-430 Jugów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq5S2h81HDkcRjjnde4wJxbU;50.680265,16.4849351
"Park Krajobrazowy Sudetów Wałbrzyskich (data utworzenia: 1998; powierzchnia: 6493 ha)";;;58-100 Unisław Śląski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe37uQLVXDkcRn7gnVnF1WDo;50.70276370000001,16.2266753
"Przemkowski Park Krajobrazowy (data utworzenia: 1997; powierzchnia: 22 340 ha)";;;Piotrowice 89, 59-170 Piotrowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHUsE5QJXD0cRrOGKGBZA8-Y;51.4504718,15.7710115
"Rudawski Park Krajobrazowy (data utworzenia: 16 listopada 1989; powierzchnia: 15 705 ha)";;;;NOT_FOUND;
"Ślężański Park Krajobrazowy (data utworzenia: 1988; powierzchnia: 8190 ha)";;;55-051 Sobótka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF9f584PKD0cRX8FbmFcSJkI;50.8544123,16.7094021
"Śnieżnicki Park Krajobrazowy (data utworzenia: 1981; powierzchnia: 28 800 ha)";;;;NOT_FOUND;
"Brodnicki Park Krajobrazowy (data utworzenia: 1985; powierzchnia: 13 674 ha)";;;;NOT_FOUND;
Chełmiński Park Krajobrazowy;;;86-200, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcy56TMvYAkcRQ-oucm0Ywes;53.3694644,18.4886372
"Gostynińsko-Włocławski Park Krajobrazowy (data utworzenia: 1979; powierzchnia: 38 950 ha)";;;Kowal, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoekRkeOAHEcR3J0HQvV8Nu4;52.5664637,19.3025646
"Górznieńsko-Lidzbarski Park Krajobrazowy (data utworzenia: 1990; powierzchnia: 27 764 ha)";;;Ruda 1, 87-320 Górzno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMcUjDO4DHUcRz9PC4IdaC9Y;53.2251601,19.6560585
"Krajeński Park Krajobrazowy (data utworzenia: 1998; powierzchnia: 73 850 ha)";;;;NOT_FOUND;
Nadwiślański Park Krajobrazowy;;;Sądowa 5, 86-100 Świecie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaayauxEWA0cRrHh-4C-AKWc;53.406437,18.4528358
