nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Duszniki-Zdrój, pow. kłodzki – pomnik Fryderyka Chopina przed Teatrem Zdrojowym w Parku Zdrojowym przy ul. Parkowej.;I. Województwo dolnośląskie;;Zielona, 57-340 Duszniki-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgdda6gJtDkcRBmDQdZes3qQ;50.3937752,16.3840697
"Głogów – Biblioteka Świętego Pielgrzyma (pomnik pamięci papieża Jana Pawła II) na pl. Jana Pawła II; w miejscu średniowiecznego kościoła św. Piotra.";I. Województwo dolnośląskie;;Brama Brzostowska 4, 67-200 Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhwtMCI31BUcRrq0DhzUujag;51.6671856,16.0907447
Głogów – pomnik Dzieci Głogowskich na pl. Jana Pawła II, w pobliżu Zamku Książąt Głogowskich.;I. Województwo dolnośląskie;;Brama Brzostowska 4, 67-200 Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnecV_xD0BUcRpIU0MbZjv08;51.6664081,16.0899365
Kłodzko – pomnik w Hołdzie Obrońcom Ojczyzny w parku Sybiraków przy ul. Nad Kanałem.;I. Województwo dolnośląskie;;Zawiszy Czarnego, 57-300 Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi5wHRwcXDkcRJConohNWcj4;50.4373266,16.6536384
Lubin – pomnik Jana Wyżykowskiego w parku u zbiegu al. Niepodległości i ul. Mieszka I.;I. Województwo dolnośląskie;;Ignacego Paderewskiego 99, 59-300 Lubin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLQJzc3pvD0cR2otXss65nS4;51.3931906,16.2108435
Wrocław – pomnik Aleksandra hr. Fredry przed ratuszem na Rynku.;I. Województwo dolnośląskie;;Rynek, 50-116 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmTXuq3XCD0cReGWnLgmybeA;51.109661,17.0313107
Wrocław – pomnik Fryderyka Chopina w Parku Południowym.;I. Województwo dolnośląskie;;53-141 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG3IbBEvCD0cRs5YhlXAW3T0;51.07464359999999,17.0095121
Wrocław – pomnik Juliusza Słowackiego w parku Juliusza Słowackiego.;I. Województwo dolnośląskie;;Promenada Staromiejska, 50-529 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGXracXjCD0cRRarSW74YtjE;51.1093455,17.0451888
Wrocław – pomnik króla Bolesława Chrobrego przy ul. Promenada na Starym Mieście.;I. Województwo dolnośląskie;;Promenada Staromiejska, 50-001 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUw4e13PCD0cRAkUAN0CIPqE;51.1043356,17.031349
Wrocław – pomnik papieża Jana XXIII na Ostrowie Tumskim przy ul. Św. Marcina.;I. Województwo dolnośląskie;;Unnamed Road, 50-327 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb2iNpVHpD0cRYRhsFpL9fZw;51.1156714,17.0423383
Ziębice, pow. ząbkowicki – pomnik Orła Piastowskiego na wzgórzu w parku miejskim (największy w Europie pomnik wykonany z ceramiki).;I. Województwo dolnośląskie;;Wałowa 14, 57-220 Ziębice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcYavuHspDkcRvnWwItLlfQY;50.6003826,17.0445962
Brodnica – pomnik Anny Wazówny przed pałacem przy ul. Zamkowej.;II. Województwo kujawsko-pomorskie;;Zamkowa 1, 87-301 Brodnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMaVfc2gfHUcRs3CcwUGNuqo;53.258139,19.400272
Brześć Kujawski, pow. włocławski – pomnik króla Władysława I Łokietka na pl. Władysława Łokietka (d. Rynek).;II. Województwo kujawsko-pomorskie;;Pl. Władysława Łokietka 2-3, 87-880 Brześć Kujawski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRX8BcSygHEcRGnzyfugQ7Dc;52.6041265,18.9010639
Bydgoszcz – pomnik Henryka Sienkiewicza w parku im. Jana Kochanowskiego w „dzielnicy muzycznej”.;II. Województwo kujawsko-pomorskie;;Juliusza Słowackiego, 85-000 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1QbEk28TA0cREWN3VgkEcYk;53.129666,18.0102804
Bydgoszcz – pomnik króla Kazimierza III Wielkiego przy ul. Pod Blankami.;II. Województwo kujawsko-pomorskie;;Trybunalska 2, 85-105 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJodGVQrsTA0cRNjzpBpD0zlE;53.1204768,17.9987038
Bydgoszcz – pomnik Mariana Rejewskiego [tzw. „Ławeczka”] przy ul. Gdańskiej.;II. Województwo kujawsko-pomorskie;;Gdańska 37, 85-005 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmxBCTr8TA0cRU6U5mFUSMk8;53.1282611,18.005816
Bydgoszcz – pomnik Marii Konopnickiej na skwerze przy ul. Marii Konopnickiej na Szwederowie.;II. Województwo kujawsko-pomorskie;;Marii Konopnickiej, 85-124 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVfJ6daETA0cRHjXFty1MQhU;53.1122607,17.9984667
Grudziądz – pomnik Żołnierza Polskiego [tzw. Pomnik Niepodległości] na Rynku Głównym.;II. Województwo kujawsko-pomorskie;;Rynek 20-21, 86-302 Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf8sYn8LPAkcRFRDQTmvnfmo;53.4923961,18.7488004
Inowrocław – pomnik gen. Władysława Sikorskiego [tzw. „Ławeczka”] na skwerze przy ul. Solankowej.;II. Województwo kujawsko-pomorskie;;88-100 Inowrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCVbsXqxRA0cRT02rb17yqV0;52.7938012,18.240042
Inowrocław – pomnik Jana Kasprowicza na skwerze przy ul. Solankowej.;II. Województwo kujawsko-pomorskie;;88-110 Inowrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE0MUWYlQA0cRLLoLQ_lqzwo;52.79673829999999,18.2543686
Toruń – pomnik Kargula i Pawlaka przed Cinema City przy Czerwonej Drodze.;II. Województwo kujawsko-pomorskie;;Czerwona Droga, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ06E20fw0A0cRoPjHa1vxLu0;53.0153545,18.6013629
Toruń – pomnik marsz. Józefa Piłsudskiego na pl. Mariana Rapackiego.;II. Województwo kujawsko-pomorskie;;na zachód od granic Starego Miasta, al. Jana Pawła II 16/100m, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZxrWKh01A0cRZ036YsZmnV0;53.0100718,18.5983971
Toruń – pomnik Mikołaja Kopernika na Rynku Staromiejskim.;II. Województwo kujawsko-pomorskie;;Rynek Staromiejski, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8WwPlR01A0cR6NtIy_CTMC8;53.010314,18.6049249
Toruń – pomnik Samuela Bogumiła Lindego – twórcy słownika języka polskiego przed Książnicą Kopernikańską przy ul. Juliusza Słowackiego.;II. Województwo kujawsko-pomorskie;;87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe0-mEAk1A0cRroA1CLtzAKk;53.0129885,18.595467
Włocławek – pomnik kard. Stefana Wyszyńskiego przed bazyliką katedralną pw. Wniebowzięcia NMP przy ul. Katedralnej.;II. Województwo kujawsko-pomorskie;;Prymasa Stanisława Karnkowskiego 7, 87-800 Włocławek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm-6VjHCZHEcR30Q7BszXHDA;52.6612289,19.0678584
Biała Podlaska – pomnik Józefa Ignacego Kraszewskiego [tzw. „Ławeczka”] na pl. Wolności.;III. Województwo lubelskie;;plac Wolności 2, 21-500 Biała Podlaska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ788SljmRIUcR-Y1wUqNjYxg;52.0335835,23.1190672
Biała Podlaska – popiersie Józefa Ignacego Kraszewskiego przed I Liceum Ogólnokształcącym u zbiegu ul. Zamkowej i ul. Warszawskiej.;III. Województwo lubelskie;;Józefa Ignacego Kraszewskiego 1, 21-500 Biała Podlaska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJl3HibjmRIUcRmLGGJBP8pRY;52.0317898,23.1181493
Hrubieszów – popiersie Bolesława Prusa w Parku Miejskim przy ul. 3 Maja.;III. Województwo lubelskie;;Ulica 3-go Maja 6B, 22-500 Hrubieszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8QlZtTqPJEcR29qQgnoou0s;50.804933,23.8872291
Lublin – pomnik Cypriana Kamila Norwida przed Collegium Norvidianum Katolickiego Uniwersytetu Lubelskiego, przy al. Racławickich.;III. Województwo lubelskie;;aleje Racławickie, 20-037 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJP2RpeGFXIkcReX-qDZ4F_qw;51.24828429999999,22.544121
Lublin – pomnik Henryka Wieniawskiego przed Filharmonią im. Henryka Wieniawskiego, przy ul. Marii Curie-Skłodowskiej.;III. Województwo lubelskie;;Artura Grottgera, 20-029 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPwksI2RXIkcRfl_L_uh_jus;51.2461084,22.5487151
Lublin – pomnik Jana Pawła II i kard. Stefana Wyszyńskiego „Homagium” na dziedzińcu Katolickiego Uniwersytetu Lubelskiego, przy al. Racławickich.;III. Województwo lubelskie;;Idziego Radziszewskiego 5, 20-036 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ676L1rJXIkcRMPVIGE7ND3U;51.2474623,22.544729
Lublin – pomnik Konstytucji 3 Maja na Placu Litewskim.;III. Województwo lubelskie;;3 Maja 2, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq2CNZmhXIkcRQlrk00PJkiQ;51.2481865,22.5583992
Lublin – pomnik Marii Curie-Skłodowskiej na pl. Marii Curie-Skłodowskiej, pomiędzy gmachami fizyki, chemii a rektoratem UMCS.;III. Województwo lubelskie;;ul. Marii Curie-Skłodowskiej, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAxfHO2RXIkcRocEefzhu2Y0;51.2455268,22.5416391
Lublin – pomnik marsz. Józefa Piłsudskiego na Placu Litewskim.;III. Województwo lubelskie;;Krakowskie Przedmieście 52, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoxxMXWhXIkcRmnE9qwVKGJo;51.2482756,22.5589871
Lublin – pomnik prymasa kard. Stefana Wyszyńskiego przed Kurią Metropolitalną, przy ul. Stefana Wyszyńskiego.;III. Województwo lubelskie;;Podwale 1, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm9tC8GpXIkcRMT49y8mXDEA;51.2463369,22.5690416
Lublin – pomnik Unii Lubelskiej na Placu Litewskim.;III. Województwo lubelskie;;plac Litewski, 20-080 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA8VlTmhXIkcR8-u7Hy9DQHE;51.2481827,22.5603379
Lublin – pomnik Walki i Męczeństwa na Majdanku.;III. Województwo lubelskie;;Droga Męczenników Majdanka 67, 20-325 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAQQMO_pWIkcRjP53yopLePM;51.2255116,22.6040388
Nałęczów, pow. puławski – pomnik Bolesława Prusa [tzw. „Ławeczka”] w Parku Zdrojowym.;III. Województwo lubelskie;;24-140 Nałęczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfe7tmLFhIkcRFgSqMXB_xYk;51.2869847,22.2084325
Nałęczów, pow. puławski – pomnik Bolesława Prusa przed Pałacem Małachowskich.;III. Województwo lubelskie;;24-140 Nałęczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfe7tmLFhIkcRFgSqMXB_xYk;51.2869847,22.2084325
Szczebrzeszyn, pow. zamojski – pomnik chrząszcza u podnóża Góry Zamkowej, nieopodal zabytkowego młyna (jedyny na świecie pomnik chrząszcza).;III. Województwo lubelskie;;D-ra Zygmunta Klukowskiego, 22-460 Szczebrzeszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7VywhTpBI0cRYYx3M02Olrs;50.6908676,22.9749615
Zamość – pomnik Jana Zamoyskiego przy ul. Akademickiej na Starym Mieście.;III. Województwo lubelskie;;Szczebrzeska 2B, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiYPcWaNnI0cRVyKJEVEt4dc;50.71740490000001,23.2501491
Zamość – pomnik biblijnego króla Dawida Psalmisty na rawelinie przed Nową Bramą Lubelską, na skraju Starego Miasta.;III. Województwo lubelskie;;Waleriana Łukasińskiego 22-400, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjWSzpaVnI0cRlX-a_eEXUjE;50.7195452,23.2546095
Gorzów Wielkopolski – pomnik Adama Mickiewicza na skwerze nieopodal dworca kolejowego i dworca autobusowego.;IV. Województwo lubuskie;;66-400 Gorzów Wielkopolski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWyvV0qMfB0cRikBH29R2o0o;52.7304423,15.2293159
Gorzów Wielkopolski – pomnik bp. Wilhelma Pluty przed katedrą Wniebowzięcia NMP przy ul. Obotryckiej.;IV. Województwo lubuskie;;Obotrycka 12B, 66-400 Gorzów Wielkopolski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgYuzCncfB0cRYLUNpr0nh14;52.7306405,15.2391455
Gorzów Wielkopolski – pomnik marsz. Józefa Piłsudskiego przy ul. Orląt Lwowskich w Centrum.;IV. Województwo lubuskie;;66-400 Gorzów Wielkopolski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo97HkaEfB0cRc08pzzWqxa4;52.73087700000001,15.2291231
Zielona Góra – pomnik Ignacego Łukasiewicza przed budynkiem Oddziału Polskiego Górnictwa Naftowego i Gazownictwa (PGNiG), przy ul. Bohaterów Westerplatte.;IV. Województwo lubuskie;;Bohaterów Westerplatte, 65-034 Zielona Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJg8kRQuYTBkcRCPhbERPw8sU;51.9426511,15.506097
Kutno – pomnik marsz. Józefa Piłsudskiego przed Urzędem Miasta na pl. Józefa Piłsudskiego.;V. Województwo łódzkie;;Plac Marszałka Józefa Piłsudskiego, 99-300 Kutno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmV-z--ebG0cRTfRrdsLm8rM;52.2325445,19.3564849
Łódź – pomnik Artura Rubinsteina [tzw. „Fortepian Rubinsteina” – część Galerii Wielkich Łodzian], przy ulicy Piotrkowskiej.;V. Województwo łódzkie;;Piotrkowska 78, 90-004 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu8VrdtXKG0cR1Xvn75yq6Mw;51.7676019,19.4568237
Łódź – Pomnik Dekalogu w Parku Staromiejskim.;V. Województwo łódzkie;;Wolborska 8, 91-434 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVeAzjNvKG0cRTay7l_cK9BU;51.780791,19.4570463
Łódź – pomnik hm. Aleksandra Kamińskiego w Parku Staromiejskim.;V. Województwo łódzkie;;Ogrodowa, 90-354 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSzR8HdvKG0cRdqaYxODHkcg;51.7791199,19.4529776
Łódź – pomnik hm. ks. Ignacego Skorupki przed bazyliką archikatedralną św. Stanisława Kostki przy ul. Piotrkowskiej.;V. Województwo łódzkie;;Ks. Ignacego Skorupki 9, 90-458 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_bHznts0GkcRCoofV9GRPGE;51.74947539999999,19.4574591
