nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Będkowice (okolice Sobótki) – Grodzisko Ślężan,;;;55-050 Będkowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFXFTU2rKD0cRd2hz66eJLuQ;50.8716826,16.7498134
Chełmsko Śląskie – podcieniowe domy tkaczy,;;;Sądecka 17, 58-407 Chełmsko Śląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ90u3Q_2DkcRAd88G_yTA-Q;50.6660721,16.0724001
Jaworzyna Śląska – Skansen lokomotyw,;;;Towarowa 4, 58-140 Jaworzyna Śląska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiXTuu0ysD0cRSTAcFjn6K_c;50.91539,16.4363365
Jelenia Góra – Skansen uli,;;;Sudecka 83, 58-500 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-WbaHZ_gDkcRvVABz46Ma0Y;50.8895985,15.7524963
Kowary – Skansen - Park Miniatur Zabytków Dolnego Śląska.;;;Zamkowa 9, 58-530 Kowary, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvSVtEMTlDkcRTYOOjG8A23A;50.7985968,15.8342335
Kudowa - Pstrążnia – Skansen Kultury Ludowej Pogórza Sudeckiego,;;;Pstrążna 14, 57-350 Kudowa-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWXybY75oDkcRkgMoy7pT5Hg;50.4745834,16.2596062
Wambierzyce – Skansen Sprzętu Gospodarstwa Domowego i Rolniczego, mini ZOO – prywatny;;;Wiejska 52, 57-411 Wambierzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsz_Y1eRqDkcRAnYsLJVIaKY;50.4778669,16.4303806
Biskupin – Rezerwat Archeologiczno Historyczny Kultury Łużyckiej,;;;Biskupin 3, 88-410, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKVwK8ORiA0cR43LzwFZZw7w;52.7850085,17.7434372
Kaszczorek (okolice Torunia) – Ekspozycja Budownictwa Ludowego i Zajęć Wodnych,;;;Turystyczna 130, 87-162 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp34PjgPLHEcRG1m0Jj8yn_M;53.0012602,18.7000541
Kłóbka – Kujawsko – Dobrzyński Parek Etnograficzny,;;;87-840 Kłóbka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0TEsWI58G0cRSJ_SnWDCE_Q;52.4503219,19.126109
Toruń – Park Etnograficzny,;;;Wały Generała Władysława Sikorskiego 19, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi0_pW-I0A0cRR_735X21Fxs;53.0139766,18.6043118
Wenecja – Skansen Kolejek Wąskotorowych,;;;88-400 Wenecja, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiS2G_ghjA0cR1Y2MGzkXquI;52.7986312,17.752799
Więcbork – Skansen Pszczelarstwa „Pasieka Kujawska”,;;;Poznańska 35, 62-020 Swarzędz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcXLkuE5ZBEcRrw5lFNUo2HA;52.403564,17.0608073
Biłgoraj – Zagroda Sitarska,;;;Nadstawna 32, 23-400 Biłgoraj, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFVrIS3Y2I0cRPU9648RyDVQ;50.5392151,22.7188146
Chełm – Skansen – Park, Samolotów,;;;Partyzantów 31, 22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9fSONDibI0cRc2TwsdU1FXc;51.1293059,23.4799939
Guciów – Zagroda Wiejska - prywatna,;;;Guciów 4, 22-470 Guciów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG15FAD9bI0cR3V1Ctti-Qk0;50.5798351,23.079658
Hola – Skansen Materialnej Chełmszczyzny i Podlasia,;;;Hola 63, 22-244 Hola, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlS6gJTLMI0cRigt7ITTTQDk;51.5477275,23.1792519
Janowiec – Skansen (obok ruin zamku),;;;24-123 Janowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJ-xtLkZ_IkcRgMaMuVxg1jw;51.3255017,21.8982244
Krasnobród – Muzeum Etnograficzne przy kościele,;;;22-440, Polska;https://www.google.com/maps/place/?q=place_id:ChIJByNk3YBXI0cRJlDQL38IQbQ;50.52904969999999,23.2073267
Lublin – Muzeum Wsi Lubelskiej,;;;al. Warszawska 96, 20-824 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTZgujb1ZIkcRPzmUUeif6MQ;51.2621088,22.5064248
Pszczela Wola – Skansen Pszczelarski przy Zespole Szkół Rolniczych.;;;Pszczela Wola 9, 23-107 Osmolice Pierwsze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY0pUaHz5IkcREzQJYa8JOw4;51.1131097,22.5039511
Bogdaniec – Muzeum Budownictwa i Techniki Wiejskiej,;;;Leśna 37, 66-450 Bogdaniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJt8MlVGUZB0cRJSMFgATNloY;52.697088,15.065466
Buczyny – Skansen Łużyckiego Budownictwa Wiejskiego , Prywatny,;;;Trzebiel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWxszQBGHCEcRcYovjwfQZzg;51.60455450000001,14.7816269
Gorzów Wielkopolski – Skansen Żeglugi Rzecznej,;;;;NOT_FOUND;
Ochla – Muzeum Etnograficzne,;;;Ochla-Muzealna 5, 66-006 Zielona Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1UTRKeoQBkcR5wGHlkox46Q;51.8919291,15.4705473
Podmokłe Małe – Gminny Skansen Maszyn i Urządzeń Rolniczych,;;;66-110 Podmokle Małe, Polska;https://www.google.com/maps/place/?q=place_id:ChIJH7PYyfh6BkcRWWJ-d-a-FCs;52.1918209,15.809511
Pszczew – Skansen Pszczelarski,;;;Kasztanowa 9, 66-330 Pszczew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKbd2xdKPBkcR2kArKW0v-w8;52.4752108,15.7862443
Łowicz – Muzeum Ziemi Łowickiej, Ośrodek Plenerowy Budownictwa,;;;99-440 Maurzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC9_mitXuG0cRfTc1QolEO7Q;52.13776739999999,19.8674154
Łódź – Skansen Drewnianej Architektury Miejskiej,;;;Piotrkowska 282, 93-034 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO2J0osM0GkcRrogn1rz64VI;51.7457436,19.4636072
Maurzyce – Łowicki Park Etnograficzny,;;;99-440 Maurzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC9_mitXuG0cRfTc1QolEO7Q;52.13776739999999,19.8674154
Ożarów (okolice Wielunia) – Dworek Szlachecki (Muzeum Wnętrz Dworskich),;;;98-345 Ożarów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhUY8gDGBEEcRy62TYNxo0is;51.13868859999999,18.5156069
Sieradz – Sieradzki Park Etnograficzny,;;;Grodzka 1, 98-200 Sieradz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6WajIGRfGkcRsRUd4yP9kEk;51.5922176,18.7476547
Sromów – Muzeum Ludowe Rodziny Brzozowskich,;;;Sromów 11, 99-414 Sromów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-zbMi6LlG0cROp7XdX66o5Q;52.1510369,20.043784
Tomaszów Mazowiecki – Skansen Rzeki Pilicy, Prywatny,;;;Modrzewskiego 9/11, 97-200 Tomaszów Mazowiecki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb3jXEcyEGUcRMMSqE3PxCqA;51.51536549999999,20.0304904
Zduńska Wola – Skansen Taboru Kolejowego,;;;Kolejowa 6, 98-220 Zduńska Wola, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6eXTFl9DGkcR9Laf-nl3RuE;51.5740732,19.016327
Bartne – Zabytkowa Drewniana Cerkiew,;;;38-307 Bartne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJObBcJ8HNPUcR7X4AxMn9OE0;49.5622551,21.3363627
Chabówka – Skansen Taboru Kolejowego,;;;Chabówka 229, 34-700 Chabówka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6eXTFl9DGkcRT3zO12dsWKY;49.5944899,19.9270108
Czarna Góra (Zagóra) – Muzeum Kultury Ludowej Spiszu,;;;Zagóra 86, 34-532 Czarna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ31pCpUv3FUcRjod4ncuWWs0;49.3867499,20.1326742
Dobczyce – Skansen Budownictwa Ludowego,;;;Podgórska 1, 32-410 Dobczyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJndXh3iZrFkcR1U9-aW2YmFM;49.877354,20.0857204
Jurgów – Muzeum Kultury Ludowej Spiszu (Pasterska Wieś Letnia),;;;Jurgów 215, 34-532 Jurgów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4wC53Oz2FUcR9_85_L2eVVY;49.3409518,20.1369737
Kamianna – Zbiór Różnych Typów Uli (Muzeum Pszczelarstwa),;;;Kamianna 17, 33-336 Kamianna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMenQ9kznPUcRxKnZRa5dkuE;49.52493699999999,20.9357065
Kluszkowice – Osada Turystyczna,;;;Stylchyn 1, 34-440 Kluszkowce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtS4QD6H4FUcRn4cFX0IMKJs;49.44076399999999,20.2950652
Kraków (Las Wolski) – Skansen Budownictwa Ludowego,;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ45BC4FVZFkcRYzdSVpAP_Kk;50.0555185,19.8511182
Łopuszna – Muzeum Kultury Szlacheckiej,;;;Gorczańska 2, 34-432 Łopuszna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJecGInHX7FUcROcdgt0GEl7I;49.4739257,20.1277915
Nowy Sącz – Sądecki Park Etnograficzny,;;;Generała Wieniawy Długoszowskiego 83B, 33-300 Nowy Sącz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo6EHfm3lPUcRg0b2faFb7MM;49.6158587,20.7345123
Podegrodzie – Muzeum Lachów Sądeckich,;;;Podegrodzie 525, 33-386 Podegrodzie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtdNt-Hv7PUcRDF9Z8Ufd7lA;49.5783603,20.6013265
Sidzina – Oddział Orawskiego Parku Etnograficznego Zubrzycy Górnej,;;;BN, 34-484 Zubrzyca Górna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4QH9axfaFUcRrw6_2SAwjSk;49.5701016,19.6360267
Spytkowice – Skansen Pszczelarstwa Podhala,;;;Stróże 235, 33-331 Stróże, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh-AApE_pPUcR9UvjOPnF0_w;49.6708102,20.9640299
