nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
BIELAWA – zwc, ul. Strażacka 10,;;;Lotnicza 5, 58-260 Bielawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJreuaQR5IDkcRJXIXQ0bAaEc;50.6791245,16.6018693
BIELAWA – zwc, ul. Strażacka 11;;;Strażacka 15, 58-260 Bielawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyxdX-8pJDkcR1KZTpm3owK4;50.68214949999999,16.6043748
BIELAWA – zwc, ul. Nowobielawska;;;Nowobielawska 25, 58-260 Bielawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyaZAg8w5DkcRZasfQdKAQ6Q;50.6614039,16.5953407
BOLKÓW – kwc, w rejonie stacji PKP,;;;Kolejowa, 59-420 Bolków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ-05HjkCD0cRs1vdvfp32gU;50.931421,16.109181
BOLKÓW – wwc, ma wzgórzu nad Bolkowem,;;;Zamkowa 1, 59-420 Bolków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzakRQ2sCD0cRR7yWW_AMQ_U;50.92176,16.0978687
BRZEG DOLNY - zwc, ul. Sienkiewicza 4,;;;Henryka Sienkiewicza 4, 56-120 Brzeg Dolny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs8FwNdWRD0cRaY_Pmk1cLwQ;51.27437949999999,16.7321328
CIEPŁOWODY – kwc, ok. 50 m od stacji PKP,;;;;NOT_FOUND;
CHOCIANÓW – wwc, ul. Głogowska 16,;;;Głogowska 14, 59-140 Chocianów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ00mqRJdED0cRL3AsgSMflao;51.4203452,15.9089443
CHOJNÓW – mwc, na szczycie Chmielowej Góry,;;;plac Zamkowy 3, 59-224 Chojnów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL7vomYo_D0cRAnx4_ONeJS8;51.27062799999999,15.9293749
DOBROMIERZ – wwc, na zboczu wzgórza nad Dobromierzem,;;;Podgórna 2C, 58-170 Dobromierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw493eWwAD0cR6miCZVzMAgs;50.9111729,16.225279
