nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Aleksandrów Kujawski,;;;87-700 Aleksandrów Kujawski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYdz9e6a2HEcRITiTTbPuMBk;52.8765762,18.6934504
Bydgoszcz Główna,;;;Zygmunta Augusta 7, 85-082 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0Qx5yssTA0cRNhsZtbr7_1U;53.1349222,17.9922044
Działdowo,;;;Działdowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgWd0Sl6lHUcROqYHA5Ib0ms;53.2356765,20.1799787
Elbląg,;;;Elbląg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhQ7fpZ9L_UYRqcOVuAk7f1o;54.1560613,19.4044897
Gdynia Główna,;;;81-354 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-xYTq3dz_UYRmQGdsoShaJo;54.5213006,18.5297935
Gdańsk Główny,;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbwJpAndz_UYRSsEa7dkfYwI;54.3565908,18.6443322
Iława Główna,;;;Dworcowa 3, 14-202 Iława, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK1SWoLtBHUcRbFukqZUqHsc;53.5826128,19.5732772
Inowrocław,;;;Inowrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWcpK15JQA0cRftP92xBElJw;52.7993317,18.2562032
Lębork,;;;Lębork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr2H6d_jn_UYRUQ7D_BGINAw;54.5448143,17.7530872
Malbork,;;;82-200 Malbork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1bIL6FZ_UYRJMFchlKgqZk;54.0361319,19.0379763
Olsztyn,;;;Olsztyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxxkUBy154kYRD8JUzyaBahA;53.778422,20.4801192
Słupsk,;;;Słupsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ61GbKgoa_kYRH4Gxz6YQMdU;54.4643059,17.0283558
Sopot,;;;Sopot, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXyYcTJEK_UYR-pV6bzMZ0_c;54.441581,18.5600956
Tczew,;;;83-110 Tczew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb7A6mtBg_UYRlZbaSGMs6ok;54.0919269,18.7773072
Toruń Główny,;;;Kujawska 1, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNftfPCM1A0cRJrI-fSkHUIQ;53.000103,18.6146041
Włocławek.;;;Włocławek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW6B5kHSZHEcRwff3MvuWv9U;52.6483303,19.0677357
Bielsko–Biała,;;;Bielsko-Biała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe1CA3WOfFkcRp-NP-of1EWg;49.8223768,19.0583845
Czechowice–Dziedzice,;;;Czechowice-Dziedzice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQy27jWyjFkcRyRVVs_yo37I;49.9016056,18.9917677
Częstochowa,;;;Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr6gsTsW1EEcRNoIXGk0NT4U;50.8118195,19.1203094
Gliwice,;;;Gliwice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJX7FmbGAwEUcREerLBp-ovJs;50.2921738,18.6673091
Katowice,;;;Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0cyhNiPOFkcRu_pZBTUqr7k;50.26489189999999,19.0237815
Myszków,;;;Myszków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRZ11aFElF0cRv9itfz02pe4;50.5706845,19.3144637
Oborniki Śląskie,;;;Oborniki Śląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkQ1CNHiSD0cR71eLtclx-i8;51.30098659999999,16.9148091
Rybnik,;;;Rybnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSY6dQdZIEUcRUTi1-flAbcI;50.1021742,18.5462847
Sosnowiec,;;;Sosnowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKUva_pnaFkcR2wdlK6EqbMs;50.27798740000001,19.1268003
Świebodzice,;;;Świebodzice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ42wAlqVUDkcRn51QX6yidU0;50.8575475,16.3213376
Tarnowskie Góry,;;;Tarnowskie Góry, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF26hce4pEUcRlD8cb1rRadA;50.4359468,18.8460247
Tychy,;;;Tychy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgYJAAuLHFkcRoSazoHJEVto;50.12180069999999,19.0200023
Zabrze,;;;Zabrze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuTx3h3YyEUcR8_CmEdYrUck;50.2986109,18.7868698
Zawiercie.;;;Zawiercie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiU800f8iF0cRxRbP_ASmVo8;50.48774299999999,19.4166258
Dębica,;;;Dębica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS2kjLogJPUcR_Fk-a3YG9lk;50.0516417,21.4116964
Dęblin,;;;Dęblin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIyCQi8mbGEcR-FGY7asrtXU;51.56269,21.86528
Jarosław,;;;Jarosław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF0FypJuZPEcRdpf_RWlUr_A;50.0160977,22.6777391
Jasło,;;;Jasło, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAXDZ0Aq0PUcRcE4C4m-9EhU;49.7445663,21.4722875
