nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Wykaz miejscowości związanych z życiem Wł. Huzy Augustów - uczestnik Centralnego Zlotu Turystów Kolarzy. Bielsko-Biała - służba w wojsku w 1 Dywizji Górskiej. Bochnia - częsty pobyt, wybudował tu własny dom, pochowany na miejskim cmentarzu. Chudów - miejsce ostatniej wycieczki rowerowej. Gliwice - tu mieszkał w latach 1948-59. Gorlice - uczęszczał do szkoły podstawowej i gimnazjum. Grybów - miejsce urodzin. Katowice - miejsce śmierci. Kraków - służba w wojsku w 20 pułku piechoty (kapitan - zastępca dowódcy). Mszana Dolna - uczęszczał do szkoły podstawowej. Nowy Sącz - uczęszczał do gimnazjum, służba w wojsku w 1 Pułku Strzelców Pohalańskich. Przemyśl - uczęszczał do gimnazjum i zdał maturę. Warszawa - ukończyl Wyższą Szkołę Wojenną, praca w Ministerstwie Spraw Wojskowych. Zakopane - udział w Międzynarodowym Rajdzie Kolarskim AIT.;;;;NOT_FOUND;
Augustów - uczestnik Centralnego Zlotu Turystów Kolarzy.;;;rynek Zygmunta Augusta 19, 16-300 Augustów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXUIJnapR4EYR0iLL1lg8Ivs;53.843768,22.976625
Bielsko-Biała - służba w wojsku w 1 Dywizji Górskiej.;;;;NOT_FOUND;
Bochnia - częsty pobyt, wybudował tu własny dom, pochowany na miejskim cmentarzu.;;;Trudna 3/1, 32-700 Bochnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJI8fda247FkcRfOBYG2FdHpQ;49.9712515,20.4328164
Chudów - miejsce ostatniej wycieczki rowerowej.;;;Podzamcze 6, 44-177 Chudów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2dsZ2Y80EUcRawlMg7rOZlA;50.223946,18.7724054
Gliwice - tu mieszkał w latach 1948-59.;;;Akademicka 2A, 44-100 Gliwice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7SgLGv4wEUcRcKOnM_fST0c;50.2909719,18.6746196
Gorlice - uczęszczał do szkoły podstawowej i gimnazjum.;;;Gen. Józefa Hallera 79, 38-300 Gorlice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDwtV6hLHPUcRySsyZQ_B6AA;49.6639902,21.1578989
Grybów - miejsce urodzin.;;;Rynek, 33-330 Grybów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ471YFiboPUcRlfn10LByoRM;49.6249148,20.9449648
Katowice - miejsce śmierci.;;;Plac Przyjaciół z Miszkolca w, 40-086 Katowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkUfTIADPFkcRet_AtTDMEQg;50.2633772,19.0179587
Kraków - służba w wojsku w 20 pułku piechoty (kapitan - zastępca dowódcy).;;;30-962 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq6qqGsVaFkcRLnulpcceB-4;50.08229480000001,19.982677
Mszana Dolna - uczęszczał do szkoły podstawowej.;;;Sienkiewicza 2, 34-730 Mszana Dolna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY75FTw8MFkcRIscJEKq3fDU;49.676157,20.0695609
Nowy Sącz - uczęszczał do gimnazjum, służba w wojsku w 1 Pułku Strzelców Pohalańskich.;;;;NOT_FOUND;
Przemyśl - uczęszczał do gimnazjum i zdał maturę.;;;Bakończycka 11, 37-700 Przemyśl, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8RQmHzN_O0cRU3fHuWL2v_0;49.77205499999999,22.7887321
Warszawa - ukończyl Wyższą Szkołę Wojenną, praca w Ministerstwie Spraw Wojskowych.;;;Racławicka 2, 02-601 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvYXjlkFOZUER-2Hh8QUOvss;52.2002535,21.0229267
Zakopane - udział w Międzynarodowym Rajdzie Kolarskim AIT.;;;;NOT_FOUND;
Wykaz tras rowerowych przebytych przez Wł. Huzę Gliwice - Bochnia - Gliwice Gliwice - Lesko Gliwice - Zakopane - Kraków Warszawa - Gdynia Warszawa - Kraków Warszawa - Augustów - Olsztyn;;;;NOT_FOUND;
Gliwice - Bochnia - Gliwice;;;Bohaterów Getta Warszawskiego 12, 44-100 Gliwice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdWhi8VMwEUcR1Tloulu3SiQ;50.30104,18.6769
Gliwice - Lesko;;;Lesko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWX7X4BgLPEcRHfVU0m2qyZQ;49.4701205,22.3304325
Gliwice - Zakopane - Kraków;;;Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTnvlJLyFUcRoKZrcaGHjd8;49.299181,19.949562
Warszawa - Gdynia;;;81-354 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-xYTq3dz_UYRmQGdsoShaJo;54.5213006,18.5297935
Warszawa - Kraków;;;Al. Jerozolimskie 54, 00-019 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWTUjZY3MHkcR2U7HZ_LJC-s;52.22884,21.00327
Warszawa - Augustów - Olsztyn;;;Augustów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjSDdCVZQ4EYRSp-KuBBvgOo;53.84344309999999,22.9796024
