nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Stare Miasto w Krakowie;;;Stare Miasto, Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ424XcxJbFkcR5h51sunKV54;50.0591121,19.9378922
Kopalnia soli w Wieliczce;;;Daniłowicza 10, 32-020 Wieliczka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS46BBdhDFkcRFbST_a5JJZc;49.98350199999999,20.0551878
Auschwitz-Birkenau. Niemiecki nazistowski obóz koncentracyjny i zagłady (1940-1945);;;Więźniów Oświęcimia 55, 32-600 Oświęcim, Polska;https://www.google.com/maps/place/?q=place_id:ChIJof9NATK-FkcRxVMagtZz4eg;50.0293909,19.2054949
Puszcza Białowieska;;;Puszcza Białowieska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyT9YHzRAIEcRPCg34KZdRUo;52.7228852,23.6555674
Stare Miasto w Warszawie;;;Stare Miasto, Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3Xb5SW_MHkcRT2114lb00lA;52.2477331,21.0136079
Stare Miasto w Zamościu;;;Osiedle Stare Miasto, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBSCV_whnI0cR490wIzrY0fI;50.7158926,23.2690595
Średniowieczny zespół miejski w Toruniu;;;Rynek Staromiejski 1, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1Z76lh01A0cRnp6b3uoiS08;53.0103951,18.6044611
Zamek krzyżacki w Malborku;;;Starościńska 1, 82-200 Malbork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUxu-TAtZ_UYRln6bQfTjg3U;54.0397846,19.0280495
Manierystyczny zespół architektoniczny i krajobrazowy Kalwarii Zebrzydowskiej;;;34-130 Kalwaria Zebrzydowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJUM09iFjFkcRb-ijRvuagBs;49.8597875,19.6841038
Kościoły Pokoju w Jaworze i Świdnicy;;;plac Pokoju 6, 58-100 Świdnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC5a0BzVNDkcRmXToO57XwRs;50.8464847,16.4916674
Drewniane kościoły południowej Małopolski;;;13, Sękowa 12, 38-307, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6YeIhfDFPUcRw8WJ9AynOmM;49.6306189,21.1860814
Park Mużakowski;;;Droga Panoramiczna, 68-208 Łęknica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx0qDXxmJCEcRmssLgSnWDjs;51.5461845,14.7342428
Hala Stulecia we Wrocławiu;;;Wystawowa 1, 51-618 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaT7HDCfoD0cRlyH-4MIQYJU;51.10695339999999,17.0773287
Drewniane cerkwie w polskim i ukraińskim regionie Karpat;;;37-552 Młyny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpTj_PClkO0cRsFKb0j7uYBM;49.9529714,23.0025073
Kopalnia rud ołowiu, srebra i cynku w Tarnowskich Górach oraz system gospodarowania wodami podziemnymi;;;Szczęść Boże 81, 42-600 Tarnowskie Góry, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLQj0RcUrEUcRRJo0XftEmaU;50.42547889999999,18.8494603
Kopalnie krzemienia pasiastego i neolityczne osady w Krzemionkach Opatowskich;;;Sudół 135a, 27-400 Ostrowiec Świętokrzyski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtw1QJgMKGEcRvOgQYZ4nIUY;50.9722558,21.4900411
Pradawne i pierwotne lasy bukowe Karpat i innych regionów Europy;;;Węglowa 97, 43-502 Czechowice-Dziedzice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTawNSs-jFkcR5BPP3s0KHPY;49.93094259999999,19.0126706
