nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Jastrzębia Góra - najdalej na północ wysunięty kraniec Polski,;;;84-104 Jastrzębia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPfuAlf9L_EYRSBpXaB06pG4;54.8358171,18.3030312
Opołonek* - najdalej na południe wysunięty kraniec Polski,;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJzV_K2K99OUcRdBnMXeRNF8A;49.0025051,22.8471224
Osinów Dolny, zakole Odry - najdalej na zachód wysunięty kraniec Polski,;;;74-520 Osinów Dolny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN-O_U_fcqUcREOTsJJp12Ig;52.8394932,14.124116
Zosin*, zakole Bugu k. Zamościa - najdalej na wschód wysunięty kraniec Polski,;;;22-523 Zosin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgWVcHhVgJEcRIg_tk_2Jwag;50.8688532,24.1453431
Rysy (2499 m n.p.m) - najwyżej położony punkt-szczyt Polski,;;;Rysy;https://www.google.com/maps/place/?q=place_id:ChIJv86Ws3KKFUcRAvdxQ3QB86w;49.179548,20.088064
Marzęcino (ok 2,2 m, Raczki Elbląskie* -1,8 m) - najniżej położony szczyt w Polsce,;;;82-310 Raczki Elbląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE6JYVa9N_UYRBT2CxpfeFpk;54.1234525,19.3810181
Piątek k. Łodzi - umowny środek Polski,;;;Rynek, 99-120 Piątek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfY6UMn6-G0cR8-lsyrCT_EU;52.0693738,19.4801914
Suchowola k. Białegostoku - umowny środek Europy.;;;Plac Kościuszki 21, 16-150 Suchowola, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdSukJ_s_4EYRC8owQhV-dnM;53.5780231,23.1068289
*1 Opołonek znajduje się na obszarze Bieszczadzkiego Parku Narodowego, by go zdobyć trzeba uzyskać specjalną zgodę od zarządu Parku Narodowego i Straży Granicznej. Można go zdobyć również od strony ukraińskiej z Przełęczy Użockiej zielonym szlakiem który prowadzi na słynny Kińczyk Bukowski.;Uwagi;;;NOT_FOUND;
*2 W związku z aktualną sytuacja na granicy wschodniej Zosin nie będzie obowiązkowy do stopnia złotego;Uwagi;;;NOT_FOUND;
*3 Raczki Elbląskie leżące na Żuławach Wiślanych według poprzednich pomiarów najniżej położone miejsce w Polsce, odwiedzenie tego miejsca będzie uznawane wymiennie z Marzęcinem.;Uwagi;;Raczki Elbląskie 3A, 82-310 Raczki Elbląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ76kEaLNN_UYRi5R00FnS6hA;54.14204909999999,19.3707534
