nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bielawa Dolna gm. Pieńsk (była strażnica WOP i SG),;;;;NOT_FOUND;
"Karpacz (Schronisko Górskie „Dom Śląski” pod Śnieżką - była strażnica WOP i SG; Kowary – przełęcz Okraj 3a (była strażnicaWOP i SG),";;;;NOT_FOUND;
Lubań (ul. Wojska Polskiego 2 - sala tradycji Ośrodka Szkoleń Specjalistycznych SG),;;;Wojska Polskiego 2, 59-800 Lubań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLYWGlVPTCEcRNQsmOxlfzdk;51.1212813,15.2819136
Lubawka (ul. Przyjaciół Żołnierza 5a – była strażnica WOP i SG),;;;;NOT_FOUND;
Międzygórze gm. Bystrzyca Kłodzka (ul. Śnieżna 3 – była strażnica WOP i SG),;;;Śnieżna 3, 57-514 Międzygórze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa2S9qjYCDkcR-hAiCqNAAbs;50.2277809,16.7686635
Orle gm. Szklarska Poręba  (schronisko górskie - dawna strażnica WOP),;;;;NOT_FOUND;
Pasterka gm. Radków (Schronisko PTTK – była strażnica WOP),;;;;NOT_FOUND;
Przesieka przeł. Karkonoska gm. Podgórzyn (była strażnica WOP i SG),;;;;NOT_FOUND;
Pieńsk (pomnik Żołnierza WOP st. strz. Tadeusza Wróbla),;;;Tadeusza Wróbla, 59-930 Pieńsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbb8nFwbDCEcRGyaGYgrdNlw;51.258168,15.0426077
Porajów gm. Bogatynia (trójstyk granic),;;;Jaworzynka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRwsfK3c9FEcR_5GfkHgz468;49.5175484,18.8512171
Radomierzyce gm. Zgorzelec (była strażnica WOP i SG),;;;;NOT_FOUND;
Prędocice - Toporów gm. Pieńsk (pomnik Żołnierzy 2. Armii WP i ruiny strażnicy WOP),;;;;NOT_FOUND;
Szklarska Poręba – Jakuszyce (była strażnica WOP i SG),;;;;NOT_FOUND;
Szklarska Poręba – „Kamieńczyk” (dawna strażnica WOP pod szczytem Kamiennika, powyżej Hali Szrenickiej),;;;;NOT_FOUND;
Świeradów-Zdrój (tablica pamiątkowa WOP przy domu zdrojowym),;;;;NOT_FOUND;
Zgorzelec (tablica pamiątkowa Żołnierza WOP kpr. Wiktora Haponiuka).;;;52F3+WR, 59-900 Zgorzelec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxWPcEtPdCEcRd2JOgl09ax0;51.1747737,15.0045377
Kamień Krajeński (przedwojenny komisariat SG).;;;Tadeusza Kościuszki 8, 89-400 Sępólno Krajeńskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKUsn_pyzA0cRjz_taSWt9Lw;53.45574449999999,17.5370291
Chełm (ul. Trubakowska 2 - pomnik bohaterów WOP na terenie Nadbużańskiego Oddziału SG im. 27 Wołyńskiej Dywizji AK),;;;;NOT_FOUND;
Czumów gm. Hrubieszów (XIX dwór – była strażnica WOP, sala tradycji formacji granicznych),;;;;NOT_FOUND;
Dołhobrody gm. Hanna (sala tradycji Placówki SG im ppor. KOP Jana Bołbotta),;;;Dołhobrody 58A, 22-220 Dołhobrody, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_cYRCRPYI0cR_71itY6YsSc;51.6837939,23.5058797
Hanna (izba tradycji Gimnazjum Publicznego im. żołnierzy KOP),;;;;NOT_FOUND;
Horodło (kościół św. Jacka – tablica pamiątkowa i mogiły obrońców granic na cmentarzu parafialnym),;;;Jurydyka 2, 22-523 Horodło, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3z394CFiJEcRK3NyyMOW3Mg;50.8927032,24.0483797
Dorohusk (ul. Graniczna nr 4- budynek dawnej strażnicy),;;;"22-175 Dorohusk; Graniczna 1, Polska";https://www.google.com/maps/place/?q=place_id:ChIJLxrkJqaJI0cRZTWSG1n3jFU;51.1739263,23.7917632
Kock (cmentarz wojenny z mogiłami Żołnierzy KOP),;;;Kleeberga, 21-150 Kock, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEwzi4uUTIkcRHAn4ciqLXR0;51.6425058,22.4277421
Łaszczów (Placówka SG ul. Lwowska nr 29 - sala tradycji),;;;Żołnierska 4, 71-210 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO_YXa74OqkcRQfMTBL-3D_8;53.44755749999999,14.4893772
Majdan Górny gm. Tomaszów Lubelski (ul. Długa nr 136, siedziba Stowarzyszenia „Ochotniczy Szwadron Ułanów Ziemi Tomaszowskiej” m.in. kultywującego tradycje 1. Pułku Kawalerii KOP),;;;Długa 180, 22-600 Majdan Górny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrV1Q1PSvJEcRDb2k30HI5XA;50.460048,23.4913476
Matcze gm. Horodło (mogiły obrońców granic na cmentarzu polsko-ukraińskim),;;;Cmentarz Katolicki, DW816, 22-523 Horodło, Polska;https://www.google.com/maps/place/?q=place_id:ChIJveskSjVjJEcRCN_aC-srTzA;50.8884513,24.0471173
Strzyżów gm. Horodło (była strażnica WOP – obecnie siedziba cukrowni),;;;;NOT_FOUND;
"Terespol (Placówka SG ul. Wojska Polskiego nr 164 - pomnik poległych Żołnierzy WOP; budynek byłej strażnicy WOP),";;;;NOT_FOUND;
Uhrusk gm. Wola Uhruska (XIX dwór – była strażnica WOP – obecnie Rolniczy Zakład Doświadczalny),;;;;NOT_FOUND;
"Włodawa (sala tradycji Placówki SG im. gen. Nikodema Sulika; przy ul. Piłsudskiego 52 - była strażnica WOP; cmentarz wojenny z mogiłami Żołnierzy KOP),";;;;NOT_FOUND;
