nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Zazdrość;1917-1920;;Zazdrość, 12-120 Targowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWSEBTUAJ4kYRwRrLIE2aDek;53.6953525,21.0341876
Mogilniku;1917-1920;;;NOT_FOUND;
Romanówka;1917-1920;;Unnamed Road, Sopotnia Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuV_0wPAzFEcR8sqPrRDy0Bc;49.560457,19.241909
Wybrarówka;1917-1920;;;NOT_FOUND;
Kosów;1917-1920;;Kosów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_6fxVU3GUcRs41aaI0dbFM;52.0521095,20.8252856
Czortów;1917-1920;;;NOT_FOUND;
Bednarówka;1917-1920;;;NOT_FOUND;
Satanów;1917-1920;;;NOT_FOUND;
Szarawka k/Jarmoliniec;1917-1920;;;NOT_FOUND;
Kadyjówka;1917-1920;;;NOT_FOUND;
Klimaszówka k/Płoskirowa;1917-1920;;;NOT_FOUND;
Płoskirów;1917-1920;;;NOT_FOUND;
Bychów;1917-1920;;;NOT_FOUND;
Futory;1917-1920;;Futory, Polska;https://www.google.com/maps/place/?q=place_id:ChIJeUVyKCJYO0cRlEFtYfQSEcA;50.1893061,23.0710722
Doborohorszcz;1917-1920;;;NOT_FOUND;
Dzygówka;1917-1920;;;NOT_FOUND;
Markowce;1917-1920;;38-533 Markowce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMSZnOdNsPEcRof20Z4rXNVM;49.5372838,22.116298
Antoniny k/Płoskirowa;1917-1920;;;NOT_FOUND;
Kremenczuga;1917-1920;;;NOT_FOUND;
Rosołowe;1917-1920;;;NOT_FOUND;
Orlińce;1917-1920;;;NOT_FOUND;
Starokonstantynów;1917-1920;;;NOT_FOUND;
Ozyrz;1917-1920;;;NOT_FOUND;
Kobryń;1917-1920;;;NOT_FOUND;
Terespol;1917-1920;;21-550 Terespol, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSchcXFUKIUcR3sWC4KHW1wc;52.07322569999999,23.6080719
Łuków;1917-1920;;;NOT_FOUND;
Puławy;1917-1920;;;NOT_FOUND;
Kock;1917-1920;;;NOT_FOUND;
Borki k/Radzenia;1917-1920;;Borki, 89-502 Raciąż, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJdC4IEpaAkcRPaH3oG6vzPE;53.6628498,17.827616
Mordy;1917-1920;;Mordy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7xo3MivgIUcRc4Qd-KK5gn0;52.2117033,22.5177976
Skrzeszew n/Bugiem;1917-1920;;08-307 Skrzeszew E, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUTaH6Z5kH0cRfRykBSGKkI4;52.4097236,22.5325524
Drohiczyn;1917-1920;;;NOT_FOUND;
Pierlejewo;1917-1920;;;NOT_FOUND;
Brańsk;1917-1920;;Brańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOdkznqWIH0cRnpnqfeL6XnQ;52.7433639,22.8413044
Temklin;1917-1920;;;NOT_FOUND;
Mniszew;1917-1920;;26-914 Mniszew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm9kV7ffcGEcRsZRlweItS4E;51.84194309999999,21.2919381
Boćki;1917-1920;;Boćki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGen_gysvIEcRITUUQGGNfpk;52.65153919999999,23.0446709
Białystok;1917-1920;;;NOT_FOUND;
Gródek;1917-1920;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2fc07nvLPUcRn1YR0AlWs_c;49.5848147,21.4377902
Wasylków;1917-1920;;;NOT_FOUND;
Kortyn;1917-1920;;;NOT_FOUND;
Augustów;1917-1920;;;NOT_FOUND;
Kolnica k/Suwałk;1917-1920;;Kolnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO-EifMha4EYRAn36iS9f32M;53.7936687,23.0521857
Wiżajny;1917-1920;;Wiżajny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ74zeMoUX4UYRMRjS7GdYl_8;54.3501992,22.8618559
Laczki;1917-1920;;Łączki, 37-750 Sielnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp4IslK1jPEcRWoG_mUxqCQ8;49.7913927,22.3227361
Ostróg n/Horyniem;1917-1920;;;NOT_FOUND;
Hniwań;1917-1920;;;NOT_FOUND;
