nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Czarnca – miejsce urodzin („zapewne” w 1599r.) i pochówku, kościół pw. św. Floriana z kryptami oraz pomnik Stefana Czarnieckiego,;;;Tęczowa 17, 29-100 Czarnca, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtQkYYE1kF0cRCrfJJDIOOZY;50.812723,19.9242831
Kraków lub Sandomierz - miejsce uczęszczania do kolegium jezuickiego,;;;;NOT_FOUND;
Chocim – 1621 r. zaciąg do chorągwi lisowczyków, udział w bitwie pod Chocimiem,;;;;NOT_FOUND;
Martynow – 1624 r. udział w bitwie,;;;;NOT_FOUND;
Uście – 1626 r, prawdopodobny udział w potyczce z Tatarami,;;;;NOT_FOUND;
Tczew – udział w potyczce,;;;83-110 Tczew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb7A6mtBg_UYRlZbaSGMs6ok;54.0919269,18.7773072
Żuławki – udział w potyczce w 1627 r.,;;;;NOT_FOUND;
Wytyk (Nowy Staw) – 1627 r. udział w potyczce,;;;;NOT_FOUND;
Gdańsk – udział w potyczce 1626 r.,;;;;NOT_FOUND;
Tczew – udział w bitwie w 1627 r.,;;;;NOT_FOUND;
Puck – 2 kwietnia 1627 r., odbił z rąk Szwedów Puck,;;;;NOT_FOUND;
Czrne (Hamersztyn) – 16 kwietnia 1627 r. zmusił do kapitulacji,;;;;NOT_FOUND;
Po 20 maja 1627 r, miał siać dywersje pod Gdańskiem,;;;;NOT_FOUND;
Gniew, Brodnica – udział w odsieczy w 1628 r.,;;;;NOT_FOUND;
Trzciana – udział w bitwie w 1629 r., 1630 – zaciąg do służby carskiej,;;;;NOT_FOUND;
Breitenfeld k. Lipska – prawdopodobny udział w tej bitwie, 1632 r. powrót do kraju,;;;;NOT_FOUND;
Kozielsk, Kaługa, Wiaźma – udział w wojnie smoleńskiej w 1633-34 r, Uzyskanie dóbr na Popowej Górze, prawdopodobny udział w wyprawie królewicza Jana Kazimierza nad Ren, awans na porucznika chorągwi husarskiej,;;;;NOT_FOUND;
Kumejki – udział w bitwie 16 grudnia w 1637 r, ślub z Zofią Kobierzycką, 1637 r. rozgromienie oddziału atamana Filomenki, 1643 r. nabycie pierwszych dóbr na Ukrainie, awans na rotmistrza chorągwi jazdy kozackiej,;;;;NOT_FOUND;
Ilińce – miasteczko, w 1647 nabył w dzierżawę na 30 lat, miał na Ukrainie na własność lub w dzierżawie jedno misteczko i ok. 12 wsi,;;;;NOT_FOUND;
Ochmatów – udział w bitwie w 1644r.,;;;;NOT_FOUND;
Żółte Wody – udział w bitwie w 1648 r. niewola kozacka, obrona Kudaku i ponowna niewola,;;;;NOT_FOUND;
Krechów, Kunin, Skwarzawa- dobra nadane przez Jana Kazimierza w 1650 r. w powiecie żółkiewskim,;;;;NOT_FOUND;
Beresteczko, Biała Cerkiew - bitwy w 1651 r, uzyskanie godności chorążego sandomierskiego,;;;;NOT_FOUND;
Batoh – 1652 r. prawdopodobny udział w bitwie, Otrzymanie godności obożnego koronnego,;;;;NOT_FOUND;
