nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Chrostkowo;;;87-602 Chrostkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD4K8NrvrHEcRTzKTO2hATXg;52.9435985,19.2531338
Ciepliny;;;87-865 Ciepliny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoy-FEedoG0cRztqIjLz10yk;52.3593524,18.834231
Dobre;;;Dobre, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSRIpMIckH0cRJ4JuadZ0C40;52.3256253,21.6649405
Krzywosądz;;;88-210 Krzywosądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsfcdRaWuHEcRPOVtIC2Lf7M;52.7050487,18.5855731
Sadłowo;;;87-512 Sadłowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV5IsGlnjHEcRUan46FTHbBE;53.08903309999999,19.5153492
Skrwilno;;;87-510 Skrwilno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc207uYD5HEcROk5mh8kiZY0;53.0172422,19.6212916
Tłuchowo;;;87-605 Tłuchowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKV2uTsOLHEcRsR_XqKw1TJw;52.7467506,19.4654881
Włocławek;;;Włocławek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW6B5kHSZHEcRwff3MvuWv9U;52.6483303,19.0677357
Włocławek;;;Włocławek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW6B5kHSZHEcRwff3MvuWv9U;52.6483303,19.0677357
Włocławek;;;Włocławek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW6B5kHSZHEcRwff3MvuWv9U;52.6483303,19.0677357
Biała;;;Biała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHYoNaTKjEUcRUuJulEkZSfE;50.3863338,17.6604533
Brenica;;;97-217 Brenica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtcjyqMKCGUcR5tHMHJlnsbE;51.6296983,20.0627465
Brzeziny;;;95-060 Brzeziny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCy_pm4HRG0cR2mxipUH37jQ;51.8001397,19.7513808
Brzeźnio;;;98-275 Brzeźnio, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy1LpJhaKGkcRFj97zh5n3pk;51.4821447,18.6255973
Dalików;;;99-205 Dalików, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxWVhWEasG0cRN1MUxbLCoAI;51.8813678,19.1076265
Dobra;;;Dobra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGWGPEVEFFkcRtW2DnRe8V1g;49.717763,20.2503979
Dzietrzniki;;;Dzietrzniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOWy9U4CEEEcRC6sNly6Vrrc;51.1170243,18.6103732
Głogowiec;;;Głogowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnQnTD42cG0cRbQ8mZtn-HR4;52.2803012,19.3271134
Goszczanów;;;98-215 Goszczanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQVRh-EnkGkcRIw9-Q581HvQ;51.791282,18.5057881
Gruszczyce;;;98-235 Gruszczyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxTv-zHrtGkcRrSraFsKRYQQ;51.6127105,18.4716759
Jeziorsko;;;Jeziorsko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUxk39VP8GkcR7AhWmTOqu-I;51.8031763,18.6747043
Joachim-Mogiły;;;99-417 Joachimów-Mogiły, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFUcclCRfGUcR8gZuodEGAJY;52.05898190000001,20.2030912
Kołacinek;;;Kołacinek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU6R8RZjQG0cRiBIIKfnerUU;51.8665478,19.8314243
Lubochnia;;;97-217 Lubochnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaQIuaiODGUcReJ-VgbkczMg;51.6078941,20.0494724
Lutomiersk;;;95-083 Lutomiersk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4xwdXV1MGkcRFwYbo-_tou8;51.7537563,19.2109304
Lutomiersk;;;95-083 Lutomiersk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4xwdXV1MGkcRFwYbo-_tou8;51.7537563,19.2109304
Lututów;;;Lututów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQXJ6X8-FGkcRsReYAgbGPTo;51.37089479999999,18.4352004
Łowicz;;;99-400 Łowicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdfp6sBXmG0cRDge-IUHn03M;52.10619639999999,19.9461254
Łowicz;;;99-400 Łowicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdfp6sBXmG0cRDge-IUHn03M;52.10619639999999,19.9461254
Łódź;;;Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr1ZFdSTLG0cRrNshm2OufMs;51.7592924,19.4558778
Łódź;;;Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr1ZFdSTLG0cRrNshm2OufMs;51.7592924,19.4558778
Łódź;;;Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr1ZFdSTLG0cRrNshm2OufMs;51.7592924,19.4558778
Mokrsko;;;98-345 Mokrsko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm1DkvoiAEEcR3dQbUANObGg;51.17875739999999,18.4883474
Niewiesz;;;99-200 Niewiesz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLZrCo1wBG0cRpyYtHIpDTK0;51.9368177,18.8579923
Osjaków;;;Osjaków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ--r6GJ9wGkcRrGkcu-7t5nQ;51.28970899999999,18.7918265
Ossa;;;96-200 Ossa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ1CQVchtGUcRCZKtW9FZLwA;51.8137111,20.390722
Piotrków Trybunalski;;;Piotrków Trybunalski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZSon3Y2KGUcRznyoKX8F3V0;51.40517209999999,19.7030244
Piotrków Trybunalski;;;Piotrków Trybunalski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZSon3Y2KGUcRznyoKX8F3V0;51.40517209999999,19.7030244
Piotrków Trybunalski;;;Piotrków Trybunalski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZSon3Y2KGUcRznyoKX8F3V0;51.40517209999999,19.7030244
Poprężniki;;;98-215 Poprężniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2_YEeznlGkcRcxa38bfduII;51.76534239999999,18.5690188
Pyszków;;;98-275 Pyszków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOR8pfe1hGkcRapbpBPdptUQ;51.4698358,18.6792736
Rafałówka (część wsi Miedzno);;;Rafałówka, Miedźno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQYPCQef3GkcRjY5sGLJ2iGA;51.6819514,18.7869499
Ręczno;;;97-510 Ręczno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA6tb3G3vGUcRlGznczbTiwc;51.1904113,19.8458583
Sędziejowice;;;98-160 Sędziejowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPy7wwWhCGkcRQEcA01CMgdU;51.5064117,19.0282467
Siedlątkowo;;;99-235 Siedlątków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpxW-M6_9GkcR7LvbZvBYyuA;51.8455193,18.7332511
Sieradz;;;Sieradz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf4FqeIn1GkcRTtMmk8kSuyk;51.5956014,18.7302994
Sieradz;;;Sieradz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf4FqeIn1GkcRTtMmk8kSuyk;51.5956014,18.7302994
Sieradz;;;Sieradz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf4FqeIn1GkcRTtMmk8kSuyk;51.5956014,18.7302994
Stanisławów;;;05-304 Stanisławów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ89qCChUmH0cRFLZHNK2BMwg;52.28964010000001,21.5540952
Studzienna Poświętne;;;26-315 Studzianna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMaleT4GhGUcRE27wYIghXwY;51.524528,20.3487877
Szadek;;;Szadek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWRPKeuhQGkcRsoTNOCaovgg;51.6915722,18.976395
Warta;;;Warta, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO-DQ-13wGkcRL8Vt8RiAgDo;51.7103227,18.6250691
Wieluń;;;98-300 Wieluń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyQeonmZ_GkcRAlzioLJI4ls;51.2186,18.56892
Wojków;;;98-235 Wojków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBfhISsuSGkcRWVnfZsKS-Xo;51.5902872,18.4315789
Zadzim;;;99-232 Zadzim, Polska;https://www.google.com/maps/place/?q=place_id:ChIJX-tst634GkcRdmMeoBVgrGs;51.77589889999999,18.8499455
Brzezie;;;32-014 Brzezie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7Ygt3cs4FkcROmUB9uqn5OQ;49.9881045,20.2256748
Czerna;;;32-065 Czerna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1IGj33wFkcRrjwD8Y0KcFc;50.17077399999999,19.6228967
Czerna;;;32-065 Czerna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1IGj33wFkcRrjwD8Y0KcFc;50.17077399999999,19.6228967
Czerna;;;32-065 Czerna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1IGj33wFkcRrjwD8Y0KcFc;50.17077399999999,19.6228967
Czerna;;;32-065 Czerna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1IGj33wFkcRrjwD8Y0KcFc;50.17077399999999,19.6228967
Imbramowice;;;32-353 Imbramowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4e5r-icAF0cRwUBayfX8K8s;50.30287449999999,19.8631325
Kraków;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RhONcBEFkcRv4pHdrW2a7Q;50.06465009999999,19.9449799
Książ Mały;;;32-210 Książ Mały, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbRMRugulF0cR58bfm680sxs;50.4404554,20.2086262
Krzykawka;;;32-329 Krzykawka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBwx4XJ3jFkcRxLfZW_pCGwk;50.3130256,19.4096901
Miechów;;;32-200 Miechów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPQbne9erF0cRWdGzRAQR8ms;50.3568703,20.0274127
Olkusz;;;Olkusz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhXh9jYPjFkcRjol6VJlx_YA;50.2813157,19.5656869
Pieskowa Skała (część wsi Sułoszowa);;;Sułoszowa 5, 32-045 Pieskowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdatsLsT-FkcRn7CY4RDZe_Q;50.2451641,19.7788312
Pieskowa Skała;;;Pieskowa Skała, 32-045 Sułoszowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCU0agMX-FkcRK8knNOV2PpE;50.2452493,19.7779591
Pieskowa Skała;;;Pieskowa Skała, 32-045 Sułoszowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCU0agMX-FkcRK8knNOV2PpE;50.2452493,19.7779591
Pstroszyce;;;32-200 Pstroszyce Pierwsze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbyt7SL-pF0cRNjYAJkP1bmg;50.3919588,20.0056258
Skała;;;Skała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRa5U3PhVFkcR9HG3nDfRbLY;50.2304261,19.8541514
Tarnów;;;33-100 Tarnów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx__DUkODPUcRHvZy-N9wGs8;50.0121011,20.9858407
Zakopane;;;Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTnvlJLyFUcRoKZrcaGHjd8;49.299181,19.949562
Zakopane;;;Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTnvlJLyFUcRoKZrcaGHjd8;49.299181,19.949562
Aleksów;;;Akacjowa 5, 42-256 Turów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPwwbRT1KF0cRbF76wj3RpU0;50.768509,19.315735
Belsk Duży;;;05-622 Belsk Duży, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ711_9c4ZGUcRIiD7fBSWSkk;51.8253952,20.8092134
Bieżuń;;;Bieżuń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuXBXlsVQHEcRlViVwEaujhY;52.9606362,19.8892395
Borucza;;;05-282 Borucza, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm09BGpUgH0cR-0_82jGhxjU;52.37195999999999,21.5457469
Brok;;;07-306 Brok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT3Ob698AH0cRqGX44RkqDqg;52.6973953,21.8470553
Bukówno;;;Bukowno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJey_bWLzmFkcRp2Upx-Qr6Xo;50.26508,19.44484
Cieciszew;;;05-520 Cieciszew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJI7Rh5nApGUcResfWZw8C1I0;52.06032450000001,21.175229
Drążdżewo;;;06-214 Drążdżewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT5rtBbpwHkcRQdH2A-lshb8;53.0896197,21.1241577
Drążdżewo;;;06-214 Drążdżewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT5rtBbpwHkcRQdH2A-lshb8;53.0896197,21.1241577
Gaśno;;;09-500 Gaśno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcdRnwBmHG0cRMMA5nKMSrRk;52.4274417,19.5055053
Gąbin;;;Gąbin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzds3kRiKG0cR7wQ5Ig5PhHY;52.397605,19.7353003
Glinki Stare;;;06-216 Stare Glinki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqV3-Q1tmHkcRdbzMTIymNGg;52.9904186,21.3457065
Głowaczów;;;26-903 Głowaczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJ-55PwruGEcR1QmftVynN6I;51.6231255,21.3178986
Górki Kampinoskie;;;Górki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5T-9_2WsHkcRc2R-HaDEAJY;52.3361037,20.5234008
Górki Kampinoskie;;;Górki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5T-9_2WsHkcRc2R-HaDEAJY;52.3361037,20.5234008
Grabów nad Pilicą;;;26-902 Grabów nad Pilicą, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-6j_XmzmGEcRUj7LN5ylRYU;51.7242475,21.226973
Halinów;;;05-074 Halinów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEdNS4QzWHkcRe0QTAs81ovw;52.2239856,21.3497353
Jazgarzew;;;05-500 Jazgarzew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNavOSpUvGUcRyHZ3IAiED04;52.03937029999999,20.99598
Jedlnia Kościelna;;;26-670, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrcNoLa2LGEcRFucrwkFzmrQ;51.45547999999999,21.40852
Kamieńczyk;;;Kamieńczyk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc-AVn5nkHkcR4J5TocAzldU;52.6022568,21.5407226
Kamionna;;;32-732 Kamionna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq2-ne6IZFkcRNKFIypeawf8;49.8081641,20.3676633
Kampinos;;;05-085 Kampinos, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3enGLmZTGUcRe9fkavVdR1I;52.2681666,20.4632209
Kampinos;;;05-085 Kampinos, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3enGLmZTGUcRe9fkavVdR1I;52.2681666,20.4632209
Kampinos;;;05-085 Kampinos, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3enGLmZTGUcRe9fkavVdR1I;52.2681666,20.4632209
Korytnica;;;07-120 Korytnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMSk5H5MXH0cRxeE5-WzHbpk;52.414398,21.8495997
Kosów Lacki;;;Kosów Lacki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ096SvAsMH0cRenS2Itswg8c;52.596028,22.1470031
Kowala;;;Wrocławska 85, 62-060 Witobel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKyoLl31MBEcRCR7aK5OsNfo;52.247982,16.6898631
