nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Giecz;;;63-012 Giecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRzw8QyvwBEcRGbahSq-RkFY;52.31987729999999,17.3709816
Gniezno;;;Gniezno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc3vYEhWRBEcRcoFilLw4gfY;52.5349253,17.5826575
Kalisz;;;62-800 Kalisz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp-aTM5HFGkcR06o4rkCPn3E;51.76727990000001,18.0853462
Koło;;;62-600 Koło, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV1HAeo8VG0cRfrLGXjIoyVY;52.19986,18.63847
Kruszwica;;;88-150 Kruszwica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD9a19ZBVA0cR2E-_l7eyzJw;52.67429,18.33159
Ostrów Lednicki;;;Ostrów Lednicki, 62-261, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0XtJrfiLBEcRaW2ob4iyP48;52.5269444,17.3777778
Poznań;;;Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtwrh7NJEBEcR0b80A5gx6qQ;52.40567859999999,16.9312766
Santok;;;Santok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMZk4pAbeBkcRE904pvIV2IY;52.7387455,15.4089314
Sieradz;;;Sieradz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf4FqeIn1GkcRTtMmk8kSuyk;51.5956014,18.7302994
Wschowa;;;Wschowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSSJeK2-TBUcRbY8bQadju58;51.8071084,16.3164767
Będzin;;;Będzin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO3YzPqDQFkcRE7dO04zwGNM;50.3255999,19.125412
Brzeg;;;Brzeg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjwBS6uMvEEcRBbALEkJXmI4;50.8608509,17.466831
Częstochowa - Jasna Góra;;;ul. o. A. Kordeckiego 2, 42-225 Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgQYZJXe2EEcREHmn1biW3Qw;50.8125957,19.0970058
Danków;;;42-165 Danków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB1ef3o6XEEcRmMaeu52gnKY;50.9984642,18.8003753
Głogów;;;Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgetqeBn0BUcRpUUViGUBzt4;51.66358520000001,16.0846672
Głogówek;;;Głogówek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPUGpNYugEUcRbhj8UFg30cE;50.35349,17.8643499
Opole;;;Opole, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS7NtRQZTEEcRbjQMQIdkxiU;50.6683223,17.9230651
Wieluń;;;98-300 Wieluń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyQeonmZ_GkcRAlzioLJI4ls;51.2186,18.56892
Wrocław;;;Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv4q11MLpD0cR9eAFwq5WCbc;51.10929480000001,17.0386019
Chęciny;;;Chęciny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSSIAT4OGF0cRgrAGynPVtCc;50.8050467,20.4762284
Dobczyce;;;32-410 Dobczyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHxLTlc1qFkcRVfm4g8WOiM4;49.881374,20.0889444
Inowłódź;;;Inowłódz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJX7xFpNiYGUcRIcDpBG2krFE;51.525896,20.2224963
Jedlnia;;;26-670 Jedlnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU1hyY9-KGEcRlZyGLzGEKuY;51.46369259999999,21.3608241
Kraków;;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RhONcBEFkcRv4pHdrW2a7Q;50.06465009999999,19.9449799
Lublin;;;Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYUAVHhRXIkcRX-no9nruKFU;51.2509458,22.5747275
Niepołomice;;;Niepołomice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk5uzqJxHFkcRwAyfCY-Cu2I;50.0406662,20.2225326
Nowy Korczyn;;;Nowy Korczyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx5jZ3KjQF0cRQTyRuWNbEUI;50.3010266,20.8074789
Piotrków Trybunalski;;;Piotrków Trybunalski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZSon3Y2KGUcRznyoKX8F3V0;51.40517209999999,19.7030244
Przemyśl;;;Przemyśl, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0Wi2H99-O0cR8D-ZuwEX_B4;49.7823132,22.7744294
Radom;;;Radom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx9ssoCpZGEcRG9L0n8jWMOU;51.40272359999999,21.1471334
Sandomierz;;;Sandomierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp0gk8Ae1IkcR58h5ymGZEB8;50.6822405,21.7501781
Sanok;;;Sanok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYUmCtoFtPEcRbKzUSvcp6fI;49.55501870000001,22.2060658
Stopnica;;;28-130 Stopnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ27lEMQ_eF0cRbimb7Bfcq70;50.4406629,20.938154
Szydłów;;;Szydłów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjx6Cb-rkF0cR4YEEaVpczRs;50.591103,21.0073408
Wiślica;;;Wiślica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSfDehw7FF0cRJYNGfezKxPQ;50.3486474,20.674561
Bolimów;;;Bolimów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJabKF5FVfGUcRfitiz2FbSfs;52.07639709999999,20.1635963
Ciechanów;;;06-400 Ciechanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT6iwt6UuHEcRTVHAwIrk4lc;52.8814838,20.6197948
Czersk;;;89-650 Czersk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJ9L3CKNgAkcRkq7SiPbv0iE;53.79509359999999,17.9763976
Czerwińsk nad Wisłą;;;Czerwińsk nad Wisłą, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ73HrL0MBHEcRC3RcogRtds0;52.39787949999999,20.3094785
Gostynin;;;Gostynin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPVufBSiBG0cRT4UvFgKf5SA;52.4293273,19.4619176
Kozienice;;;26-900 Kozienice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-4TIUiOSGEcRQzxWn-tuW74;51.5855328,21.5511768
Liw;;;Liw, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtxjBp_MVH0cRe3dLYtC3_-A;52.3718313,21.9623939
Łęczyca;;;Łęczyca, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuRA4ohykG0cRZFYJY8mQmtA;52.05959,19.19969
Płock;;;Płock, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0RXla55wHEcRv6SuMzyOf2w;52.5463446,19.7065364
Warszawa - Zamek Królewski;;;plac Zamkowy 4, 00-277 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB1RFG2bMHkcRvslJ-0ahGSA;52.2477436,21.0141275
Warszawa - Pałac Ujazdowski;;;Jazdów 2, 00-467 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGWKrXuPMHkcRd2X87Au1qbg;52.2195765,21.0304445
Warszawa - Łazienki;;;Agrykola 1, 00-460 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ435ebh7NHkcRcaqhXGG2Vow;52.2146733,21.0328941
Warszawa - Wilanów;;;Wilanów, Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_904WBgtGUcR3NNsymwVe40;52.1561298,21.1116284
Drohiczyn;;;Drohiczyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlwh6uK9iH0cRPR9psznvsK8;52.4003253,22.6585778
Knyszyn;;;Knyszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4Wk-QAsf4EYRANJPFa3Yol8;53.3126826,22.9196898
Mielnik;;;17-307 Mielnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXznKd__FIUcRPBoHuO2Veg4;52.331084,23.0459633
Tykocin;;;16-080 Tykocin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXWbMouTdH0cRTTfhGPchIkc;53.2062669,22.7740605
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gniew;;;Gniew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJua2L81mjAkcRoPIuebCP_fo;53.8354402,18.8223498
Malbork;;;82-200 Malbork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo1bIL6FZ_UYRJMFchlKgqZk;54.0361319,19.0379763
Toruń;;;Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGeyU2eE0A0cRxIlqWJpySnQ;53.0137902,18.5984437
