nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bolesławiec;;;59-700 Bolesławiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrzgwDTs0D0cRonh00IwO_I0;51.2658553,15.5657397
Bystrzyca Kłodzka;;;Bystrzyca Kłodzka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6eILDT8FDkcRmu-0SbBfv4s;50.2967676,16.6515211
Charbrowo;;;84-352 Charbrowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJP4pZcJTY_UYRqxOz6sALeYI;54.6786131,17.5963962
Duszniki Zdrój;;;Duszniki-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_eTxHGFsDkcRDzYttRmDCGo;50.404284,16.3904406
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gościszów;;;Gościszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPX1SXXEtD0cRxUNoAemtfsA;51.1614332,15.4523742
Grudziądz;;;Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqUu4_sLPAkcR7JSm-SwsQDY;53.4837486,18.7535649
Kostomłoty;;;;NOT_FOUND;
Krzeszów;;;Krzeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ09ZKXXz3DkcR_IDlMy8MyvI;50.7333738,16.0707451
Lądek Zdrój;;;Lądek-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0-K5_4sdDkcR17jrYWIdcw4;50.3430802,16.8795362
Lębork;;;Lębork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr2H6d_jn_UYRUQ7D_BGINAw;54.5448143,17.7530872
Lubomierz;;;Lubomierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc69y-DYoD0cRwdYKthAHKqw;51.01264639999999,15.510661
Namysłów;;;Namysłów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIZSbPKIWEEcROfkPhEigMs0;51.07588,17.72244
Oleśnica;;;Oleśnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ68HS6d3iD0cRb5A70LQKSvM;51.2134346,17.3898504
Oława;;;Oława, Polska;https://www.google.com/maps/place/?q=place_id:ChIJscaNeWUnEEcRMKvO7Ru4UVY;50.9459276,17.2924017
Paczków;;;Paczków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk1L-Q6PfEUcRmLebwXX69wg;50.4635646,17.0057255
Poznań;;;Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtwrh7NJEBEcR0b80A5gx6qQ;52.40567859999999,16.9312766
Pszczyna;;;Pszczyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc3BjCY66FkcRg_ab-qkPDjY;49.9777792,18.9476954
Rogów Sobocki;;;Rogów Sobócki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE77gjie2D0cRv9qOIbthZec;50.927065,16.7586241
Sobótka;;;Sobótka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtzllzoq1D0cRXH-Jo_l7aAs;50.89984,16.7445201
Strzegom;;;Strzegom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwaofXmSpD0cRBneKhX_1Y6Q;50.9604662,16.3510375
Szczytna;;;Szczytna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmxGPlzITDkcRw8GW3gKm2jg;50.41339,16.4474201
Szydłowiec;;;Szydłowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTyYIio1IGEcRnbk95QL4oOE;51.2279908,20.8611466
Szydłowiec;;;Szydłowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTyYIio1IGEcRnbk95QL4oOE;51.2279908,20.8611466
Śmiałowice;;;Śmiałowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcRhra0uyD0cRhJ0pmpHVeAw;50.9034016,16.5495898
Tomaszów Lubelski;;;22-600 Tomaszów Lubelski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFcyqxxGvJEcRjPXOCKzXaAI;50.447024,23.4163099
Wojbórz;;;Wojbórz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPxAC_MA9DkcRltayxpMthAc;50.5068858,16.6515922
Wrocław;;;Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJv4q11MLpD0cR9eAFwq5WCbc;51.10929480000001,17.0386019
Zamość;;;22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd9IR2q1nI0cRgKX4ApJFALo;50.7230879,23.2519685
Złoty Stok;;;Złoty Stok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJI5b07BQfDkcRvgxpiml9AM4;50.44459,16.87578
Żórawina;;;Żórawina, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSXsRXCrFD0cRhZSU9Qd-TNQ;50.9810483,17.0358025
