nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bardo Śląskie – most nad Nysą Kłodzką. Kamienny, gotycki, wybudowany w 1589 r. Posiada trzy przęsła i stoi na potężnych filarach.;;;Główna 1, 57-256 Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq1pXZC49DkcR4gfPyAfDRHA;50.5053786,16.736997
Bolesławiec – most kolejowy na rzece Bóbr. Do realizacji wybrano projekt pruskiego architekta Fryderyka Engelhardta Gansela. Pracę nad przeprawą rozpoczęto 18 czerwca 1844 r. Długość: 490 m. Wysokość: 26 m, szerokość: 8 m, 35 –przęsłowy, oddalenie przęseł 15 m, 11,5 m lub 5,65 m. Wiadukt wykonany został z piaskowca. Przy budowie bezpośrednio prace wykonywało ponad 600 osób, a kolejne 3200 było związanych pośrednio. Budowa trwała 2 lata – została ukończona w lipcu 1846 r. Wśród ważnych dat w historii wiaduktu należy rok 1945 r. kiedy to Niemcy wycofujący się z miasta wysadzili centralne przęsło przeprawy. W sierpniu 2006 r. wiadukt został oświetlony, oświetla go 58 projektorów kompaktowych, które zamontowane są na wewnętrznych stronach filarów mostu. W październiku 2009 r. zostały zakończone prace nad kapitalnym remontem wiaduktu. Został wypiaskowany, jego konstrukcja została gruntownie odnowiona i poddana konserwacji. Wiadukt otrzymał nowa sieć trakcyjną, układ torowy, a pas kolejowy poszerzono z obu stron. Umożliwia to kursowanie pociągów z prędkością 160 km/h;;;Unnamed Road, 59-700 Bolesławiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_V8_V1Q1D0cRsEJHTw4JCKU;51.2687828,15.5505487
Brzeg Dolny – most na Odrze. 6 –przęsłowy, betonowy, sprężony ustrój nośny belkowy o przekroju skrzynkowym jednokomorowym, żelbetowe podpory tarczowe. Długość 565 m, szerokość 15,62 m. Planowany do oddania do ruch w 2012 roku.;;;Brzeg Dolny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6-jkSbCbD0cRvO4t7zTRbC0;51.2565572,16.7467298
Bogatynia – most Króla Jana przez Miedziankę, z 1869 r. w ciągu ul. Kościuszki i Partyzantów. Nazwany został na cześć ówczesnego saksońskiego monarchy, który uroczyście po nim przejechał. Konstrukcja mostu umożliwia unoszenie na około metra podczas wysokiego stopnia wody w rzece, dzięki czemu ani razu nie został uszkodzony podczas wylewy. Fundatorem mostu był C. A. Preibisch. Most posadowiony przed jego domem i był pierwszym żelaznym mostem Bogatyni. Długość 15 m, szerokość 3 m, Konstrukcja stalowa, jednoprzęsłowa, dwudźwigarowa, kratownicowa z pomostem stalowo – drewnianym ukształtowana w łuku pionowym.;;;;NOT_FOUND;
Bogatynia – most na osiedlu Markocice nad Miedzianką,;;;Pocztowa 24A, 59-920 Bogatynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLQtpewAlCUcRQeBl4hkopMM;50.90988489999999,14.9680037
Bogatynia – most przy ul. Turowskiej nad Miedzianką,;;;;NOT_FOUND;
Bogatynia – most przy ul Bojowników o Wolność i Demokrację nad Miedzianką,;;;Aleja Żytawska 17 - 18, 59-920 Bogatynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpQhUrtgkCUcREnBYGf8tuYo;50.905252,14.9557493
Bogatynia – most przy ul. Dworcowej nad Miedzianką.;;;59-920 Bogatynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJj4DrcbolCUcRA9mgdU2G-Vs;50.9060077,14.957418
Bystrzyca Kłodzka – wiadukt kolejowy nad Nysa Kłodzką, wybudowany z białego piaskowca w 1875 r. pochodzącym z Fortu Wihelma w ciągu linii kolejowej z Kłodzka do Międzylesia.;;;57-500 Bystrzyca Kłodzka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3wOR9j4FDkcR_LIDWv5mQec;50.29523040000001,16.6538324
Ciechanów – most nad Odrą, oddanie mostu do użytku, to przełom sierpnia i września 2012 roku. Wykonawca – firma Mosty Łódź S.A. Most drogowy, żelbetowy, 9-cio przęsłowy, o długości 525m, nośności 50 ton i szerokości około 15 m. Szerokość jezdni 8 m. Podpory mostu, posadowione na palach.;;;Most Ciechanów - Radoszyce, 59-305, Polska;https://www.google.com/maps/place/?q=place_id:ChIJU6AeiHCHBUcRiZpKNVAwYFE;51.5773264,16.4252848
