nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Abramówek - Pałac;;;Abramowicka, 20-442 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyyppuKhXIkcRaUTgAGSXk34;51.204784,22.5893784
Aleksandrów - Kościół Ewangelicko Augsburski;;;Wojska Polskiego 52, 91-743 Aleksandrów Łódzki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-xBuyJC0G0cRixHlREeVOeY;51.8187191,19.3118693
Aleksandrów Łódzki - Ratusz lub Kościół;;;Wojska Polskiego 3, 95-070 Aleksandrów Łódzki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrS9s6Zu0G0cRui1SUhuAZGY;51.8191624,19.3042066
Alwernia - Kościół;;;Klasztorna 1, 32-566 Alwernia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq7K6RFTyFkcRATg0JfONNCU;50.06689189999999,19.534724
Andrychów - Kościół parafialny;;;Rynek 37, 34-120 Andrychów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9b8c5DqFFkcRAC6MipADUrA;49.8535972,19.3428062
Antonin - Pałacyk myśliwski Radziwiłłów;;;Pałacowa 1, 63-421 Antonin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW8Iklu-aI0cR2Bae3QnzJrw;51.5166505,17.8505315
Antoniny - Pałac;;;Pałacowa 1, 63-421 Antonin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW8Iklu-aI0cR2Bae3QnzJrw;51.5166505,17.8505315
Antoniny - Stajnie dworskie na wieży;;;Akacjowa 14, 05-304 Ładzyń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSaqhHgAvH0cRXea9btEmkqg;52.2411287,21.5480654
Babimost - Ratusz;;;Rynek 3, 66-110 Babimost, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHeyhcRJ6BkcRYvq5ArOvS9E;52.1618433,15.8276344
Babolice;;;Bobolice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9xIF8BGVAUcR3_wbawVlDXM;53.95494,16.5876701
Baranów k. Kępna - Kościół św. Andrzeja;;;Kościelna 1, 63-604 Baranów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgSd95Sh1EEcRoDAWRtgYztc;51.2674952,18.0044471
Barcin - Kościół;;;Mogileńska 7, 88-190 Barcin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbzSf4atnA0cR6bfAfRL3rJU;52.8554077,17.9396971
Barcin - Szkoła;;;Artylerzystów 13, 88-190 Barcin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa_O76ahnA0cRMgEElBf-tNI;52.8543034,17.9440288
Barcin - Urząd Miasta;;;Artylerzystów 9, 88-190 Barcin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe09PF6lnA0cRC-yqjNfwazU;52.8543345,17.9420794
Barczew - Ratusz;;;plac Ratuszowy 1, 11-010 Barczewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7QZZMWNw4kYRvNb6bXVChk0;53.8278214,20.6905545
Barczewo - Urząd Miasta;;;plac Ratuszowy 1, 11-010 Barczewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7QZZMWNw4kYRvNb6bXVChk0;53.8278214,20.6905545
Barlińce Lasowe - Dwór/Wieża;;;Milicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjemA-h1ZBUcRPKBQnIrQGoo;51.4660843,17.2612701
Bartoszyce - Brama miejska Lidzbarska;;;plac Konstytucji 3 Maja 20, 11-200 Bartoszyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgWI6OxtX4kYR_hDKwjM1zwg;54.2503036,20.8085802
Bartoszyce - Szkoła;;;Leśna 1, 11-200 Bartoszyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdeR0HCJX4kYRbNJ1DY3kjn0;54.24880899999999,20.825815
Berdyczów - Kościół o.o Karmelitów pw. NMP;;;Karmelicka 19, 31-131 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkf_SLglbFkcR8JKKcpb44xo;50.065,19.9316667
Bełchatów - Kościół;;;Kościuszki 2, 97-400 Bełchatów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwcd8vN8ZGkcR7uLWOJrwMKw;51.3661889,19.3703405
Bełżyce - Kościół pw. Nawrócenia św. Pawła;;;Plac Kościelny 8, 24-200 Bełżyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm-wuUWf0IkcRhxSTzvGBOHw;51.1747076,22.2776667
Biała - kasa komunalna;;;Dolna 9, 21-500 Biała Podlaska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqR9wzzWRIUcRhDnedWcKBVc;52.0403412,23.1216386
Bytom - Dworzec PKP;;;plac Wolskiego, 40-907 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy4iUACnTFkcRKrDDxNaycYM;50.3431772,18.9154179
Bytom - IV Liceum Ogólnokształcące C. Weiss;;;plac Sikorskiego 1, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-8QEBybTFkcRbX96eL44cOI;50.3447423,18.9211973
Bytom - Kościół;;;Stanisława Moniuszki 22, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJde2u2qnTFkcROoZWcUY7J7w;50.3439086,18.9192779
Bytom - Kościół Eppner&Co.;;;Księdza Karola Koziołka 3, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrdF4hy_TFkcRH5XSsfubB2U;50.3477588,18.9224118
Bytom - Kościół Matki Boskiej Wniebowziętej;;;Księdza Karola Koziołka 3, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrdF4hy_TFkcRH5XSsfubB2U;50.3477588,18.9224118
Bytom - Kościół pw. NMP.;;;Księdza Karola Koziołka 3, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrdF4hy_TFkcRH5XSsfubB2U;50.3477588,18.9224118
Bytom - Kościół pw. Św Barbary;;;Józefa Chełmońskiego 18, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJl-QIJzfTFkcRIiRQB6ceaBU;50.3558861,18.9248644
Bytom - Kościół św. Trójcy;;;Józefa Kwietniewskiego 1, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBQ32i1Mr4kYR4P6s_HJum1Q;50.34860459999999,18.9197365
Bytom - Urząd pocztowy Eppner&Co.;;;Karola Miarki 2, 41-902 Bytom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJl4GT1nXTFkcRhfHbRwc0hag;50.3430557,18.9187848
