nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Szeroka Góra;Góry Bardzkie;;Szeroka Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgzvLMm8YDkcR86jbg3q69ro;50.4523129,16.7572355
Kłodzka Góra;Góry Bardzkie;;Kłodzka Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJj70VQmkYDkcRq9iOR1_b2z8;50.45165249999999,16.7532116
Ostra Góra;Góry Bardzkie;;Ostra Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTS7I5wsYDkcRKXmQWgKA_0U;50.465808,16.7459466
Brusek;Góry Bialskie;;Brusek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-2un3O_6EUcRAk8PhOx2FrU;50.227222,17.024444
Postawna;Góry Bialskie;;Góry Bialskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsUZFoF77EUcRQHGKTPnzRDU;50.25000000000001,16.9666667
Rudawiec;Góry Bialskie;;Rudawiec, 788 32 Staré Město pod Sněžníkem, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJ1ztS2mn7EUcRDMccwAr7SIU;50.244056,16.975889
Jagodna Północna;Góry Bystrzyckie;;57-516 Spalona, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ16RrZ1YPDkcRrymEj7NyRQw;50.260926,16.5608267
Jagodna;Góry Bystrzyckie;;Jagodna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNWcWIPEFDkcRKgRh4cXYT1c;50.2527777,16.5666666
Łomnicka Równia;Góry Bystrzyckie;;Łomnicka Równia, Pokrzywno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcfy8a_kRDkcRrDPZcNkeZFQ;50.3388888,16.5277778
Wysoka Kopa;Góry Izerskie;;Wysoka Kopa, 58-580 Szklarska Poręba, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA4OCoDXQDkcRWLe1U1noiIE;50.84999999999999,15.4194444
Smrek;Góry Izerskie;;Smrek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSUiAxTzTDkcRJu8IsENQpN4;50.9,15.2833333
Sine Skałki;Góry Izerskie;;Sine Skałki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwXhF8LDRDkcRNzLXDRjhSvs;50.85845,15.405017
Skopiec;Góry Kaczawskie;;Skopiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQcGNnQUeD0cR3J9GA9-7xSs;50.9444098,15.8849806
Okole;Góry Kaczawskie;;Okole, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ73OjUJkfD0cR-cBg6wR4XL0;50.9806955,15.8178717
Baraniec;Góry Kaczawskie;;Baraniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8STnbgQeD0cRfI741oLdmmM;50.9409334,15.8841637
Waligóra;Góry Kamienne;;Waligóra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYwMckkRaDkcRW4m06IOAHIw;50.6807508,16.2780768
Suchawa;Góry Kamienne;;Suchawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJR8GseUdaDkcR3X2qkh-LZQY;50.6808719,16.2663746
Kostrzyna;Góry Kamienne;;Kostrzyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr9wSzzlaDkcRP6Hw0IhBubI;50.67979099999999,16.2602806
Biskupia Kopa;Góry Opawskie;;Biskupia Kopa, 793 76 Zlaté Hory v Jeseníkách, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJiYBKksWTEUcRs9jxnL7nI9Y;50.2566847,17.4287677
Srebrna Kopa;Góry Opawskie;;793 84 Janov u Krnova, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJoyzSKt6TEUcRMeG1GAliN7w;50.25639779999999,17.4545139
Zamkowa Góra;Góry Opawskie;;Zamkowa Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK3vQt_mTEUcR5MUVypYUDzs;50.2743112,17.4563311
Orlica;Góry Orlickie;;Góry Orlickie, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJORTH2I8LDkcRedN078qXcDc;50.2518194,16.4233337
Zielony Garb;Góry Orlickie;;Orle Wielkie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQblviGtzDkcRDHaFUxx4FmA;50.3450594,16.3693101
Szerlich;Góry Orlickie;;Šerlich, 518 01 Dobré-Dobruška, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJ-1yTIZhzDkcREBjIrWKjR9c;50.3,16.3
Wielka Sowa;Góry Sowie;;Wielka Sowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7-GUWapIDkcRm9X4qKy4sg0;50.68034489999999,16.4854977
Mała Sowa;Góry Sowie;;Rzeczka 17, 58-320 Rzeczka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_UyWR3BPDkcR8m4Nl--Hwhs;50.6802139,16.4416065
Kalenica;Góry Sowie;;Kalenica, Bielawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJea_3mr5HDkcR7_SJVk7vBwo;50.6434243,16.5468666
