nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Aleksandrów Kujawski na północnych krańcach Aleksandrowa przy ul. Narutowicza cmentarz w środku kopiec zmarłych podczas internowania;Województwo kujawsko-pomorskie;;Gabriela Narutowicza 28, 87-700 Aleksandrów Kujawski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn6uxpSK0HEcRqIy13ojz9Wo;52.88796319999999,18.6850016
Brodnica ul. Świerkowa cmentarz wojskowy w Lasku Miejskim. Kwatery 31 żołnierzy poległych 15.08.1920 r., kapliczka;Województwo kujawsko-pomorskie;;Świerkowa, 87-300 Brodnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKRaCXkEfHUcRcjeGsYuVF8s;53.2620771,19.4117958
Bydgoszcz ul. Artyleryjska cmentarz nowofarny. Groby żołnierzy polskich poległych w 1920r.;Województwo kujawsko-pomorskie;;Artyleryjska 10, 85-680 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRRuQ6M8TA0cR7S0Bmw4-gaw;53.14009369999999,18.0055337
Grudziądz ul. Jagiełły róg ul. 18 Pułku Ułanów Pomorskich cmentarz wojenny. Kwatery żołnierzy polskich poległych w latach 1920-21 pomnik kopiec;Województwo kujawsko-pomorskie;;18 Pułku Ułanów Pomorskich, 86-300 Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtRPlNbzPAkcRhsEEtq4WItA;53.5066122,18.7632591
Świecie nad Wisłą stary cmentarz ul. Mickiewicza obok kościoła św. Andrzeja Boboli, groby żołnierzy poległych w 1920r.;Województwo kujawsko-pomorskie;;86-100 Świecie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ2H5il_eAkcRb26nFtagD9U;53.4142534,18.4500804
Toruń ul. Grudziądzka cmentarz garnizonowy, kwatera żołnierzy poległych 1920r.;Województwo kujawsko-pomorskie;;Grudziądzka, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD_9uhVk1A0cR2KFYnFuN_KQ;53.0177273,18.6069002
Włocławek ul. Obrońców Wisły 1920r. Szpetal Dolny Pomnik „Poległym Obrońcom Wisły 1920r.;Województwo kujawsko-pomorskie;;Obrońców Wisły 1920 r. 9, 87-801 Włocławek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPQB4joOZHEcRVyDM5QXDoAo;52.671371,19.0831005
Jastków 12 km na północny zachód od Lublina, pomnik legionistów na cmentarzu legionowym.;Województwo lubelskie;;Plac Jana Kochanowskiego, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN5acaWlXIkcRnIU5WfETW2A;51.2460976,22.56152
Komarów 15 km na południowy wschód od Zamościa, pomnik „Chwały Kawalerii i Artylerii Konnej”, największa bitwa kawalerii w XX w.;Województwo lubelskie;;Wolica Śniatycka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu7gn122fJEcRUrNiITZP2FE;50.6786842,23.4469003
Lublin cmentarz przy ul. Lipowej, mogiły z 1920r. i pomnik legionistów.;Województwo lubelskie;;Lipowa, 20-400 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy6k_fwBXIkcRe0lCc2WPLuM;51.24360189999999,22.5520456
Samoklęski 15 km na zachód od Lubartowa pomnik Pamięci Poległych Legionistów w Bitwie pod Samoklęskami i Kamionką w 1915r.;Województwo lubelskie;;Samoklęski 15, 21-132 Borek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1YIKr3VCIkcR0zpIKiUHf68;51.4500453,22.4345772
Łuków skwer przy placu Narutowicza, dąb Wolności posadzony w 1918r.;Województwo lubelskie;;Plac Narutowicza 7, 21-400 Łuków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFUotxfT_IUcRtAO8PgNd0Ag;51.9302192,22.379142
Łódź stary cmentarz ul. Ogrodowa mogiły 28 pułku strzelców kaniowskich;Województwo łódzkie;;Ogrodowa 39/43, 91-071 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJffKqhJjLG0cRMaOxpxg-s-I;51.7753403,19.4346564
Łódź katedra ul. Piotrkowska - pomnik ks. Ignacego Skorupki /był wikariuszem w Łodzi - tablica na frontonie katedry, lista poległych 1914-1920;Województwo łódzkie;;Piotrkowska 265, 90-457 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtSZsQts0GkcRMLhAXQ-MuDA;51.7489986,19.4602944
Piotrków Trybunalski przy ul. Partyzantów cmentarz wojenny z 1920r.;Województwo łódzkie;;Partyzantów 1, 97-300 Piotrków Trybunalski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-bwpoYmKGUcRdjSKP0OI7B4;51.4151684,19.6933175
Stary Gostków k/Wartkowic 15 km na południowy zachód od Łęczycy pomnik – kamień z napisem „Tu czasu wielkiej wojny dnia 29 października 1914r. stoczyły bitwę z wojskiem rosyjskim oddziały legionów Józefa Piłsudskiego walcząc o honor i wolność ojczyzny”. Toczył walki II batalion legionistów.;Województwo łódzkie;;Stary Gostków 42, 99-220 Stary Gostków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiUJJgDKoG0cRv-E-i2TVw7w;51.9687224,19.0190275
Zgierz cmentarz przy ul. Piotra Skargi obok kaplicy kwatera oznaczona pomnikiem z napisem „Cześć Obrońcom Ojczyzny”.;Województwo łódzkie;;Księdza Piotra Skargi, 95-100 Zgierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5UJfPte1G0cR6jGkJ7x8GDo;51.8574837,19.4035948
Bydlin 15 km na północ od Olkusza - pomnik powstańców na cmentarzu.;Województwo małopolskie;;;NOT_FOUND;
Chyszówki przełęcz w Beskidzie Wyspowym między Łopieniem (961m) a Mogielicą (1171m), Przełęcz Rydza Śmigłego pomnik Spotkań Pokoleń.;Województwo małopolskie;;Unnamed Road, 34-643 Chyszówki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA6cERwIFFkcRwFJTNMuv5_I;49.68134389999999,20.2810311
Gorlice muzeum regionalne PTTK im. Ignacego Łukasiewicza ul. Wąska 7-9;Województwo małopolskie;;Wąska 7, 38-300 Gorlice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNWzsmo3GPUcR1ZxhV42HCOQ;49.65677729999999,21.1567173
Gręboszów 5 km na północ od Dąbrowy Tarnowskiej cmentarz;Województwo małopolskie;;Gręboszów 16, 33-260 Gręboszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzxGYmUrRF0cRlJUqPn35pK4;50.2459877,20.7757795
Kraków kopiec Niepodległości im. Józefa Piłsudskiego – największy z pięciu istniejących w Krakowie kopców, usypany na szczycie Sowińca znajdującego się w Lesie Wolskim, w zachodniej części Krakowa na terenie dzielnicy Zwierzyniec;Województwo małopolskie;;Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhWQOxlBZFkcRYRF_KETlCrQ;50.0601159,19.8471898
Kraków Wawel katedra św. Wacława w krypcie sarkofag Marszałka Józefa Piłsudskiego;Województwo małopolskie;;Zamek Wawel, 31-003 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY7-qdG1bFkcRJ3ataT_e_Hg;50.0546371,19.9354684
Kraków Oleandry ul. 3 Maja 7 - Muzeum Czynu Niepodległościowego;Województwo małopolskie;;al. 3 Maja 7, 30-960 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3eduCaBbFkcRhk3l0EmbF3c;50.060274,19.9205909
Kraków ul. Dietla 30 kościół św. Agnieszki - sarkofag gen. Józefa Hallera.;Województwo małopolskie;;Józefa Dietla 30, 31-070 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLy5i5WtbFkcRb2doRXBQc44;50.0512848,19.9397502
Kraków cmentarz Rakowicki /od ul. 29 listopada/;Województwo małopolskie;;Rakowicka 26, 31-510 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4fLDYh1bFkcRf6eDsONQ6WU;50.0738873,19.954187
Limanowa Legiony Polskie pod dowództwem Piłsudskiego toczyły w dniach 4-7.12.1914r. Walki z Rosjanami, w pobliżu na stokach wzgórz Jabłonice i Golców znajdują się cmentarze wojenne, dzielnica Łososina Górna w pobliżu kościoła pw. Wszystkich Świętych.;Województwo małopolskie;;;NOT_FOUND;
