nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Niwnice k/Lwówka Śląskiego - kościół filialny św. Jadwigi po 1305r.;Zabytki architektury;;Niwnice, 59-600, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbSZLWs0tD0cRnRzJu8JQOAU;51.1183792,15.4872331
Biały kościół k/Strzelina – kościół Nawiedzenia Najświętszej Maryi Panny, 1264r.;Zabytki architektury;;57-100 Biały Kościół, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3aHLjgkrDkcRiuefa-JKezQ;50.7262156,17.0466206
Brzeg Głogowski – kościół Bożego Ciała, XIII w /na zachód od Głogowa/.;Zabytki architektury;;Brzeg Głogowski 59A, 67-232 Brzeg Głogowski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKbmN5IX5BUcRWE-vlhN5WlQ;51.69867259999999,15.914833
Głogów - zamek książęcy, murowana wieża z XIII w.;Zabytki architektury;;Brama Brzostowska 4, 67-200 Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhwtMCI31BUcRrq0DhzUujag;51.6671856,16.0907447
Głogów - kościół św. Piotra, fundamenty z XII w., obecnie lapidarium i pomnik Jana Pawła II;Zabytki architektury;;67-200 Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB3mg5RD0BUcRZE4CPgyL_08;51.6657863,16.0890793
Głogów - kolegiata Wniebowzięcia NMP, relikty dwóch kościołów z XII w. /pod posadzką/ i dwóch faz właściwej kolegiaty z 1 poł. XIII w.;Zabytki architektury;;plac Kolegiacki 10, 67-200 Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0x29RQ70BUcRC58hg1_Rj3I;51.6704407,16.0934636
Głogów - farny kościół św. Mikołaja, relikty fazy romańskiej z 1 poł. XIII w.;Zabytki architektury;;Staromiejska 2, 67-200 Głogów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5cc8pxb0BUcR3RQKuXP0oGE;51.6626137,16.0916929
Gogołów – kościół romański z początku XIII w, obecnie gotycki pw. Św. Marcina.;Zabytki architektury;;Gogołów 2, 38-131 Gogołów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0_OSnXKuPUcRH89RfQpeJ7s;49.8471786,21.527915
Gościszów - ruiny zamku z XIII w, przebudowany w końcu XIV w.;Zabytki architektury;;59-732 Gościszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWYkTxH4tD0cRloFr6qgJlCM;51.1609074,15.4555571
Gościszów - kościół Matki Boskiej i Jana Chrzciciela, fragmenty z1 połowy XIII w.;Zabytki architektury;;59-730 Gościszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIfJ3GHwtD0cRVm6dWgYMtzw;51.1604398,15.4569912
Henryków – kościół pocysterski, ok. 1270r.;Zabytki architektury;;plac Cystersów 1, 57-210 Henryków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvVGLsw8pDkcRPMenYtxSk-4;50.65313200000001,17.0140059
