nazwa_obiektu;wojewodztwo;kategoria_obiektu;adres;wspolrzedne;wikipedia_opis;google_maps_link;stopien_odznaki
Bacowka na Rycerzowej;slaskie;bacowka;Beskid Zywiecki, Przelecz Przegibek - Rycerzowa;49.4349, 19.1118;Bacowka PTTK na Rycerzowej to klasyczne schronisko bacowkowe w Beskidzie Zywieckim, polozone pod Wielka Rycerzowa. Obiekt pelni funkcje bazy noclegowej i wezla szlakow granicznych oraz grzbietowych, a jego polozenie czyni go jednym z najwazniejszych punktow etapowych w tej czesci pasma.;https://www.google.com/maps?q=49.4349,19.1118;JEDNOSTOPNIOWA
Bacowka w Jaworcu;podkarpackie;bacowka;Bieszczady, Jaworzec;49.2070, 22.3987;Bacowka PTTK w Jaworcu lezy w dolinie dawnej wsi Jaworzec, na terenie Bieszczadow Zachodnich i obszaru cennego przyrodniczo. To znany punkt odpoczynku na trasach pieszych, laczacy walory krajoznawcze z historia osadnictwa nieistniejacych wsi oraz tradycja beskidzkich schronisk.;https://www.google.com/maps?q=49.2070,22.3987;JEDNOSTOPNIOWA
Bacowka na Krawcowym Wierchu;slaskie;bacowka;Beskid Zywiecki, Krawcow Wierch;49.4295, 19.1026;Bacowka PTTK na Krawcowym Wierchu jest jednym z najbardziej rozpoznawalnych schronisk Beskidu Zywieckiego, z szeroka panorama na pasma przygraniczne. Obiekt obsluguje ruch turystyczny na szlakach prowadzacych m.in. z Ujsol i Zwardonia, stanowiac wazny punkt etapowy dla wedrowek grzbietowych.;https://www.google.com/maps?q=49.4295,19.1026;JEDNOSTOPNIOWA
Bacowka w Bartnem;malopolskie;bacowka;Beskid Niski, Bartne;49.5412, 21.2468;Bacowka PTTK w Bartnem znajduje sie w Beskidzie Niskim, w rejonie znanym z dziedzictwa kultury lemkowskiej i licznych cerkwi. Schronisko stanowi dogodna baze do wedrowek po Lagodnych grzbietach Magurskiego Parku Narodowego i okolicznych dolin, laczac walory przyrodnicze oraz historyczne.;https://www.google.com/maps?q=49.5412,21.2468;JEDNOSTOPNIOWA
Bacowka na Maciejowej;malopolskie;bacowka;Gorce, nad Rabka-Zdroj;49.6390, 19.9868;Bacowka PTTK na Maciejowej polozona jest na skraju Gorcow, nad Rabka-Zdroj, i od lat sluzy turystom pieszym oraz narciarskim. Jej atutem jest latwy dostep oraz rozlegle widoki na Beskid Wyspowy i Tatry przy dobrej pogodzie, co czyni to miejsce popularnym celem krotszych wycieczek.;https://www.google.com/maps?q=49.6390,19.9868;JEDNOSTOPNIOWA
Bacowka nad Wierchomla;malopolskie;bacowka;Beskid Sadecki, Wierchomla Mala;49.4373, 20.8137;Bacowka nad Wierchomla lezy w Beskidzie Sadeckim na wysokosci umozliwiajacej wygodne laczenie tras pieszych i narciarskich. Obiekt jest punktem etapowym na szlakach pasma Jaworzyny Krynickiej, a jego polozenie pozwala laczyc wypoczynek gorski z oferta uzdrowisk regionu popradzkiego.;https://www.google.com/maps?q=49.4373,20.8137;JEDNOSTOPNIOWA
Bacowka pod Mala Rawka;podkarpackie;bacowka;Bieszczady, Przelecz Wyznianska;49.1468, 22.6205;Bacowka pod Mala Rawka to jedno z najwyzej polozonych i najczesciej odwiedzanych schronisk bieszczadzkich, usytuowane przy kluczowym wezlе szlakow. Stanowi baze wypadowa na Mala i Wielka Rawke oraz do doliny Wolosatego, bedac waznym punktem orientacyjnym i noclegowym regionu.;https://www.google.com/maps?q=49.1468,22.6205;JEDNOSTOPNIOWA
Bacowka na Brzance;malopolskie;bacowka;Pogorze Ciezkowickie, Brzanka;49.8522, 21.0958;Bacowka na Brzance polozona jest na Pogorzu Ciezkowickim, na trasach laczacych okolice Tuchowa, Jodlowki Tuchowskiej i Ryglic. Schronisko ma charakter kameralny i pelni funkcje lokalnego centrum turystyki pieszej, promujac mniej oczywiste, ale cenne krajobrazowo pasma pogorzy Karpat.;https://www.google.com/maps?q=49.8522,21.0958;JEDNOSTOPNIOWA
Bacowka na Jamnej;malopolskie;bacowka;Pogorze Ciezkowickie, Jamna;49.7723, 20.9328;Bacowka na Jamnej znajduje sie na Pogorzu Ciezkowickim, w sasiedztwie znanego osrodka duszpasterskiego i szlakow pieszych regionu. Miejsce laczy funkcje noclegowe z walorami widokowymi oraz dostepem do tras edukacyjno-przyrodniczych, bedac istotnym punktem krajoznawczym tej czesci Malopolski.;https://www.google.com/maps?q=49.7723,20.9328;JEDNOSTOPNIOWA
Bacowka pod Honem;podkarpackie;bacowka;Bieszczady, Cisna;49.2058, 22.3152;Bacowka pod Honem usytuowana jest nad Cisna, pod masywem Honia, na obszarze o wysokich walorach przyrodniczych i krajobrazowych. Obiekt obsluguje ruch turystyczny na szlakach prowadzacych m.in. ku Roztokom Gornym i osrodkom doliny Solinki, kontynuujac tradycje bieszczadzkich bacowek.;https://www.google.com/maps?q=49.2058,22.3152;JEDNOSTOPNIOWA
Bacowka pod Beresnikiem;malopolskie;bacowka;Beskid Sadecki, Szczawnica;49.4147, 20.4780;Bacowka pod Beresnikiem lezy nad Szczawnica, na stokach Beskidu Sadeckiego, i jest popularnym celem wycieczek o walorach widokowych. Schronisko umozliwia laczenie turystyki gorskiej z pobytem uzdrowiskowym w Pieninach i dolinie Grajcarka, stanowiac klasyczny punkt etapowy regionu.;https://www.google.com/maps?q=49.4147,20.4780;JEDNOSTOPNIOWA
