nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Międzygórze – Wodospad Wilczki rezerwat przyrody 1958r. Największy i najwyższy w Masywie Śnieżnika;;;Wojska Polskiego 10, 57-514 Międzygórze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4yWpWcsDDkcRvXSIIkoOxTs;50.2291214,16.7606494
Zamek Książ – trzeci co do wielkości w Polsce, największy zamek książęcy;;;Piastów Śląskich 1, 58-306 Wałbrzych, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_8-gefFUDkcROJcI7PFONBc;50.8423154,16.2915673
Zamek Czocha - obronny zamek graniczny w miejscowości Sucha;;;Sucha, 59-820 Leśna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAbL_2kPVCEcRG6oAqzhT7a4;51.030774,15.3036519
Wodospad Kamieńczyka – najwyższy w Polskich Sudetach;;;58-580 Szklarska Poręba, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGypmRDLFDkcR1rOGuGuenJ0;50.813646,15.496828
Park Narodowy Gór Stołowych z 1993r. - najmniejszy z parków;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJASAtu8FrDkcRdVXOSjTP_08;50.46012380000001,16.3958558
Twierdza Kłodzko - system obronny z XVII i XVIII w. Ratusz neorenesansowy;;;Grodzisko 1, 57-300 Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEShMrQAXDkcRm4CoG54TAvg;50.4410854,16.6534216
Śnieżka 1602 m n.p.m. - najwyższy szczyt Karkonoszy i Sudetów – kaplica św. Wawrzyńca z 1681r. Najwyżej położony obiekt sakralny;;;Karpacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ27fGNBnpDkcRSPAFzlJsVk0;50.73605,15.7397974
Duszniki Zdrój - Muzeum Papiernictwa – najstarsza działająca papiernia w Polsce;;;Kłodzka 42, 57-340 Duszniki-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM50_hu9sDkcR-xHcn4-HLEA;50.4045386,16.3956988
Kruszwica - Kolegiata św. Piotra i Pawła – jeden z najlepiej zachowanych zabytków architektury romańskiej w Polsce, ruiny zamku z pozostałością Mysią Wieżą z II połowy XVI w.;;;Kolegiacka 26, 88-153 Kruszwica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6dGcUABVA0cRnynPPWQyyGY;52.67986699999999,18.3274418
Biskupin – stanowisko archeologiczne – najstarsza osada naszych przodków;;;Biskupin 3, 88-410, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKVwK8ORiA0cR43LzwFZZw7w;52.7850085,17.7434372
Radzyń Chełmiński - Zamek Krzyżacki;;;Ludwika Waryńskiego, 87-220 Radzyń Chełmiński, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvYSV9cUsHUcR4dtCrJpmGmg;53.3884951,18.9354449
Toruń – krzywa wieża, najstarsze zachowane fragmenty muru miejskiego,ratusz gotycki, Planetarium i Muzeum Mikołaja Kopernika;;;Pod Krzywą Wieżą 1, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWaBjWRw1A0cR4xeSYVqBFJA;53.008413,18.602114
Golub Dobrzyń - Zamek Krzyżacki;;;PTTK 13, 87-400 Golub-Dobrzyń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHThs7vfaHEcR6zk24VUoJiI;53.1153606,19.0497898
Ciechocinek – zespół tężni solankowych, największa konstrukcja drewniana tego typu;;;Sportowa 87, 87-720 Ciechocinek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAftWk_u3HEcRqJQK5Z65tCk;52.88280109999999,18.786888
