nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bardo – kościół p.w. Nawiedzenia NMP;Województwo dolnośląskie;;plac Wolności 5, 57-256 Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_-DDNiw9DkcR5xD65hiEJhg;50.5057899,16.7405981
Grodowiec (d. Wysoka Cerekiew) – kościół p.w. św. Jana Chrzciciela;Województwo dolnośląskie;;Grodowiec 24, 59-150 Grodowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7YWf8FlgD0cRpIfPOV5-ZbI;51.5438142,16.1716531
Henryków – klasztor oo. cystersów;Województwo dolnośląskie;;plac Cystersów 1, 57-210 Henryków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvVGLsw8pDkcRPMenYtxSk-4;50.65313200000001,17.0140059
Jelenia Góra – kościół p.w. Świętego Krzyża (tzw. Kościół Łaski);Województwo dolnośląskie;;1 Maja 45, 58-508 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXT_MCBFX4kYR2OkBGkT5XUM;50.90415640000001,15.7442289
Karpacz Górny – ewangelicko-augsburski kościół „Wang”;Województwo dolnośląskie;;Na Śnieżkę 8, 58-540 Karpacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTDdKHDoDkcRsvR0pTSUxas;50.7773804,15.724084
Krzeszów – bazylika p.w. Wniebowzięcia NMP;Województwo dolnośląskie;;Jana Pawła II 1, 58-405 Krzeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm1QV4xfFPEcR6iMZxJjdOKM;50.7328397,16.0686557
Legnica – katedra p.w. śś. Piotra i Pawła;Województwo dolnośląskie;;plac Katedralny 6, 59-220 Legnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ32PQxZoSD0cRHurNEgoXXKo;51.2069489,16.1617487
Legnickie Pole – bazylika p.w. św. Jadwigi Śląskiej;Województwo dolnośląskie;;Świętej Jadwigi 1, 59-241 Legnickie Pole, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ4PkZxwMD0cRQtdhYFwit_4;51.1452436,16.2426904
Lubiąż – kościół p.w. NMP i klasztor pocysterski;Województwo dolnośląskie;;plac Klasztorny 1, 56-100 Lubiąż, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5Zxa_hyeD0cRjj21prlvP6o;51.2616633,16.4686456
Pstrążna – kościół ewangelicko-reformowany;Województwo dolnośląskie;;Pstrążna 25, 57-350 Kudowa-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWRY5DMFoDkcRkZ7RGrST2O4;50.47233019999999,16.2698657
