nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Arkadia – ogród sentymentalno-romantyczny, [p];;;Arkadia koło, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWaFFgcjmG0cRgxvFojJhfR8;52.0865552,20.012753
Białystok – zespół kościoła pw. Chrystusa Króla i św. Rocha, [p];;;Księdza Adama Abramowicza 1, 15-871 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9RvN8A38H0cRt8oDYK1fq1M;53.1344845,23.1448273
Binarowa gm. Biecz – późnogotycki drewniany kościół parafialny pw. św. Michała Archanioła, [u];;;Binarowa 409, 38-340 Binarowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_bB5GRy5PUcRRwa_5A4a3Q0;49.75727029999999,21.2275679
Biskupin – rezerwat archeologiczny, [p];;;Biskupin 3, 88-410, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKVwK8ORiA0cR43LzwFZZw7w;52.7850085,17.7434372
Blizne gm. Jasienica Rosielna – późnogotycki drewniany kościół parafialny pw. Wszystkich Świętych, [u];;;36-221 Blizne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkTUbw6ZcPEcRxk_ZZTe9o6Y;49.7506089,21.9762881
Bochnia – kopalnia soli, [p, u];;;Campi 15, 32-700 Bochnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJozsSjEc7FkcRAqbUuza3XOY;49.9689861,20.4176528
Bohoniki – meczet i mizar, [p];;;Meczet w Bohonikach, 16-100 Bohoniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo87TACLi30YRBTZSJNt2lgw;53.39061179999999,23.5914487
Bóbrka – najstarsza kopalnia ropy naftowej, [p];;;Kopalniana 35, 38-458 Bóbrka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJryry9ztIPEcR4UV4P3-Hrso;49.6163068,21.7108424
Brunary Wyżne gm. Uście Gorlickie – drewniana cerkiew pw. św. Michała Archanioła, [u];;;38-315 Brunary, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxVlUiZ3bPUcRMjsGcUh-WJ0;49.53406529999999,21.0327716
Brzeg – zamek Piastów Śląskich z renesansową bramą i kaplicą zamkową pod wezwaniem św. Jadwigi – nekropolią Piastów, [p];;;plac Zamkowy 1, 49-300 Brzeg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtfdmLeMvEEcRiaZV4qISdQA;50.8635277,17.4666464
