nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Grześ;;;Szlak pieszy niebieski, Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpbxhP_WTFUcRW7PSSFhopt0;49.2365834,19.7667929
Pilsko (Góra Pięciu Kopców);Grupa Pilska i Romanki;;Góra Pięciu Kopców, Korbielów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqRg-Xr4yFEcRhXzT_QE-oj4;49.5311554,19.3189216
Majcherkowa;Pasmo Romanki;;Unnamed Road, Sopotnia Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuV_0wPAzFEcR8sqPrRDy0Bc;49.560457,19.241909
Buczynka (Góra Huńców);Grupa Pilska;;Buczynka, Sopotnia Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHZ5Q7pstFEcR3GE_K1E7MVI;49.5666667,19.3
Jałowiec;Pasmo Jałowieckie;;Jałowiec, 34-332 Koszarawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTb0YqzfVFUcRNQ0SKYN6Li0;49.6700165,19.4579029
Krawców Wierch;Masyw Pilska;;Glinka, 34-371 Ujsoły, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqVwKeXQ0FEcRsRBS6nMj_KM;49.4759813,19.2187894
Grojec;Kotlina Żywiecka;;Grojec, Żywiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwR9BREwvFEcRA1Y15MT1AnI;49.6597222,19.1972221
Modyń;;;Modyń, 34-608, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx0m86DUCFkcRb7YLGWpw7Lc;49.6208333,20.3763888
Śnieżnica;;;Śnieżnica, Gruszowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSWOsUbUPFkcRlPwP4CjLH7g;49.71528139999999,20.1798677
Uklejna (zach. wierzchołek);Pasmo Łysiny i Lubomira;;Uklejna, 32-400 Myślenice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp6Fok7NtFkcRQLJn95R8Pis;49.811404,19.972415
Leskowiec;Pasmo Łamanej Skały;;Leskowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV6lx086GFkcRGzEHdnL1Ews;49.7886242,19.4437623
Łysa Góra;Pasmo Bliźniaków;;Łysa Góra, 34-100, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx9pU-2yGFkcRISdCS6ZS_Ro;49.8398219,19.4608845
Łysica;Pasmo Łysogórskie;;Łysica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuVLlh00fGEcRyv8tzEfcNCg;50.8916037,20.8967847
Włodzicka Góra;Obniżenie Noworudzkie;;57-451 Świerki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ72MzyVVFDkcRWskL3A61Spg;50.6256514,16.4337132
Chełm;Góry Grybowskie;;33-330 Grybów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiS2puifDPUcRdX-kFufBI6k;49.5964032,20.9975033
Giewont;;;Giewont, Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwZqM8D-NFUcR4RSGoe0skNE;49.25100219999999,19.9340351
Pilsko (Góra Pięciu Kopców);Grupa Pilska i Romanki;;Góra Pięciu Kopców, Korbielów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqRg-Xr4yFEcRhXzT_QE-oj4;49.5311554,19.3189216
Polica;Pamo Policy;;Polica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe0qufbvXFUcRQkYjHeAyboE;49.6236111,19.6194444
Bendoszka Wielka;Grupa Wielkiej Raczy;;Bendoszka Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu_Q__eI3FEcRl01dZVXpYh0;49.4291954,19.0431346
Wielka Rycerzowa;Grupa Wielkiej Raczy;;Wielka Racza, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOWOnnbxHFEcRiJ8cwUTxW1M;49.4132942,18.968879
Sumowa Grapa (Czumowa Grapa nad Milówką);;;34-360 Milówka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe_bah847FEcRlg_h2j8iMhA;49.565941,19.0798187
Lubań (zach.);Pasmo Lubania;;Lubań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwcKr5tMBPkcRinsox_LO68g;49.4884773,20.3412227
Tarnica;Pasmo Połonin;;Tarnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp1WfalTfO0cRR3-5o_6_RDQ;49.0745547,22.7262497
Halicz;;;Halicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSYtJ2ZnYO0cRD-OcjQzhBJE;49.07208070000001,22.7688968
Smerek;;;Smerek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4z_6Um3jO0cRaWwyNVGroDI;49.1855957,22.4784023
Mogielica;;;Mogielica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmQX5SUgEFkcRU5V5u0zSSZs;49.65523049999999,20.2768336
Lubogoszcz (wsch. wierzchołek);;;Lubogoszcz, Kasina Wielka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmRpXSssNFkcREvefQJJBPss;49.70982859999999,20.0865269
Miejska Góra;Pasmo Łososińskie;;34-600 Mordarka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5w0bZRwdFkcR37pQnou7Xn8;49.7190525,20.4518139
Paproć (Rysia Góra);;;Paproć, 34-650 Zamieście, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGfIHshMbFkcR1hjgu7XZksw;49.7333333,20.3500001
Czarna Góra (Litwińska Grapa);Pogórze Spiskie (Zamagurze);;34-405 Czarna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5YEkKbbwFUcRPn3LMtlwpJ4;49.3820744,20.1246391
Rabska Góra;;;34-700 Rdzawka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAxaXUU3gFUcRJOOgRYYeB4M;49.5754552,19.9475345
Jawornica;Beskid Andrychowski;;Jawornica, 34-120 Targanice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8WubBICEFkcRb9bKoRqDxSU;49.7982893,19.3464625
Hrobacza Łąka;Grupa Magurki Wilkowickiej;;Magurka Wilkowicka, Wilkowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFU1uj3GeFkcR5l4Qm3fiP_Q;49.7773324,19.1295576
Gancarz;;;Andrychów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjWJXZZ6GFkcRV5si6I5rKx4;49.810583,19.4225559
Krzyżowa;Pasmo Jaworzyny Krynickiej;;33-380 Krynica-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF_HC7OV3PkcRQaDZLBvk9HI;49.4182454,20.941715
Bryjarka;Pasmo Radziejowej;;Bryjarka, 34-460 Szczawnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_Qvr9X0GPkcRKz8Vax-_idQ;49.43166249999999,20.4811656
Krzyźna Góra;Góry Sokole;;Krzyżna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT5Uohe_jDkcRlKPoIJZSUhc;50.8641731,15.8682382
Góra Matyska;Kotlina Żywiecka;;Góra Matyska, 34-381 Radziechowy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn93ODLElFEcRpa1EBduAieA;49.6389753,19.1181342
Średni Grojec;Kotlina Żywiecka;;Grojec, Żywiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwR9BREwvFEcRA1Y15MT1AnI;49.6597222,19.1972221
Chełmiec;Masyw Chełmca;;Chełmiec, Szczawno-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ75Ou1z9WDkcRh4nYU3vLLws;50.77972219999999,16.2119445
Wołowiec;Góry Czarne;;Wołowiec, Wałbrzych, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwy2ZKO9QDkcRHOu8ga_OZRA;50.7339155,16.3058782
Kalwaria (Bardzka Góra);;;57-256 Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfUfpbjYjDkcR9NaFGkYiB50;50.4956533,16.7488212
Grzywacka Góra nad Kątami;Pasmo Dukielskie;;Grzywacka Góra, 38-230, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ14ikzQw0PEcR6o4pFG5TiBo;49.57373190000001,21.5315737
Kobyla Góra;Wzgórza Ostrzeszowskie;;Kobyla Góra, 63-507, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx1jhbhWnGkcRxttv4iPMsjI;51.34999999999999,17.8833333
Koczy Zamek;Brama Koniakowska;;Koniaków 1238, 43-474 Koniaków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp0QfLAA9FEcR1fO-ckDv_KY;49.5483139,18.9759391
Krzyżowa Góra;Wzgórza Strzegomskie;;Góra Krzyżowa, 58-150 Strzegom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcYlwdJmpD0cRQ3Y2rzB27ow;50.9735614,16.3363266
Ślęża;;;Ślęża, Sobótka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFxz-CoS1D0cRy5ylxTJ4cp4;50.86503260000001,16.708615
Krzyż pod Czarnym Stawem;;;Czarny Staw pod Rysami, 34-500, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa6O3RiCLFUcR3J95sMiULRk;49.1903361,20.073778
Brusznia;;;Białogońska, 25-001 Kielce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw8ICZvSHF0cRwDaGUxstRmI;50.86532769999999,20.5636248
Radostowa;Pasmo Łysogór;;Radostowa, 26-001, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQWKWz3EhGEcRt4X0ygC237E;50.8983333,20.8025001
Średnia Góra (Łysanka);;;Jana Kochanowskiego 11-9, 59-500 Wilków-Osiedle, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr8u5rSEZD0cR-qYkg4jY3rw;51.0753592,15.9589769
Grodziec;;;59-516 Grodziec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB1eN5ZY7D0cRdgNWeACenSI;51.1689126,15.7850059
Biskupia Kopa (Krzyż Pojednania 5 min. poniżej szczytu);;;Biskupia Kopa, 793 76 Zlaté Hory v Jeseníkách, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJiYBKksWTEUcRs9jxnL7nI9Y;50.2566847,17.4287677
Potaczkowa (Kotelnica);;;Kotelnica Potaczkowa, 34-730, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwTSds4MJFkcRcFCXYKMEVxE;49.6263888,20.0611111
Turbacz;;;Turbacz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpUJJstPiFUcR59YSbwXDXB0;49.5429179,20.1113448
Gorc (polana na południe od szczytu);Pasmo Gorca;;Unnamed Road, Ochotnica Górna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK9pCKmgHFkcRWNE9o_QZ_Ts;49.5633519,20.2561497
Wielka Racza;Grupa Wielkiej Raczy (Worek Raczański);;34-370 Rycerka Górna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAQAAAPA5FEcR_q8KjJcIaJE;49.4128309,18.9695491
