nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Łysa Góra (Święty Krzyż);Pasmo Łysogór;;Łysogóry, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyZ0OZtMeGEcRoS5OrfUWp8w;50.8833333,20.95
Szczytna;Wzgórza Kiełczyńskie;;Szczytna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1dqZPddKDkcRz8T75gMkatc;50.81992469999999,16.6320916
Baraniec;Grzbiet Południowy;;Janowice Wielkie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRepVgqIfD0cR8ejY_PB4iYY;50.94067399999999,15.8847055
Świnica;;;Świnice Warckie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgZz1IboIG0cRW1COWz6ds18;52.0400867,18.9325458
Starorobociański Wierch;;;Kościelisko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgWi7MimSFUcRwFeXkHzPzaI;49.2207956,19.8172021
Gówniak;Pasmo Babiogórskie;;Gówniak, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgZ2YJDzRFUcREwVBTiIqehs;49.57602079999999,19.545536
Halicz;Pasmo Połonin;;Halicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSYtJ2ZnYO0cRD-OcjQzhBJE;49.07208070000001,22.7688968
Ostry Wierch;;;Ostry Wierch, 38-313, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoVzC36nXPUcRGN6yBSzByco;49.4388888,21.1222222
Naroźnik;;;62-067 Narożniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh6g0Id7RBUcREsoc_EV6PhE;52.1593268,16.2316346
Chełmiec;Masyw Chełmca;;Chełmiec, Szczawno-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ75Ou1z9WDkcRh4nYU3vLLws;50.77972219999999,16.2119445
Jaworniki;Żuków;;Jaworniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ691pee_rO0cRzKDayr2m-Pg;49.3402778,22.7133333
Jaworzyna Kamienicka;;;Jaworzyna Kamienicka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ44OEEGv9FUcRkC474K64w6U;49.5497758,20.158567
Złomisty Wierch (południowy);Pasmo Radziejowej;;34-460 Jaworki II, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhyyzoy0JPkcR9-4gVmlh1vQ;49.46026670000001,20.5776911
Śnieżne Kotły (taras widokowy, Czarcia Ambona);Śląski Grzbiet;;Sudecka 23, 58-573 Piechowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf1ij12LDDkcRS8qacf9b47I;50.7789212,15.5573848
Mały Śnieżnik;;;Mały Śnieżnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJbwfrhwb-EUcRIAZ_MJ7kwqA;50.1930555,16.8166666
Barania Góra;Pasmo Baraniej Góry;;;NOT_FOUND;
Ćwilin;;;Ćwilin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJd1LBSwoPFkcRq6tjVJq9KEY;49.6885384,20.1907039
Smrek (PL);;;;NOT_FOUND;
Rudawiec;;;Rudawiec, 788 32 Staré Město pod Sněžníkem, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJ1ztS2mn7EUcRDMccwAr7SIU;50.244056,16.975889
Zielony Garb;;;Orle Wielkie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQblviGtzDkcRDHaFUxx4FmA;50.3450594,16.3693101
Trzy Korony (Okrąglica);Pieniny Właściwe;;34-443 Sromowce Niżne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfab4gHQEPkcRHvZgVRuuwlE;49.4138951,20.4139188
Mała Sowa;;;Mała Sowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ20uUa1hPDkcRudm4En3CtBY;50.6824916,16.4650002
Czartowiec;;;Czartowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ73psryS9JEcR_WweA1D2A0E;50.5706755,23.6512077
Czerniec;;;Czerniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc3JRLRBwD0cRoXxiDcOEi0U;51.3800763,16.297922
Ostra Mała;;;Ostra Mała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9c1_1eLkDkcRcieY5WZefSQ;50.8078738,15.8942771
Suchawa;Góry Suche;;Suchawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJR8GseUdaDkcR3X2qkh-LZQY;50.6808719,16.2663746
Łamana Skała;;;Łamana Skała, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuaqOvmaBFkcRJfZfPLtujdU;49.7638888,19.3958333
Srebrna Kopa;;;793 84 Janov u Krnova, Czechy;https://www.google.com/maps/place/?q=place_id:ChIJoyzSKt6TEUcRMeG1GAliN7w;50.25639779999999,17.4545139
Ostra Góra;;;16-140 Ostra Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxcQcrJsQ4EYRJkERnHRAM1g;53.401977,23.1642801
Łysina;Pasmo Lubomira i Łysiny;;Węglówka 400, 32-412, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJ6ZSfAATFkcRHDSTwoZBwTg;49.7759041,20.0483336
