nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Kamień Pomorski;;;Kamień Pomorski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzWmPORqEqkcRT4kGQ3MkIM0;53.9667104,14.7708431
Chojna;;;Chojna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs3wOlMVYB0cRDuKMOVv5meA;52.96400999999999,14.42781
Cedynia;;;Cedynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXQrOQfrdqUcRmYqgF8zprjY;52.87925,14.20222
Moryń;;;Moryń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ08lY-2RgB0cRbi-Vs-vNynE;52.85767999999999,14.39293
Trzcińsko-Zdrój;;;Trzcińsko-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJizZ_RuBaB0cRoEuiCEZa7vQ;52.96446,14.60461
Ośno Lubuskie;;;Ośno Lubuskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTMN6f0HB0cRUQ2amNqb9pw;52.4530993,14.8755999
Złotów;;;Złotów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1eTo3QjFA0cRszLyYrYsGPk;53.36381,17.04046
Pieniężno;;;Pieniężno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgSeDfgLq4kYR3JadF2zLqO0;54.236292,20.1285899
Reszel;;;Reszel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY2CxHlQ_4kYRZQJzZBPmAxE;54.0498,21.1458001
Tykocin;;;16-080 Tykocin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXWbMouTdH0cRTTfhGPchIkc;53.2062669,22.7740605
Drohiczyn;;;Drohiczyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlwh6uK9iH0cRPR9psznvsK8;52.4003253,22.6585778
Żnin;;;88-400 Żnin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJixSLfqtkA0cRLxhKXT6Rv4w;52.84938469999999,17.719477
Kruszwica;;;88-150 Kruszwica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD9a19ZBVA0cR2E-_l7eyzJw;52.67429,18.33159
Węgrów;;;Węgrów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi8tL9v8UH0cR0iLomjzeJs4;52.3991566,22.0164266
Czerwińsk nad Wisłą;;;Czerwińsk nad Wisłą, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ73HrL0MBHEcRC3RcogRtds0;52.39787949999999,20.3094785
Warka;;;Warka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7eJ3QzXnGEcRYnr5WR20O5Q;51.78400190000001,21.1909879
Góra Kalwaria;;;05-530 Góra Kalwaria, Polska;https://www.google.com/maps/place/?q=place_id:ChIJifyeQfDXGEcR08Kb-7qSSjU;51.97646599999999,21.215337
Wyśmierzyce;;;Wyśmierzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJCb-UlMEDGUcRRtBYJr4BnYY;51.6248663,20.8139759
Kazimierz Dolny;;;Kazimierz Dolny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTemGEId9IkcRqj6G9QUTpJo;51.3180409,21.9542482
Szydłowiec;;;Szydłowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTyYIio1IGEcRnbk95QL4oOE;51.2279908,20.8611466
Chęciny;;;Chęciny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSSIAT4OGF0cRgrAGynPVtCc;50.8050467,20.4762284
Pińczów;;;Pińczów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6ekoSYCVF0cRIu4Z04HBzCc;50.52034,20.5264571
Opatów;;;27-500 Opatów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlWmtuXapIkcRkmxNNppgVOM;50.8018537,21.427194
Szydłów;;;Szydłów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjx6Cb-rkF0cR4YEEaVpczRs;50.591103,21.0073408
Zwierzyniec;;;22-470 Zwierzyniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKyDVR9RFI0cRmX-xuN26Jos;50.61404,22.97512
