nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Westerplatte i Muzeum Poczty Polskiej w Gdańsku;;;plac Obrońców Poczty Polskiej 1/2, 80-800 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb5hztXRz_UYRpCL1_MhtIr8;54.3550632,18.6566634
Muzeum Stutthof w Sztutowie;;;Muzealna 6, 82-110 Sztutowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsecNBJ5z_UYREwo65_VYW6Y;54.32822359999999,19.1539887
Lasy piaśnickie koło Wejherowa;;;Wejherowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ06pbu663_UYR7anU_i5SxcM;54.67662319999999,18.1745533
Miejsce pamięci w Mniszku koło Świecia;;;87-702 Koneck, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlT0xcv2xHEcRctJE1ZyaJ3I;52.7846057,18.7148647
Dolina Śmierci w Bydgoszczy;;;Dolina Śmierci, Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJseG2TV8WA0cRvDvQGiqC4RI;53.1581043,18.1378544
Muzeum Martyrologii Ofiar Obozu Sonnenburg w Słońsku;;;3 Lutego 54, 66-436 Słońsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrykjmiEAB0cRidZX7B0Wegk;52.5641118,14.8116759
Muzeum Martyrologii Wielkopolan – Fort VII w Poznaniu;;;Polska, 61-001 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_SU1Pe1EBEcRkaA0fS5EMAQ;52.41687899999999,16.8687904
Muzeum Martyrologiczne w Żabikowie;;;Niezłomnych 2, 62-030 Luboń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBe3sDVZFBEcR_ENLbbDkWDk;52.3536386,16.8657274
Muzeum byłego obozu zagłady w Chełmnie nad Nerem;;;Chełmno 59A, 62-660 Chełmno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUfUUrRoRG0cRPGR_ijQs4ic;52.1137464,18.7496215
Miejsce pogromu Żydów w Jedwabnem;;;Krasickiego 3, 18-420 Jedwabne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9ZTXKF7TH0cRM6jswPE_A2k;53.288735,22.3095958
Cmentarz i Muzeum – Miejsce Pamięci w Palmirach koło Warszawy;;;Palmiry, 05-152 Czosnów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5y4KrF-xHkcRtweuXCT9B2Y;52.33374550000001,20.7444512
Grób Nieznanego Żołnierza w Warszawie;;;plac Marszałka Józefa Piłsudskiego 1-3, 00-078 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu_KNI2HMHkcRV73k56s6qh4;52.2409499,21.0112962
Cmentarz Powązkowski i Cmentarz Wojskowy w Warszawie;;;Powązkowska 43/45, 01-797 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0XNtRaPLHkcRXqSfvLf4ezk;52.2585454,20.9535878
Mauzoleum Walki i Męczeństwa w Warszawie;;;aleja Jana Chrystiana Szucha 25, 00-580 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1f6IsObMHkcRtiXBYDRRPuA;52.2174725,21.0235452
Muzeum Więzienia Pawiak w Warszawie;;;Dzielna 24/26, 00-162 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ71cc237MHkcRBfxAPIwreqo;52.2461995,20.9908945
Muzeum X Pawilonu Cytadeli Warszawskiej w Warszawie;;;Skazańców 25, 01-532 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyQu45PXLHkcRm2aoACCZAiw;52.26678,21.0004826
Muzeum Katyńskie w Warszawie;;;Jana Jeziorańskiego 4, 01-521 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuxjRSqsyGUcRahB448j3Xko;52.2613768,21.0040241
Miejsca pamięci bohaterów getta w Warszawie;;;Ludwika Zamenhofa, 00-153 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgf0yWcTemkcRRwyip4N5RXw;52.2497577,20.9942259
Miejsca pamięci powstania warszawskiego w Warszawie;;;plac Krasińskich, 00-263 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJR4WJUGXMHkcR_qFXPuIUv8s;52.24938599999999,21.0059007
Muzeum Walki i Męczeństwa w Treblince;;;Wólka Okrąglik 115, 08-330, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ53ddPTQPH0cR558vwCKcyeQ;52.63499299999999,22.053881
Oddział Martyrologii Radogoszcz w Łodzi;;;Zgierska 147, 91-490 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJecBD2IfKG0cRUuRCaJ_AM9M;51.809613,19.4386661
Pomnik Martyrologii Dzieci „Pęknięte Serce” w Łodzi;;;Bracka 2, 91-763 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJR9HWqePKG0cRvGhn5ohy_p8;51.7924704,19.4717876
Mauzoleum Martyrologii Wsi Polskich w Michniowie;;;Michniów 38, 26-130 Michniów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJg-AJ-6Q8GEcR5ZjjCgELg4s;51.0050681,20.8479828
