nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Bardo Śląskie - Kościół Nawiedzenia NMP,;;;plac Wolności 5, 57-256 Bardo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_-DDNiw9DkcR5xD65hiEJhg;50.5057899,16.7405981
Cieplice Śląskie Zdrój - Zespół Klasztorny cystersów z kościołem św. Jana Chrzciciela,;;;Cieplicka 9, 58-560 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh2jOs8_dDkcRIMsQSpIAnMk;50.8655131,15.6787688
Grodowiec - Kościół św. Jana Chrzciciela,;;;Grodowiec 24, 59-150 Grodowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7YWf8FlgD0cRpIfPOV5-ZbI;51.5438142,16.1716531
Henryków - Klasztor i Kościół Wniebowzięcia NMP,;;;plac Cystersów 1, 57-210 Henryków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsXJAYAUpDkcRJINnu-NfjTE;50.6531381,17.0137935
Jelenia Góra - Kościół św. Krzyża,;;;1 Maja 45, 58-508 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJXT_MCBFX4kYR2OkBGkT5XUM;50.90415640000001,15.7442289
Krzeszów - Kościół Wniebowzięcia NMP,;;;Jana Pawła II 1, 58-405 Krzeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm1QV4xfFPEcR6iMZxJjdOKM;50.7328397,16.0686557
Legnickie Pole - Dawny zespół klasztorny benedyktynów z kościołem św. Jadwigi,;;;Świętej Jadwigi 1, 59-241 Legnickie Pole, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ4PkZxwMD0cRQtdhYFwit_4;51.1452436,16.2426904
Strzegom - Kościół pojoannicki śś. Piotra i Pawła,;;;Jana Pawła II 8, 58-150 Strzegom, Polska;https://www.google.com/maps/place/?q=place_id:ChIJD1PKcXypD0cR7fvJGG4keOw;50.9592117,16.3494542
Trzebnica - Bazylika św. Jadwigi Śląskiej,;;;skwer Jana Pawła II 3, 55-100 Trzebnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS5-0PlryD0cRuE0jcYxO3DU;51.3094177,17.0666743
Twardogóra - Kościół Matki Bożej Wspomożenia Wiernych,;;;plac Piastów 1, 56-416 Twardogóra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJX5bm4Qv_D0cRo630wEXao14;51.36466919999999,17.4687549
Wambierzyce - Bazylika Nawiedzenia NMP,;;;Plac Najświętszej Marii Panny 11, 57-420 Wambierzyce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtwlmheVqDkcRVxDPezhmEpc;50.4901987,16.4548798
Wrocław - Katedra św. Jana Chrzciciela,;;;Plac Katedralny 18, 50-329 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOYQ7UNfpD0cRdtMQIfwwU94;51.1142099,17.0465169
Złotoryja - Kościół Mariacki Narodzenia NMP.;;;plac Niepodległości 8, 59-500 Złotoryja, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_wWAAb4XD0cRqpbp4xDOuBE;51.1230366,15.9147075
Bydgoszcz - Kościół farny śś. Marcina i Mikołaja,;;;Farna 2, 85-101 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0YLzkLsTA0cR42zgrKgfr5Q;53.1228851,17.9991255
Byszewo - Kościół Przenajświętszej Trójcy,;;;DW243 19, 86-017 Byszewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1eQflrQHA0cRzwPr5-m3HXw;53.2963173,17.8181063
Chełmno - Kościół Wniebowstąpienia NMP,;;;Franciszkańska 8, 86-200 Chełmno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa7_SVYMgA0cRNIai0K3Vz_o;53.3479708,18.4215542
Obory - Kościół Narodzenia Najświętszej Marii Panny,;;;Obory 38, 87-645 Obory, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDWTuIePpHEcRLmLzS-bMDJg;53.0016067,19.2131927
Pieranie - Kościół św. Mikołaja,;;;Pieranie 36/1, 88-133 Pieranie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2QG4jzRTA0cRWYW_2vlVcsE;52.750239,18.4656616
Rywałd - Kościół św. Sebastiana i Narodzenia NMP,;;;Królewski 48, 87-220 Rywałd, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNVIwtzEsHUcRqyu7VIAA67I;53.3783119,19.0299073
Strzelno - Rotunda św. Prokopa i kościół św. Trójcy,;;;plac św. Wojciecha 1, 88-320 Strzelno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIUPky_2oBEcREsh0k_NALNw;52.6302236,18.17958
Toruń - Kościół św. Józefa.;;;Świętego Józefa 23/35, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJNQbRMFc0A0cRPPseJCNvxEU;53.0245165,18.5835625
Kodeń - Kościół św. Anny,;;;Rynek, 21-509 Kodeń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKdQZ5w5xIUcRfRX6DiZJYjA;51.913849,23.6076823
Wola Gułowska - Klasztor karmelitów i kościół Nawiedzenia NMP,;;;Wola Gułowska 56, 21-481 Wola Gułowska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWelt-FYJIkcRRJraQJ13EcQ;51.70124449999999,22.2087336
Zamość - Katedra Zmartwychwstania Pańskiego i św. Tomasza.;;;Kolegiacka 1A, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfefZcaNnI0cRUjXP0DnEcNY;50.71649370000001,23.2503013
Gościkowo - Kościół Wniebowzięcia NMP i św. Marcina,;;;66-203 Gościkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhYuwSqRfBkcRG-ROKbrgG4A;52.3372442,15.5443107
Klępsk - Kościół Nawiedzenia NMP,;;;66-111 Klępsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3QBfDc5xBkcRd5TCj7WFyrc;52.1157569,15.7177455
Międzyrzecz - Kościół św. Jana Chrzciciela,;;;Garncarska, 66-300 Międzyrzecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIWNwf4H0BkcRPzrebZPLFbk;52.4433176,15.5777872
Otyń - Kościół Podwyższenia Krzyża Świętego,;;;Moniuszki 4, 67-106 Otyń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJymUve4IBkcR29cvjqg_jgg;51.8478539,15.7110628
Rokitno - Kościół NMP Królowej Polski,;;;Rokitno 37, 66-340 Rokitno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDYqYAAvtBkcR3efovyvI6os;52.549092,15.642032
