nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Górski Ogród Botaniczny im. Mariana Raciborskiego w Zakopanem Instytut Ochrony Przyrody PAN, ul. Juliusza Zborowskiego 1, 34-500 Zakopane (część dydaktyczna), Antałówka 7, 34-500 Zakopane (część naukowa), woj. małopolskie, pow. tatrzański.;;;Krupówki 10, 34-500 Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw3xw85DyFUcRjJjaLpL6gYA;49.2949594,19.9498939
Ogród Botaniczny Roślin Leczniczych przy Muzeum Rolnictwa im. ks. Krzysztofa Kluka w Ciechanowcu, ul. Pałacowa 5, 18-230 Ciechanowiec, woj. podlaskie, pow. wysokomazowiecki.;;;Pałacowa 5, 18-230 Ciechanowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV7h6dCecH0cRIlKf7olF7K4;52.68351209999999,22.4870081
Ogród Botaniczny Instytutu Hodowli i Aklimatyzacji Roślin w Bydgoszczy, ul. Jeździecka 5, 85-687 Bydgoszcz, woj. kujawsko-pomorskie.;;;Jeździecka 5, 85-687 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRa-XlD0RA0cRkqXzzcDupZg;53.17410750000001,18.0470049
Ogród Botaniczny w Leśnym Parku Kultury i Wypoczynku „Myślęcinek” w Bydgoszczy (jedyna w Polsce ścieżka dydaktyczna dla niewidomych), ul. Konna, 85-867 Bydgoszcz, woj. kujawsko-pomorskie, pow. bydgoski, gm. Osielsko.;;;86-031 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx-KenxURA0cRLK67-w1GLJc;53.1736765,18.0471335
Ogród Botaniczny Uniwersytetu Kazimierza Wielkiego w Bydgoszczy, ul. Juliana Ursyna Niemcewicza 2, 85-064 Bydgoszcz, woj. kujawsko-pomorskie.;;;85-064 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw-RoElETA0cR7EXSdSmK8io;53.131071,18.0170198
Ogród Botaniczny w Parku im. Adama Mickiewicza w Gdańsku Oliwie, woj. pomorskie.;;;Opata Jacka Rybińskiego, 80-320 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcX9LNssK_UYRQ_j1ulW4AQc;54.4112209,18.5620805
Ogród Roślin Leczniczych Akademii Medycznej w Gdańsku, al. Gen. Józefa Hallera 107, 80-416 Gdańsk, woj. pomorskie.;;;Aleja Generała Józefa Hallera 107, 80-416 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn0ksKqN0_UYRzrS7EqSHCRo;54.38290019999999,18.6225122
Gołubieński Ogród Botaniczny na obszarze Kaszubskiego Parku Krajobrazowego w Gołubiu, ul. Botaniczna 21, 83-316 Gołubie, woj. pomorskie, pow. kartuski, gm. Stężyca.;;;Botaniczna 21, 83-316 Gołubie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJM6uvEc2I_UYRpm132AI1waU;54.2180556,18.0505555
Ogród Botaniczny Uniwersytetu Jagiellońskiego w Krakowie, ul. Mikołaja Kopernika 27, 31-501 Kraków, woj. małopolskie.;;;Mikołaja Kopernika 27, 31-501 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyx3P-BdbFkcRhucFB_6DMvA;50.0635791,19.9555183
Ogród Botaniczny im. Jakuba Mowszowicza w Łodzi wraz z Palmiarnią (Łódź Polesie), ul. Krzemieniecka 36/38, 94-303 Łódź, woj. łódzkie.;;;Krzemieniecka 36/38, 94-303 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_Q1kpkU1GkcRMzy5yb8oZjc;51.7604585,19.4075623
