nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Ogród Zoobotaniczny w Toruniu, ul. Bydgoska 7 (woj. kujawsko-pomorskie) – założony w 1797 r. (najstarszy w Polsce).;;;Bydgoska 7, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN2t9lgM1A0cRLj4Sm7U74dw;53.0095132,18.5905718
Miejski Ogród Zoologiczny we Wrocławiu, ul. Zygmunta Wróblewskiego 1-5 (woj. dolnośląskie) – założony w 1865 r.;;;Zygmunta Wróblewskiego 1-5, 51-618 Wrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT86vfifoD0cRLbauTNu0ARo;51.1056497,17.0762461
Ogród Zoologiczny w Poznaniu (woj. wielkopolskie):;;;Krańcowa 81, 61-048 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWT4ro5lbBEcRHGhVBm499wI;52.40046290000001,16.9945012
Stare ZOO, ul. Zwierzyniecka 19 – założone w 1874 r.;;;Zwierzyniecka 19, 60-814 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHQEFyTRbBEcRCgrH98TjaRQ;52.4084721,16.9057746
Nowe ZOO, ul. Krańcowa 81 – założone w 1974 r.;;;Krańcowa 81, 61-048 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWT4ro5lbBEcRHGhVBm499wI;52.40046290000001,16.9945012
Ogród Zoologiczny im. Stefana Milera w Zamościu, ul. Szczebrzeska 12 (woj. lubelskie) – założony w 1919 r.;;;Szczebrzeska 12, 22-400 Zamość, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPW_b5L1nI0cR2QScQ9fdoT4;50.7152089,23.2390811
Miejski Ogród Zoologiczny w Warszawie, ul. Ratuszowa 1/3 (woj. mazowieckie) – założony w 1926 r.;;;Ratuszowa 1/3, 03-461 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHUmpu2zMHkcRna4vwLrUdhk;52.2581092,21.0215756
Ogród Zoologiczny w Krakowie, ul. Kasy Oszczędności Miasta Krakowa 14 (woj. małopolskie) – założony w 1929 r.;;;aleja Kasy Oszczędności Miasta Krakowa 14, 30-232 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvZqg4v1bFkcRbEH9q5nupvM;50.05348420000001,19.8502798
Ogród Zoologiczny w Opolu, Wyspa Bolko, ul. Spacerowa 10 (woj. opolskie) – założony w 1930 r.;;;Spacerowa 10, 45-094 Opole, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhbPkGhdTEEcReOqd_50dQ4M;50.6557744,17.9231604
Miejski Ogród Zoologiczny w Łodzi, ul. Konstantynowska 8/10 (woj. łódzkie) – założony w 1938 r.;;;Konstantynowska 8/10, 94-303 Łódź, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYdYyOE81GkcRXjUNTKBuPfE;51.7637355,19.4123592
Miejski Ogród Zoologiczny w Płocku, ul. Norbertańska 2 (woj. mazowieckie) – założony w 1951 r.;;;Norbertańska 2, 09-402 Płock, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa3V1Kb1wHEcRacIwjbGVB-8;52.5364365,19.7005906
Miejski Ogród Zoologiczny „Wybrzeża” w Gdańsku-Oliwie, ul. Karwieńska 3 (woj. pomorskie) – założony w 1954 r. (największy w Polsce).;;;Karwieńska 3, 80-328 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8VEbzFJ1_UYRbvn4cPeWtKQ;54.4129559,18.534556
Śląski Ogród Zoologiczny w Chorzowie na terenie Parku Śląskiego [d. Wojewódzki Park Kultury i Wypoczynku im. gen. Jerzego Ziętka], ul. Promenada gen. Jerzego Ziętka 7 (woj. śląskie) – założony w 1954 r.;;;promenada Generała Jerzego Ziętka 7, 41-501 Chorzów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-6DKx3DSFkcRFhC7d4D3SRk;50.2803517,18.9911871
Ogród Zoologiczno-Botaniczny w Braniewie, ul. Botaniczna 1 (woj. warmińsko-mazurskie) – założony w 1959 r.;;;Botaniczna 1, 14-500 Braniewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEdy1ER_O4kYRh6jzldJAwDI;54.38107189999999,19.8259612
Akcent ZOO w Białymstoku, Park Konstytucji 3 Maja (woj. podlaskie) – założony w 1963 r.;;;Podleśna 4, 15-227 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxSnJWar-H0cRQG9-dc3KnH4;53.1207572,23.165792
Akwarium w Gdyni, al. Jana Pawła II 1 (woj. pomorskie) – założone w 1971 r.;;;al. Jana Pawła II 1, 81-345 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZY6HlTin_UYRI-F_iwmj6Lk;54.5184362,18.5578212
Ogród Zoologiczny w Nowym Tomyślu, ul. Topolowa 11 (woj. wielkopolskie) – założony w 1974 r.;;;Topolowa 11, 64-300 Nowy Tomyśl, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ1PxBRsrBEcRIwKHMtnI2SU;52.3113323,16.1395706
Fokarium Stacji Morskiej Instytutu Oceanografii Uniwersytetu Gdańskiego w Helu, ul. Morska 2 (pow. pucki, woj. pomorskie) – założone w 1977 r.;;;Stacja Morska im. prof. Krzysztofa Skóry Uniwersytetu Gdańskiego, Morska 2, 84-150 Hel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ38KlFoIG_UYRkoOwAtb-GAA;54.60720620000001,18.7998746
Ogród zoologiczny w Lesznie w Parku Tysiąclecia, ul 17 Stycznia (woj. wielkopolskie) – założony w 1977 r.;;;17 Stycznia 72, 64-100 Leszno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb4dsRkmYBUcRYwLlY760cpk;51.8302577,16.591514
Ogród Zoologiczny w Bydgoszczy [d. Ogród Fauny Polskiej] w Leśnym Parku Kultury I Wypoczynku „Myślęcinek”, ul. Gdańska 173-175 (woj. kujawsko-pomorskie) – założony w 1978 r.;;;Gdańska 173, 85-674 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOZ5JQ0IRA0cRKnHqmpnj8UI;53.1625108,18.0346185
ZOO Safari w Świerkocinie k/Gorzowa Wielkopolskiego, Świerkocin 7a (gm. Witnica, pow. gorzowski, woj. lubuskie) – założone w 1996 r.;;;świerkocin, 66-460 Świerkocin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq702EIgaB0cRbTcNLvSXJw4;52.6518524,15.0018937
Leśny Park Niespodzianek w Ustroniu, w Beskidzie Śląskim, ul. Zdrojowa 16 (pow. cieszyński, woj. śląskie) – założony w 2002 r.;;;Zdrojowa 16, 43-450 Ustroń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmb91UwgcFEcRW2ETb3MxB0U;49.7197228,18.8297922
Park Dzikich Zwierząt Kadzidłowo im. prof. Benedykta Dybowskiego w Puszy Piskiej, na terenie Mazurskiego Parku Krajobrazowego (gm. Ruciane-Nida, pow. piski, woj. warmińsko-mazurskie) – założony w 2004 r.;;;Kadzidłowo 2, 12-220 Kadzidłowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5akYahj44UYRr60YdpR5xuA;53.71315,21.4871651
