nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Babiogórski Park Narodowy;;;34-223 Zawoja, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG6tOTtnVFUcRtYEocLr5u28;49.5937423,19.531196
Białowieski Park Narodowy;;;Park Pałacowy 11, 17-230 Białowieża, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8bbG0-RnIEcRKACHx8yl5pA;52.703323,23.8468534
Biebrzański Park Narodowy;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJBdN36a864EYReKghYu-PihI;53.4957878,22.752013
Bieszczadzki Park Narodowy;;;38-713 Ustrzyki Górne, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0ceCOmjZO0cRw5IeuvGImnI;49.1411769,22.5904351
Park Narodowy „Bory Tucholskie”;;;Długa 33, 89-606 Charzykowy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ09km5GVHAkcRuKb8_AjN4dI;53.81516999999999,17.5648264
Drawieński Park Narodowy;;;Leśników 2, 73-220 Drawno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFZarctkoAUcRzVRnfaKEHVM;53.2135814,15.7420523
Gorczański Park Narodowy;;;Poręba Wielka 590, 34-735, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6c6pIlv9FUcR3_9GZT_-zag;49.5503544,20.1509328
Park Narodowy Gór Stołowych;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJASAtu8FrDkcRdVXOSjTP_08;50.46012380000001,16.3958558
Kampinoski Park Narodowy;;;Kazimierza Tetmajera 38, 05-080 Izabelin C, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMyuYzsy1HkcR8Kv3GQV6pu0;52.3200087,20.6440552
Karkonoski Park Narodowy;;;Cieplicka 196, 58-570 Jelenia Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8Z9XyD_vDkcRINJfNF0fMNQ;50.84644720000001,15.6397152
Magurski Park Narodowy;;;38-232 Krempna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaxIXS2kyPEcRqp8aGV4zUq4;49.5092526,21.4698347
Narwiański Park Narodowy;;;Kurowo 10, 18-204, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqQgH07YkFkcRPX_68ySFfB4;53.0727652,22.8686148
Ojcowski Park Narodowy;;;Ojców 9, 32-045 Sułoszowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjxdFEPlVFkcR8eeKXAhqE80;50.2070516,19.8178762
Pieniński Park Narodowy;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJJR1vhbwDPkcRxxItTtqLdrs;49.41919919999999,20.3863415
Poleski Park Narodowy;;;DW819 36, 21-230, Polska;https://www.google.com/maps/place/?q=place_id:ChIJef4CqHPJI0cRXCOYe44c8_0;51.4313866,23.1187638
Roztoczański Park Narodowy;;;Plażowa 2, Zwierzyniec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGX613NlFI0cRX1YKb_defx0;50.6001398,22.9628607
Słowiński Park Narodowy;;;Bohaterów Warszawy 1A, 76-214 Smołdzino, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHZjbb-5x_kYR3JElcbIQMvg;54.7001729,17.3169313
Świętokrzyski Park Narodowy;;;Suchedniowska 4, 26-010 Bodzentyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr8u6PzUcGEcR7wULmkjHfY8;50.896028,20.914549
Tatrzański Park Narodowy;;;Kuźnice 1, 34-500 Zakopane, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ3iO46eiFUcRS0xKhN41vCg;49.2712397,19.982052
Park Narodowy „Ujście Warty”;;;Chyrzyno 1, 69-113 Chyrzyno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJoffO664NB0cR8rfgDtyfz58;52.5689319,14.651084
Wielkopolski Park Narodowy;;;62-050 Jeziory, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPcoX_8FRBEcRg_Tl0Hbe1uY;52.2687064,16.7972774
Wigierski Park Narodowy;;;Krzywe 82, 16-402, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF-TS91b54EYRblYGEHUefw8;54.0842819,23.0098343
Woliński Park Narodowy;;;Grodno 1, 72-500 Międzyzdroje, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHy5uZCuKqkcRKFiif2FHuhI;53.9109752,14.4678067
