nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
​Muzeum Regionalne im. Andrzeja Kaubego w Wolinie;;;Zamkowa 24, 72-510 Wolin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa8_K4tZ8qkcRO36wDNeG4F0;53.844739,14.6170969
Muzeum Oręża Polskiego w Kołobrzegu;;;ppor. E. Gierczak 5, 78-100 Kołobrzeg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3SgcaZsVAEcRNEEfVBExYsg;54.1745434,15.5747758
Muzeum Narodowe w Szczecinie;;;Wały Chrobrego 3, 70-500 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfc_ZaQwJqkcRl6hS4jR9FL0;53.43007,14.564905
Muzeum w Stargardzie;;;Park Piastowski 1, 73-110 Stargard, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm6DVVLO5AEcRDWzALtZyeNU;53.3347565,15.0429625
Muzeum Rybołówstwa w Helu;;;Bulwar Nadmorski 2, 84-150 Hel, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYfUYi4IG_UYRckz1KZqSDeQ;54.6051849,18.8019758
Statek muzeum Dar Pomorza w Gdyni;;;al. Jana Pawła II 1, 81-345 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqZQsITmn_UYRFVS8-t7m9oM;54.5193251,18.552593
Statek muzeum Błyskawica w Gdyni;;;al. Jana Pawła II 1, 81-345 Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJOTJWIDmn_UYR9Wbf7PDb6ZY;54.5195935,18.5502941
Centralne Muzeum Morskie w Gdańsku;;;Ołowianka 9-13, 80-751 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgXgNfApz_UYR0qOqxbwK0I4;54.35089900000001,18.659019
Statek muzeum Sołdek w Gdańsku;;;Ołowianka 9-13, 80-751 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgXgNfApz_UYRho2AidB2dh4;54.3514361,18.6586447
Muzeum Wisły w Tczewie;;;30 Stycznia 4, 83-110 Tczew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlaHQBNxg_UYRQfQEL8O0OLk;54.0847971,18.7935798
Muzeum Narodowe w Gdańsku;;;Toruńska 1, 80-822 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWyrKlphz_UYRGW2KxF0nXpQ;54.3454255,18.6468929
Muzeum Bursztynu w Gdańsku;;;Wielkie Młyny 16, 80-849 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjVSrXp5z_UYRZjBYZZ9nbe0;54.3539843,18.6499734
Muzeum Mikołaja Kopernika we Fromborku;;;Katedralna 8, 14-530 Frombork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK-KTs-TM4kYRz8eXEhVymao;54.356856,19.6832085
Muzeum Kaszubskie im. Franciszka Tredera w Kartuzach;;;Kościerska 1, 83-300 Kartuzy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJ5RUKIqa_UYRUcuHLDltFfo;54.32938499999999,18.204205
Muzeum- Zamek Górków w Szamotułach;;;Wroniecka 30, 64-500 Szamotuły, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuSpoQAAXBEcRUdA0uclQBDc;52.6151762,16.5774605
Muzeum Sztuki Dalekiego Wschodu w Toruniu;;;Rynek Staromiejski 35, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUzB5u2k1A0cR8FzAJJa23MQ;53.010654,18.6051583
Muzeum Podróżników im. Tony’ego Halika w Toruniu;;;Franciszkańska 9/11, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6c3mex01A0cRV8Ght-3qrqQ;53.0115482,18.603063
Muzeum Narodowe Rolnictwa i Przemysłu Rolno - Spożywczego w Szreniawie;;;Dworcowa 5, 62-052 Szreniawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA3a2i6JPBEcRuC7EVExGDog;52.3165035,16.7977973
Muzeum - Pracownia Literacka Arkadego Fiedlera w Puszczykowie;;;Juliusza Słowackiego 1, 62-041 Puszczykowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV86AAo5RBEcR-dEKjbGhmS0;52.2754074,16.8674483
Muzeum Narodowe w Poznaniu;;;Aleje Karola Marcinkowskiego 9, 61-745 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0w69fzhbBEcRw9IlWy1CKd8;52.4090067,16.9296664
Muzeum Instrumentów Muzycznych w Poznaniu;;;Stary Rynek 45, 61-772 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJevhVz9bBEcRHznZRG8onbQ;52.4080227,16.9347077
Muzeum Sztuk Użytkowych w Poznaniu;;;Góra Przemysła 1, 61-768 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJw_7yekdbBEcRiKGhIuzF9PY;52.4091873,16.9311614
Muzeum Archeologiczne w Poznaniu;;;Wodna 27, 61-781 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO3MkWz9bBEcRWe4wtWCFIlM;52.4073889,16.9347225
Muzeum Etnograficzne w Poznaniu;;;wejście od. ul. Mostowej 7, Grobla 25, 61-854 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk0RLYRVbBEcR-PoCq9qkXaM;52.4055936,16.9407494
Muzeum Bambrów Poznańskich;;;Mostowa 7/9, 61-854 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB5bGfRVbBEcR5h3OaKaLDMc;52.4049182,16.9400035
