nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Barcinek;;;58-512 Barcinek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEVd-jvvYDkcRyP_sdTVgp_A;50.9345863,15.594656
Bożnowice;;;Bożnowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb4L7phbWEUcR1DKQFucDOdk;50.6544663,17.1104135
Buszkowice;;;37-710 Buszkowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJva1t08l-O0cRmv5mERlwCrQ;49.8035056,22.8054323
Chocianowiec;;;59-140 Chocianowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiagYSKRDD0cRInsAMw6Xto8;51.3905282,15.9491122
Dobroszów;;;Dobroszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_frUaSYVD0cRBSeVWGzkgG8;51.24797400000001,16.0061554
Duchowo;;;56-300 Duchowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ5GVL8tbBUcRm8ROyR_zS04;51.51853089999999,17.3173222
Gogołów;;;Gogołów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwUp0f3KuPUcRG7Rskya-tuc;49.8521601,21.5068832
Gostków;;;Gostków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGZkXxpX-DkcRC2I9GO0oirU;50.84122139999999,16.1076669
Jerzmanowice;;;Jerzmanowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS341bxP5FkcRCa1nrWuP4K0;50.2118918,19.7463992
Komorów;;;Komorów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJ3eDvdk1GUcRhdox1d1owoc;52.140014,20.8220812
Krzelków;;;Krzelków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyYCIv_IoDkcRqsS6dr5eoBU;50.6260874,16.9934505
Kudowa-Zdrój;;;Kudowa-Zdrój, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ15WdBS9vDkcRbIn_hk-Zrv0;50.4427156,16.2426605
Lubiąż;;;Lubiąż, Polska;https://www.google.com/maps/place/?q=place_id:ChIJz4I59vt1D0cRBTICR93CaUQ;51.2761771,16.4579492
Lutynia;;;55-330 Lutynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtU3NJRe-D0cRqZE0quzxSvw;51.1349776,16.782625
Owczary;;;32-088 Owczary, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ0WwXt1WFkcRQIPHo8qP0ZU;50.1776987,19.9109267
Pietrzyków;;;Pietrzyków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJneL4JRsAD0cR_2wyEBRATwY;50.8940813,16.2213387
Polkowice;;;Polkowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW-2eiOddD0cRQh63nE50cAI;51.5024848,16.0620494
Siciny;;;56-215 Siciny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTw84_CyQBUcREFZtt1_l26Y;51.7267074,16.4272099
Zawieścice;;;56-200 Zawieścice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVwh6P5CDBUcRnVoE2uv3i9M;51.6409876,16.5805586
Żarki Średnie;;;Żarki Średnie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtwhPvqjcCEcRf40sm-VQYoc;51.20919079999999,15.0565831
Żółkiewka;;;22-335 Żółkiewka-Osada, Polska;https://www.google.com/maps/place/?q=place_id:ChIJcVowl2EQI0cRsWOudOXgUyk;50.909807,22.8346659
Żuchlów;;;Żuchlów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhcJvWAePBUcRFaG-4k65kqs;51.6787596,16.4039353
Bierzgłowo;;;87-152 Bierzgłowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS7t2noY6A0cRjEtb41REN4w;53.1312704,18.4488296
Byczyna;;;Byczyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRak7ZNh6EEcRnIJb7lITpKs;51.11327,18.21114
Byczyna;;;Byczyna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRak7ZNh6EEcRnIJb7lITpKs;51.11327,18.21114
Chalin;;;Chalin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJub_yAsyIHEcRBDxDcG4URIo;52.6876324,19.3891974
Chełmce;;;88-121 Chełmce, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe4NXe6BVG0cRC6BCbUAdAsA;52.61384,18.442807
Chodecz;;;87-860 Chodecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzdaefihlG0cRMJwIb6LSvbI;52.4048502,19.0274989
Chrosno;;;88-150 Chrosno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJFYlyJAqrBEcRQwRBCu2qB1I;52.5926835,18.2972319
Janiszewo;;;;NOT_FOUND;
Kłóbka;;;87-840 Kłóbka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0TEsWI58G0cRt1Gaft7JHxY;52.4523854,19.128538
Kościelec Kujawski;;;88-170 Kościelec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUcIHy8pbA0cRnFCeCb-ScP8;52.7927415,18.1587138
Kurkocin;;;87-207 Kurkocin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL6MTsfPXHEcRtSpQE3JJg4U;53.22761,19.0675996
Łowiczek;;;87-704 Łowiczek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJiTmOfhalHEcRsr-EZd7zE0I;52.7405443,18.775088
Małe Pułkowo;;;87-207 Małe Pułkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSyHwvHHXHEcRMbvKLm5NBmY;53.1993605,19.0369766
Młynik;;;11-731 Młynik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJuZbDjUoR4kYR0T5fOKuFuQU;53.8692925,21.1775238
Nowe n/Wisłą;;;Nowe, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9yvaEWnHAkcRmfqB2FnVVbk;53.64903,18.7271078
Nowiny;;;26-052 Nowiny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfeN-rzCGF0cRbjFTKjCU1zw;50.8245564,20.5312382
Orle;;;84-252 Orle, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLdme2TO4_UYRj5hhHhV_4ag;54.6372531,18.1720492
Przyłęki;;;86-005 Przyłęki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvcJDzpBsA0cRNa9x9PDyJ34;53.04005910000001,17.9679937
Radziejów;;;88-200 Radziejów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBTHgoxtWG0cRBy4sN_4ALT4;52.62669,18.5257
Radzyń-Wybudowanie;;;87-220 Radzyń-Wybudowanie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmyTl658sHUcRwNqBnjgUoPk;53.3626198,18.9348765
Recz;;;Recz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDS5VPBbYAEcRdDh5NsoxMw4;53.26014,15.55114
Sadłowo;;;87-512 Sadłowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV5IsGlnjHEcRUan46FTHbBE;53.08903309999999,19.5153492
Sędzin;;;87-706 Sędzin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZ-UShyWsHEcRBHDMEIK8-mY;52.7373804,18.5833987
Siniarzewo;;;87-705 Siniarzewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk7e6raCvHEcRSryM2Biqh2A;52.73247259999999,18.6858954
Sośno;;;89-412 Sośno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT9O6W_qrA0cRQUFf78KuRAU;53.38825199999999,17.6875023
Straszewo;;;87-708 Straszewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfS1qkPGxHEcRRaYZ6bkOow0;52.7976961,18.6515714
Toruń;;;Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGeyU2eE0A0cRxIlqWJpySnQ;53.0137902,18.5984437
Wola Kożuszkowa;;;88-324 Wola Kożuszkowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJKVm6H4WtBEcRy1MWYz3Lsds;52.50667540000001,18.2207315
Żnin;;;88-400 Żnin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJixSLfqtkA0cRLxhKXT6Rv4w;52.84938469999999,17.719477
Baraki;;;Baraki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAQ7d6SrEIkcR8hKWt7hIFgs;50.8067235,22.0354866
Bukowski Las;;;22-235 Bukowski Las, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2XUR0EHAI0cRc8UDxikqL1k;51.3751977,23.4544554
Czołna;;;24-105 Czołna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ84aMztNzIkcR3xx6U99A6c4;51.5387155,22.148699
Dołhobrody;;;22-220 Dołhobrody, Polska;https://www.google.com/maps/place/?q=place_id:ChIJP65CLEDYI0cRRDwwZt4SQ_E;51.6727696,23.515117
Górki;;;;NOT_FOUND;
Gródki;;;13-206 Gródki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1VzCmMGoHUcROdNjZ-9TnF0;53.2333064,20.0343215
Hola;;;Hola, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_yWArjPMI0cRbp8wYksIT1s;51.5369282,23.1892691
Holeszów;;;Holeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJE9XLI0XWI0cRJlIi8gScoIA;51.6873474,23.3906868
Horostyta Kolonia;;;Horostyta-Kolonia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHRRn2xLSI0cRaYaeZ8AD8EE;51.5914503,23.2258288
Jabłeczna;;;21-526 Jabłeczna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdbxAmNNkIUcR2qFXimIuLF8;51.8065758,23.599393
Jakusze;;;Jakusze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ37LFeu36IUcRvoHx6a89Lcw;52.0290371,22.6015727
Janów Podlaski;;;Janów Podlaski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtbZK_By8IUcRvZkoEk4eOco;52.1939792,23.2121137
