nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Zabytki starego miasta w Szczecinie;;;Korsarzy 34, 70-540 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjVatUQ4JqkcRX4nbplVButE;53.4260143,14.5603542
Katedra w Kamieniu Pomorskim;;;Plac Katedralny, 72-400 Kamień Pomorski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1WmiND2EqkcRyGKlWBspSOk;53.9732777,14.7724945
Kolegiata w Stargardzie Szczecińskim;;;Bolesława Krzywoustego 12, 73-110 Stargard, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc_OE4ky4AEcRrz03fCmC17k;53.3368561,15.0471899
Zabytki starego miasta w Gdańsku;;;Długa, 80-831 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc6lfy6Fz_UYRr1BwQbkrbls;54.3483269,18.6540422
Twierdza Wisłoujście;;;Stara Twierdza 1, 80-551 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6_y-W7QM_UYR16N3s8iMoO8;54.3956609,18.679898
Katedra w Oliwie;;;Biskupa Edmunda Nowickiego 5, 80-300 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7aBt2DR1_UYRueErmGT0TkI;54.4109789,18.5580156
Katedra w Pelplinie;;;Plac Mariacki 2, 83-130 Pelplin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaYWwd8-YAkcRdQTyWwFTOgs;53.9274619,18.6941084
Zamek krzyżacki w Malborku;;;Starościńska 1, 82-200 Malbork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUxu-TAtZ_UYRln6bQfTjg3U;54.0397846,19.0280495
Zamek w Kwidzynie;;;Katedralna 1, 82-500 Kwidzyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4UWXobiwAkcRLepj9f1Vudg;53.736073,18.921474
Zamek w Golubiu-Dobrzyniu;;;PTTK 13, 87-400 Golub-Dobrzyń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHThs7vfaHEcR6zk24VUoJiI;53.1153606,19.0497898
Spichlerze w Grudziądzu;;;Spichrzowa, 86-300 Grudziądz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm3jbMujPAkcRHLcC7DnlJB4;53.4917879,18.7470393
Ratusz i kościół Wniebowzięcia NMP w Chełmnie;;;Franciszkańska 8, 86-200 Chełmno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJa7_SVYMgA0cRNIai0K3Vz_o;53.3479708,18.4215542
Kanał Elbląski;;;Kanał Elbląski (Warmiński), Polska;https://www.google.com/maps/place/?q=place_id:ChIJf7d49auv4kYR0-ER69Jpdus;54.0270075,19.5942878
Warowny zespół katedralny we Fromborku;;;Katedralna 8, 14-530 Frombork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJpfuKlOTM4kYRnqXTIf25Q2E;54.3568319,19.6816392
Zamek w Lidzbarku Warmińskim;;;Plac Zamkowy 1, 11-100 Lidzbark Warmiński, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7YlPq5n14kYR2YIPcyBH-r0;54.12599669999999,20.5829401
Twierdza Boyen w Giżycku;;;Turystyczna 1, 11-500 Giżycko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQYceGwyI4UYRuQWFOIlde-U;54.03416,21.7499183
Klasztor w Wigrach;;;Wigry 11, 16-402 Suwałki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf9hrHBL84EYR90wykPDSSBw;54.06896039999999,23.0852329
