nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Kretynga – Kłajpeda /25,6 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Kłajpeda – Juodkrantė /19,6 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Juodkrantė – Nida /30,6 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Nida – Rybaczij /21,1 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Rybaczij – Zielenogradsk /32,3 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Zielenogradsk – Kaliningrad /33,8 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Kaliningrad – Laduskin /27,9 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Laduskin – Mamonowo /19,6 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Mamonowo – Braniewo – Frombork /24,0 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Frombork – Tolkmicko /17,6 km/;Wykaz etapów PDŚJ;;Morska 4, 82-340 Tolkmicko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIV-jp6I1_UYRkg4N9M-9Yvk;54.32152019999999,19.523236
Tolkmicko – Elbląg /39,8 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Elbląg – Nowy Dwór Gdański /26,6 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Nowy Dwór Gdański – Niedźwiedzica /18,9 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Niedźwiedzica – Gdańsk Sobieszewo /21,5 km/;Wykaz etapów PDŚJ;;Nadwiślańska 79, 80-680 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJG6-NuhVt_UYR8IgU8GcHvxo;54.3483662,18.801478
Gdańsk Sobieszewo – Gdańsk Oliwa /24,2 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Gdańsk Oliwa – Żukowo /18,1 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Żukowo – Kartuzy /17,8 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Kartuzy – Sianowo /23,0 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Sianowo – Lębork /35,6 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Lębork – Łebień /18,2 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Łebień – Łeba /27,3 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Łeba – Izbica /17,6 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Izbica – Smołdzino /22,9 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Smołdzino – Ustka /33,2 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Ustka – Słupsk /21,5 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Słupsk – Sławno /31,7 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Sławno – Darłowo /27,1 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Darłowo – Iwięcino /20,3 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Iwięcino – Koszalin /23,1 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Koszalin – Dobrzyca /22,9 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Dobrzyca – Kołobrzeg /29,4 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Kołobrzeg – Trzebiatów /39,1 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
Trzebiatów – Cerkwica – Karnice /23,8 km/;Wykaz etapów PDŚJ;;;NOT_FOUND;
