nazwa_obiektu;wojewodztwo;kategoria_obiektu;adres;wspolrzedne;wikipedia_opis;google_maps_link;stopien_odznaki;status
muzea przyrodnicze;;;;;;;15 pkt;RAW
obszary NATURA 2000;;;;;;;15 pkt;RAW
dziay przyrody w muzeach, ekspozycje przyrodnicze, ogrody zoologiczne, botaniczne;;;;;;;10 pkt;RAW
Lesne Kompleksy Promocyjne;;;;;;;10 pkt;RAW
parki krajobrazowe;;;;;;;5 pkt;RAW
rezerwaty przyrody;;;;;;;5 pkt;RAW
obszary ochrony krajobrazu;;;;;;;3 pkt;RAW
pomniki przyrody, skupiska pomnikow tego samego rodzaju;;;;;;;3 pkt;RAW
sciezki przyrodnicze, izby lesne;;;;;;;3 pkt;RAW
uzytki ekologiczne, stanowiska dokumentacyjne;;;;;;;3 pkt;RAW
parki zabytkowe;;;;;;;2 pkt;RAW
parki wiejskie;;;;;;;1 pkt;RAW
