nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Archidiecezja Białostocka - par. pw. św. Krzysztofa (ul. św. Krzysztofa 4, 15-697 Białystok);;;Święty Krzysztof 4, 15-697 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSemlyuT8H0cRmRmOb7rkh3A;53.1692514,23.1124175
Archidiecezja Gdańska - par. pw. św. Krzysztofa (ul. Jaworzniaków 10, 80-180 Gdańsk, oś. Świętokrzyskie);;;Jaworzniaków 10, 80-180 Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL4wn46Z2_UYRuduMF7B_yao;54.3161347,18.5705317
Archidiecezja Katowicka - par. pw. św. Krzysztofa (ul. Kard. Stefana Wyszyńskiego 1, 43-100 Tychy);;;Księdza Kardynała Stefana Wyszyńskiego 1, 43-100 Tychy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF0ONU__HFkcRjH5NM6nuIP4;50.1122417,19.0048999
Archidiecezja Łódzka - par. pw. św. Krzysztofa (ul. 3 Maja 18, 95-080 Tuszyn);;;3 Maja 18, 95-080 Tuszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6-7fTjYwGkcRtVSz43lUXoA;51.6153163,19.5177263
Diecezja Rzeszowska - par. pw. św. Krzysztofa (Godowa 260, 38-100 Strzyżów);;;Godowa 260, 38-100 Godowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2VhHWEhRPEcRioe_J_ab_0E;49.8453702,21.8119858
Archidiecezja Szczecińsko-Kamieńska - koś. filialny pw. św. Krzysztofa (Steklno, gm. Gryfino);;;74-105 Steklno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-4waKDxVB0cRk8xZf-OuGD0;53.1755137,14.5422697
Archidiecezja Szczecińsko-Kamieńska - kaplica pw. św. Krzysztofa (Myślibórz);;;Władysława Andersa 22, 74-300 Myślibórz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtxlaVXpHB0cRqkyVpkrrU-g;52.9249984,14.8674905
Archidiecezja Szczecińsko-Kamieńska - par. pw. św. Krzysztofa (ul. Żelazna 14, 71-714 Szczecin);;;Żelazna 14, 71-714 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ7XudLNELqkcRbIoluBpTAHM;53.4594906,14.578971
Diecezja Koszalińsko-Kołobrzeska - par. pw. św. Krzysztofa (ul. Pomorska 43, 78-400 Szczecinek);;;Pomorska 43, 78-400 Szczecinek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYeUkrZGuG0cRh7S-yLZ_j0I;53.70469079999999,16.7093876
Archidiecezja Warszawska - par. pw. św. Krzysztofa (ul. Jana Pawła II 7, 05-807 Podkowa Leśna);;;Jana Pawła II 7, 05-807 Podkowa Leśna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdUZcB89JGUcRdk1WS9q-7sA;52.1212656,20.7269915
"Archidiecezja Warszawska - par. pw. św. Krzysztofa (ul. płk. M. Niedzielskiego ""Żywiciela"" 4, 01-875 Warszawa)";;;"Mieczysława Niedzielskiego ""Żywiciela"" 4, 01-875 Warszawa, Polska";https://www.google.com/maps/place/?q=place_id:ChIJjwbZs7bLHkcRN5KZ9mxetxA;52.2671865,20.9429979
