nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Stuchowo;;;Stuchowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJj1fvujx5AEcR8wsgpw2v8Qk;53.9490838,15.0112603
Przelewice;;;Przelewice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-8oSupQ0B0cRfuViqzZ2Exc;53.1042303,15.0760165
Gdańsk-Oliwa;;;Oliwa, Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyz1rxjV1_UYRsExUblWGqLY;54.4046859,18.5318617
Będomin;;;83-422 Będomin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJDQLB2XuH_UYRSpDG3i7Wrj8;54.1271023,18.1172126
Jabłonowo Pomorskie;;;87-330 Jabłonowo Pomorskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIamoycAvHUcR35u_L9xtxuU;53.39009,19.1548
Drogosze;;;11-410 Drogosze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWRBrJo1J4kYR_iLTjjjjfgI;54.2076681,21.2490702
Sorkwity;;;11-731 Sorkwity, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs9VmSGUR4kYRt8KzhicgTQw;53.8447091,21.1429387
Choroszcz;;;Choroszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc5rgnZXkH0cRbH42xnrAHsA;53.14292,22.98815
Białystok – pałac Branickich;;;Jana Kilińskiego 1, 15-089 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY_kR2QL8H0cRB_vcKieuy5I;53.13060489999999,23.1651389
Lubostroń;;;89-210 Lubostroń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs5flmfllA0cRXqmeqEL34uA;52.9101632,17.8846526
Poznań – pałac Działyńskich;;;Stary Rynek 78, 61-772 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB8hPX0dbBEcRqPzFFvzIB4M;52.4085356,16.9324982
Czerniejewo;;;Czerniejewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN3J_38qSBEcRvQhtRMZ269k;52.42622739999999,17.4890829
Rogalin;;;Rogalin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ31WKjgpUBEcR2Aab2GIpBNg;52.2341141,16.9366306
Koszuty;;;Koszuty, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVd6ULl35BEcR0IZmPg7bYKI;52.2344787,17.193884
