nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
PKR-1;;;;NOT_FOUND;
PKR-2;;;;NOT_FOUND;
PKR-3;;;;NOT_FOUND;
PKR-4;;;;NOT_FOUND;
PKR-5;;;;NOT_FOUND;
PKR-6;;;;NOT_FOUND;
PKR-7;;;Leszno 12, 01-192 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJETNFiFvLHkcR7N7uHU6cJU4;52.239262,20.9812373
PKR-8;;;;NOT_FOUND;
PKR-9;;;;NOT_FOUND;
PKR-10;;;;NOT_FOUND;
PKR-11;;;;NOT_FOUND;
PKR-12;;;;NOT_FOUND;
PKR-13;;;;NOT_FOUND;
PKR-14;;;;NOT_FOUND;
PKR-15;;;;NOT_FOUND;
PKR-16;;;;NOT_FOUND;
PKR-17;;;;NOT_FOUND;
PKR-18;;;;NOT_FOUND;
PKR-19;;;;NOT_FOUND;
PKR-20;;;;NOT_FOUND;
PKR-21;;;;NOT_FOUND;
PKR-22;;;;NOT_FOUND;
PKR-23;;;;NOT_FOUND;
PKR-24;;;;NOT_FOUND;
PKR-25;;;;NOT_FOUND;
PKR-26;;;;NOT_FOUND;
PKR-27;;;;NOT_FOUND;
PKR-28;;;;NOT_FOUND;
PKR-29;;;;NOT_FOUND;
PKR-30;;;;NOT_FOUND;
PKR-31;;;;NOT_FOUND;
PKR-32;;;;NOT_FOUND;
PKR-33;;;;NOT_FOUND;
PKR-34;;;;NOT_FOUND;
PKR-35;;;;NOT_FOUND;
PKR-36;;;;NOT_FOUND;
PKR-37;;;;NOT_FOUND;
PKR-38;;;;NOT_FOUND;
PKR-39;;;;NOT_FOUND;
PKR-40;;;;NOT_FOUND;
PKR-41;;;Metalurgiczna 15c, 20-234 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC8Yk-rhWIkcRrqoAXMmheEE;51.2384176,22.6410597
PKR-42;;;;NOT_FOUND;
PKR-43;;;;NOT_FOUND;
PKR-44;;;;NOT_FOUND;
PKR-45;;;;NOT_FOUND;
PKR-46;;;;NOT_FOUND;
PKR-47;;;;NOT_FOUND;
PKR-48;;;;NOT_FOUND;
PKR-49;;;;NOT_FOUND;
PKR-50;;;;NOT_FOUND;
PKR-51;;;;NOT_FOUND;
PKR-52;;;;NOT_FOUND;
PKR-53;;;;NOT_FOUND;
PKR-54;;;;NOT_FOUND;
PKR-55;;;;NOT_FOUND;
PKR-56;;;;NOT_FOUND;
PKR-57;;;Metalurgiczna 15c, 20-234 Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJC8Yk-rhWIkcRrqoAXMmheEE;51.2384176,22.6410597
PKR-58;;;;NOT_FOUND;
PKR-59;;;;NOT_FOUND;
PKR-60;;;;NOT_FOUND;
PKR-61;;;;NOT_FOUND;
PKR-62;;;;NOT_FOUND;
PKR-63;;;;NOT_FOUND;
PKR-64;;;;NOT_FOUND;
PKR-65;;;;NOT_FOUND;
PKR-66;;;;NOT_FOUND;
PKR-67;;;;NOT_FOUND;
PKR-68;;;;NOT_FOUND;
PKR-69;;;;NOT_FOUND;
PKR-70;;;;NOT_FOUND;
PKR-71;;;;NOT_FOUND;
PKR-72;;;;NOT_FOUND;
PKR-73;;;;NOT_FOUND;
PKR-74;;;;NOT_FOUND;
PKR-75;;;Metalurgiczna 13 F, Lublin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJrxA7K6tXIkcR1EyP7uvrXcE;51.2382875,22.644004
PKR-76;;;;NOT_FOUND;
PKR-77;;;;NOT_FOUND;
PKR-78;;;;NOT_FOUND;
PKR-79;;;;NOT_FOUND;
PKR-80;;;;NOT_FOUND;
PKR-81;;;;NOT_FOUND;
PKR-82;;;;NOT_FOUND;
PKR-83;;;;NOT_FOUND;
PKR-84;;;;NOT_FOUND;
PKR-85;;;;NOT_FOUND;
PKR-86;;;;NOT_FOUND;
PKR-87;;;;NOT_FOUND;
PKR-88;;;Towarowa 4, 73-110 Stargard, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ9VxJvLq5AEcRoqRc38rTbVQ;53.3422699,15.0262517
PKR-89;;;;NOT_FOUND;
PKR-90;;;;NOT_FOUND;
PKR-91;;;;NOT_FOUND;
PKR-92;;;;NOT_FOUND;
PKR-93;;;;NOT_FOUND;
PKR-94;;;;NOT_FOUND;
PKR-95;;;;NOT_FOUND;
PKR-96;;;;NOT_FOUND;
PKR-97;;;;NOT_FOUND;
PKR-98;;;;NOT_FOUND;
PKR-99;;;;NOT_FOUND;
PKR-100;;;;NOT_FOUND;
PKR-101;;;;NOT_FOUND;
PKR-102;;;;NOT_FOUND;
PKR-103;;;;NOT_FOUND;
PKR-104;;;;NOT_FOUND;
PKR-105;;;;NOT_FOUND;
PKR-106;;;;NOT_FOUND;
PKR-107;;;;NOT_FOUND;
PKR-108;;;;NOT_FOUND;
PKR-109;;;;NOT_FOUND;
PKR-110;;;;NOT_FOUND;
PKR-111;;;;NOT_FOUND;
PKR-112;;;;NOT_FOUND;
PKR-113;;;;NOT_FOUND;
PKR-114;;;;NOT_FOUND;
PKR-115;;;Targowa 74, 03-734 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRdV9YT_MHkcRJtIZV0Oomwo;52.2554206,21.0351187
PKR-116;;;;NOT_FOUND;
PKR-117;;;;NOT_FOUND;
PKR-118;;;;NOT_FOUND;
PKR-119;;;;NOT_FOUND;
PKR-120;;;;NOT_FOUND;
PKR-121;;;;NOT_FOUND;
PKR-122;;;;NOT_FOUND;
PKR-123;;;;NOT_FOUND;
PKR-124;;;;NOT_FOUND;
PKR-125;;;;NOT_FOUND;
