nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Turnicki Park Narodowy, wojewodztwo podkarpackie;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1SWd4K6IO0cRucM6380SBDQ;49.5967204,22.6300765
Jurajski Park Narodowy, wojewodztwo śląskie;;;Ojców 9, 32-045 Sułoszowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJjxdFEPlVFkcR8eeKXAhqE80;50.2070516,19.8178762
Mazurski Park Narodowy, wojewodztwo warmińsko-mazurskie;;;Krutyń 66, 11-710 Krutyń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyWkWr9754UYRkPMJKx8ATH0;53.68745639999999,21.4308946
Park Narodowy Dolnej Odry, wojewodztwo zachodniopomorskie;;;74-100 Gryfino, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV2StPDwBqkcR2JGMP_MSejg;53.2764698,14.4661198
Szczeciński Park Narodowy, wojewodztwo zachodniopomorskie;;;Binowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyXE9_O-nAEcRSEqj7cLjP-c;53.3062747,14.6273652
Knyszyński Park Narodowy, wojewodztwo podlaskie;;;Puszcza Knyszynska, 16-010 Dąbrówki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ--56zYoB4EYR3vznhNK4Lhc;53.2166667,23.25
Wiślański Park Narodowy, wojewodztwo mazowieckie;;;Kazimierza Tetmajera 38, 05-080 Izabelin C, Polska;https://www.google.com/maps/place/?q=place_id:ChIJMyuYzsy1HkcR8Kv3GQV6pu0;52.3200087,20.6440552
Kaszubski Park Narodowy (Kaszëbsczi Nôrodny Park), województwo pomorskie;;;83-300 Kartuzy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJy4cZDQOS_UYRisVtjQz1anE;54.3347841,18.0647868
Park Narodowy Puszczy Rominckiej, wojewodztwo warmińsko-mazurskie;;;Szkolna 1, 19-504 Żytkiejmy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAXt1ytsS4UYRdT5MGBlOYNs;54.3543715,22.6974106
Park Narodowy Stawy Milickie, wojewodztwo dolnośląskie;;;Milicz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwZwRU2ZgBUcRFZNjsGOUdDs;51.4353551,17.2486089
Park Narodowy Wysoczyzny Elbląskiej, wojewodztwo warmińsko-mazurskim;;;Bohaterów Westerplatte 18, 82-300 Elbląg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwYz5vG1L_UYRvyUfKKLgTTU;54.1797955,19.4580169
Śnieżnicki Park Narodowy, wojewodztwo dolnośląskie;;;57-550 Stronie Śląskie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmZ8EImQCDkcRFMY4g0MZnOU;50.2415144,16.7484852
Sobiborski Park Narodowy, wojewodztwo lubelskie;;;22-200 Włodawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJR28NYuzpI0cR4PaNW7qRMY8;51.4231438,23.5918276
Orawski Park Narodowy, wojewodztwo małopolskie;;;BN, 34-484 Zubrzyca Górna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ4QH9axfaFUcRrw6_2SAwjSk;49.5701016,19.6360267
Park Narodowy Puszczy Boreckiej, wojewodztwo warmińsko-mazurskie;;;Szkolna 1, 19-504 Żytkiejmy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAXt1ytsS4UYRdT5MGBlOYNs;54.3543715,22.6974106
Podziemny Park Narodowy Kopalnia Soli Wieliczka, wojewodztwo małopolskie;;;Daniłowicza 10, 32-020 Wieliczka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS46BBdhDFkcRFbST_a5JJZc;49.98350199999999,20.0551878
Bydgoski Park Narodowy, wojewodztwo kujawsko-pomorskie;;;Bydgoskich Przemysłowców 6, 85-862 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBwL92vUUA0cRmO0653T4wl8;53.0841457,18.067597
Jaworski Park Narodowy, wojewodztwo dolnośląskie;;;Valbjix, 57-430 Jugów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJq5S2h81HDkcRjjnde4wJxbU;50.680265,16.4849351
Park Narodowy Puszczy Śląskiej, wojewodztwo opolskie;;;Pokrzywna 11, 48-340 Jarnołtówek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJK1Iysg6UEUcRnUFJNKinVdQ;50.283598,17.4541794
Park Narodowy Puszczy Pilickiej, wojewodztwo łódzkie;;;97-570, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN5Xg-0rfGUcRHaD1RVgheSE;50.9882553,20.0156874
Park Narodowy Borów Dolnośląskich, wojewodztwo dolnośląskie i lubuskie;;;59-610 Wleń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJPRF4MlfcDkcRo0sQsfiWNk8;50.9876314,15.64817
Janowski Park Narodowy, wojewodztwo lubelskie i podkarpackie;;;23-300 Janów Lubelski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJqciJZjIoI0cR1E3gQsaASzM;50.6616937,22.3395137
Chełmski Park Narodowy, wojewodztwo lubelskie;;;Polska;https://www.google.com/maps/place/?q=place_id:ChIJAQAAAACwI0cRhZ5_PBYTc3g;51.204238,23.5120027
Odrzański Park Narodowy, wojewodztwo dolnośląskie;;;74-100 Gryfino, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV2StPDwBqkcR2JGMP_MSejg;53.2764698,14.4661198
