nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Exploseum DAG Fabrik Bromberg w Bydgoszczy;;;Alfreda Nobla, 85-001 Bydgoszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJfUeqCd8UA0cRqqSPqmiP-30;53.0709353,18.0740175
Piwnice Starego Miasta w Warszawie;;;Brzozowa 11/13, 00-278 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ__8zPG_MHkcRDTTiaeppKfI;52.2501536,21.0130864
Grota Puławska;;;4 Pułku Piechoty Wojska Polskiego 17b, 24-100 Puławy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyefswmN5IkcRCg3vNl4vwLs;51.413458,21.9565605
Chełmskie Podziemia Kredowe;;;Lubelska 55A, 22-100 Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf5lvhC80FkcRHrx6LfTH_uU;51.13301490000001,23.4712915
Muzeum i Rezerwat Archeologiczno-Przyrodniczy „Krzemionki” w Krzemionkach;;;Sudół 135a, 27-400 Ostrowiec Świętokrzyski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtw1QJgMKGEcRvOgQYZ4nIUY;50.9722558,21.4900411
Piwnice w Opatowie;;;plac Obrońców Pokoju 18, 27-500 Opatów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUzTUUHmpIkcRTn1rTCa4QxQ;50.8013388,21.4226542
Lochy sandomierskie;;;Rynek 10, 27-600 Sandomierz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVSPgzQ21IkcRyb0kr6JVXzI;50.6797991,21.748665
Muzeum Górnictwa Rud Żelaza w Częstochowie;;;42-202 Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ5RvSRna2EEcRoICb2wU9r30;50.8109129,19.1003201
Zabytkowa Kopalnia Srebra w Tarnowskich Górach;;;Szczęść Boże 81, 42-600 Tarnowskie Góry, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLQj0RcUrEUcRRJo0XftEmaU;50.42547889999999,18.8494603
Sztolnia Czarnego Pstrąga w Tarnowskich Górach;;;darmowy parking, Repecka, 42-600 Tarnowskie Góry, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe3CnLg0pEUcRdrWORwbxM4k;50.4286044,18.8158932
Zabytkowa Kopalnia „Ignacy” w Rybniku;;;Ignacego Mościckiego 3, 44-273 Rybnik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHb3ZaI9PEUcR4PxMc3PVdkc;50.0629038,18.4675176
Skansen Górniczy „Królowa Luiza” w Zabrzu;;;Maurycego Mochnackiego 12, 41-800 Zabrze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBdiOR2cyEUcRX6RuIu5NiDY;50.2964706,18.7990514
Kopalnia „Guido” w Zabrzu;;;3 Maja 93, 41-800 Zabrze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJwXokzFsyEUcRjbJb4aTc6es;50.2895356,18.7917821
Szyb „Maciej” w Zabrzu;;;Srebrna 6, 41-819 Zabrze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJBwGUR_AxEUcRt_eoRGEKt0w;50.3150048,18.7415263
Kopalnia Ćwiczebna Muzeum Miejskiego „Sztygarka” w Dąbrowie Górniczej;;;Górnicza 41/300, 41-300 Dąbrowa Górnicza, Polska;https://www.google.com/maps/place/?q=place_id:ChIJLzCMGDnaFkcRB-F7wMzX8og;50.3194226,19.1849546
Podziemia Rynku w Krakowie;;;Rynek Główny 1, 31-042 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJERHICBJbFkcRo-dPAVreKqU;50.061934,19.93777
Schrony przeciwlotnicze w Krakowie;;;Osiedle Na Skarpie 66, 31-913 Kraków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ3RalNExFFkcRQfpv3LIigtc;50.0660768,20.0442112
Tunel kolejowy w Strzyżowie;;;Tunelowa, 38-100 Strzyżów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb1DJGBpUPEcRpYBj-pY2EFo;49.8692216,21.8083552
Kopalnia Soli „Bochnia”;;;Campi 15, 32-700 Bochnia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJozsSjEc7FkcRAqbUuza3XOY;49.9689861,20.4176528
Kopalnia Soli w Wieliczce;;;Daniłowicza 10, 32-020 Wieliczka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJS46BBdhDFkcRFbST_a5JJZc;49.98350199999999,20.0551878
Rzeszowskie Piwnice;;;Rynek 26, 35-064 Rzeszów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB60EBgL7PEcRAOuYnT0mjUI;50.03758209999999,22.0041049
Podziemna Trasa Turystyczna im. prof. Feliksa Zalewskiego w Jarosławiu;;;Rynek 14, 37-500 Jarosław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWUIimdmbPEcRc1oXpVNK-ZU;50.019245,22.68416
Podziemia w Przemyślu;;;Rynek 1, 37-700 Przemyśl, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp4eKQSJ_O0cRYacCjeAKRU0;49.7828573,22.7688755
Schron w Szczecinie;;;Krzysztofa Kolumba 2, 70-035 Szczecin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA4YytAQJqkcRvHJzq2Q7Icg;53.4192796,14.5519557
Twierdza Kostrzyn;;;Graniczna 1, 66-470 Kostrzyn nad Odrą, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ-2mxtnBzB0cRi4AQ7OvSBOY;52.5811789,14.6336077
Międzyrzecki Rejon Umocniony (MRU);;;Pniewo 1, 66-300 Międzyrzecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGdkYCyKSG0cRPutoaDY-u9Y;52.371933,15.5058239
Fort IV twierdzy Toruń;;;Bolesława Chrobrego 86, 87-100 Toruń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ2xtM0Zk0A0cR0UDmAfXclXE;53.0410265,18.6328638
Kopalnia soli w Kłodawie;;;Aleja 1000-lecia 2, 62-650 Kłodawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgyCnFXptG0cR2JOfj1Gzfm0;52.2406339,18.9221691
Twierdza Osowiec;;;Osowiec-Twierdza, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmT33fDUu4EYRics0GNFx9Rs;53.474755,22.6520414
Bunkier kolejowy w Konewce;;;Konewka, 97-215 Inowłódz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJxXKGiwycGUcRSM_-1gRDGJM;51.5619717,20.1517582
Fort Legionów w Warszawie;;;Zakroczymska 12, 00-225 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVycBdXPMHkcR2be9YTkCyNQ;52.2572402,21.0067059
Sztolnia „Aurelia” w Złotoryi;;;Stroma, 59-500 Złotoryja, Polska;https://www.google.com/maps/place/?q=place_id:ChIJg1PSr6MXD0cRoJtgAN-CqVo;51.1302915,15.9211411
Podziemne trasy turystyczne „Sztolnie Kowary” i „Kowarskie Kopalnie”;;;Podgórze 48, 58-530 Kowary, Polska;https://www.google.com/maps/place/?q=place_id:ChIJF4sz3YHlDkcRr8UJTRGVLfU;50.7637154,15.8461873
Stara Kopalnia w Wałbrzychu;;;Piotra Wysockiego 29, 58-304 Wałbrzych, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdSfv9sBWDkcRYpXdh2DdU04;50.7726236,16.2617754
Podziemia Zamku Książ w Wałbrzychu;;;Piastów Śląskich 1, 58-306 Wałbrzych, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_8-gefFUDkcROJcI7PFONBc;50.8423154,16.2915673
Podziemny kompleks Riese (Olbrzym) w Górach Sowich;;;Górna 71, 58-321 Jugowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ0W4qWJpPDkcR81jsVwfd_D8;50.7016487,16.4199257
Kopalnia Węgla „Nowa Ruda” w Nowej Rudzie;;;Obozowa 4, 57-401 Nowa Ruda, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsTRB6TRHDkcRWmYqytalu8Y;50.5900968,16.5146649
Kopalnia „Silberloch” w Górach Sowich;;;Janusza Kuliga, 58-320, Polska;https://www.google.com/maps/place/?q=place_id:ChIJIzL0f0FPDkcRHsdnKVSM7yU;50.69740969999999,16.4648272
Podziemna Trasa Turystyczna im. 1000-lecia Państwa Polskiego w Kłodzku;;;Polska, Czeska, Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe664kgYXDkcR0-dr1z22Vkg;50.4392041,16.6533748
Chodniki minerskie w twierdzy Kłodzko;;;Grodzisko 1, 57-300 Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEShMrQAXDkcRm4CoG54TAvg;50.4410854,16.6534216
Kopalnia złota w Złotym Stoku;;;Złota 7, 57-250 Złoty Stok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJO3nziGQfDkcRhKd239Mcvpk;50.4398229,16.8747241
Stara Kopalnia Uranu w Kletnie;;;Stronie Lasy 40, 57-550, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQUFeGYICDkcRff2mI-ir-EM;50.2479789,16.8444245
