nazwa_obiektu;wojewodztwo;kategoria_obiektu;adres;wspolrzedne;wikipedia_opis;google_maps_link;stopien_odznaki;status
Popularna;;;;;;;20;RAW
Maa brazowa;;;;;;;25;RAW
Maa srebrna;;;;;;;30;RAW
Maa zota;;;;;;;35;RAW
Duza brazowa ze szmaragdem;;;;;;;40;RAW
Duza srebrna z rubinem;;;;;;;45;RAW
Duza zota z pera;;;;;;;50;RAW
Wielka Korona z jantarem;;;;;;;55;RAW
Specjalna z diamentem;;;;;;;60;RAW
Brazowa Honorowa z wawrzynem;;;;;;;65;RAW
Srebrna Honorowa z wawrzynem;;;;;;;70;RAW
Zota Honorowa z wawrzynem;;;;;;;75;RAW
Za wytrwaosc srebrna dla wytrwaych;;;;;;;80;RAW
Za wytrwaosc zota dla najwytrwalszych;;;;;;;100;RAW
Razem:;;;;;;;750;RAW
