nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Gen. Zygmunt Sierakowski (ur. 19 maja 1827 w Lisowie koło Maniewicz na Wołyniu, zm. 27 czerwca 1863 w Wilnie) – polski generał, działacz niepodległościowy, dowódca powstania styczniowego na Żmudzi. Używał pseudonimu Dołęga. Jako student uniwersytetu petersburskiego prowadził propagandę patriotyczną wśród ludu wiejskiego na Litwie. W maju 1848 r. schwytany przez Rosjan i skazany za nielegalne przekraczanie granicy rosyjsko-austriackiej na bezterminowe roty aresztanckie w orenburskim korpusie karnym, gdzie odznaczył się zdolnościami i męstwem. W 1856 r. został mianowany oficerem. W 1859 r. ukończył Akademię Sztabu Generalnego w Petersburgu. Wysłany przez rząd dla badania prawodawstwa wojskowego narodów zachodnich, przyczynił się swoimi projektami do zniesienia kary cielesnej w armii. Tam też należał do kierownictwa konspiracyjnego sfederowanego Koła Oficerów Polskich w Petersburgu, związanego z organizacją czerwonych w Kongresówce. Z ich ramienia w 1861 r. nawiązał w Paryżu kontakt z Ludwikiem Mierosławskim. Spotykał się z Giuseppe Garibaldim i Aleksandrem Hercenem. W 1863 r., po wybuchu powstania wziął dymisję z wojska rosyjskiego i z ramienia Rządu Narodowego został naczelnikiem wojennym województwa kowieńskiego. Dowodził 2500-osobowym oddziałem, operującym na Żmudzi. 21 kwietnia pobił Rosjan pod Ginietyniami. 3 maja wyruszył ze swoim źle uzbrojonym oddziałem w kierunku Kurlandii, gdzie zamierzał przejąć transport broni dostarczony z Wielkiej Brytanii. W dniach 7-9 maja stoczył trzydniową bitwę pod Birżami, zakończoną rozbiciem jego oddziału przez fiński pułk lejbgwardii gen. Jana Ganeckiego. Dostał się do rosyjskiej niewoli. Przed sądem wojennym okazał niezłomny hart ducha. Wbrew zabiegom międzynarodowej opinii publicznej, 27 czerwca 1863 r. został powieszony w Wilnie.;;;;NOT_FOUND;
Płk Marcin Maciej Borelowski, ps. Lelewel (ur. 29 października 1829 w Półwsiu Zwierzynieckim koło Krakowa , zm. 6 września 1863) – polski działacz społeczny i patriotyczny, pułkownik w powstaniu styczniowym. Z zawodu rzemieślnik-blacharz, majster studniarski, uczestnik wystąpień niepodległościowych w Krakowie w latach 1846 i 1848, po upadku wiosny ludów uczestnik działalności konspiracyjnej. Programowo związany z millenerami, od 1862 r. jednak ze stronnictwem czerwonych. Zajmował się organizowaniem policji narodowej i gromadzeniem broni. Współorganizator patriotycznych manifestacji ludności w Warszawie poprzedzających wybuch powstania styczniowego, w czasie powstania dowódca oddziałów partyzanckich i naczelnik wojenny województw lubelskiego i podlaskiego. Dosłużył się stopnia pułkownika. 24 marca 1863 r. pobity w bitwie pod Krasnobrodem . 16 kwietnia stoczył bitwę pod Borowymi Młynami . Zaatakowany w I bitwie pod Chruśliną 30 maja odparł atak Rosjan i ponownie odniósł zwycięstwo 3 września pod Panasówką . Poległ w bitwie na Sowiej Górze pod Batorzem 6 września 1863 r.;;;;NOT_FOUND;
Gen. Józef Hauke-Bosak herbu Bosak, hrabia (ur. 19 marca 1834 w Petersburgu, zm. 21 stycznia 1871 pod Dijon) – generał broni, uczestnik powstania styczniowego. Do Polski przybył w 1782 r. przez Moguncję i Drezno. Ojciec Józefa Hauke (1790-1837), urodzony już w Polsce, był kapitanem w wojsku Księstwa Warszawskiego i potem generałem wojska rosyjskiego, a stryj Maurycy Hauke był generałem napoleońskim, wsławionym obroną Zamościa w 1813 r., zginął pierwszego dnia powstania listopadowego jako wierny carowi. Drugi stryj, Ludwik August (1779-1851) był dyrektorem górnictwa w Królestwie Polskim. Maurycy, Ludwik August i Józef otrzymali w 1826 r. w Królestwie Polskim potwierdzenie szlachectwa, a później w różnych latach tytułu hrabiowskiego. Józef Hauke zaczął edukację w carskim Korpusie Kadetów, następnie w Korpusie Paziów i zwieńczył ją ukończeniem Wyższej Akademii Wojskowej. W 1855 r. został oficerem ordynansowym cara Aleksandra II. W 1859 r. przeniósł się do służby czynnej. Brał udział w walkach na Kaukazie z niedobitkami wojsk Szamila, w których dosłużył się dwóch krzyży i złotej szabli za waleczność. W 1862 r. został awansowany na pułkownika. Manifestacje patriotyczne w 1861 i 1862 r. były dla niego wstrząsem. Podał się do dymisji, zamiast której dostał roczny urlop z armii carskiej. W styczniu 1863 r., kiedy wybuchło powstanie ponownie złożył dymisję, tym razem przyjętą. Był bliskim współpracownikiem Romualda Traugutta i dowódcą tworzonego II korpusu, naczelnikiem oddziałów powstańczych województw krakowskiego i sandomierskiego oraz kaliskiego.;;;;NOT_FOUND;
Płk Apolinary Kurowski herbu Nałęcz III (ur. 1818, zm. 11 maja 1878 w Baden) – pułkownik powstania styczniowego. Urodził się w Wielkopolsce. Przed rokiem 1863 był właścicielem wsi Tyniec koło Jędrzejowa (dzisiaj województwo świętokrzyskie). W 1846 r. przystał do spisku organizującego wybuch powstania. Aresztowany przez Prusaków w 1847 r. załamał się w śledztwie. Skazany na śmierć, uwolniony w 1848 r. Następnie brał udział w powstaniu wielkopolskim. Ludwik Mierosławski przeznaczył mu zadanie uderzenia na Kalisz dla sprowokowania wojny z Rosją. Uszedł z Prus do Kongresówki. Od 1862 r. przygotowywał wystąpienie zbrojne. Po wybuchu powstania styczniowego, mianowany naczelnikiem województwa krakowskiego. Przeprowadził koncentrację oddziałów powstańczych w okolicach Ojcowa , gdzie zgromadził 2500 ludzi. Dokonał licznych wypadów na pograniczne rosyjskie komory celne i garnizony, zdobywając m.in. 80 000 rubli. Posądzany o nieudolne dowodzenie w czasie bitwy pod Miechowem (17 lutego 1863 r.) i walk o utrzymanie trójkąta granicznego między zaborami, został usunięty ze stanowiska wojewody. Uszedł do Galicji. Dopiero w lutym 1864 r. pojawił się w Kongresówce, jako dowódca dywizji krakowskiej w II korpusie Józefa Hauke-Bosaka, a następnie szef sztabu w tym korpusie. 21 lutego 1864 r. bezskutecznie szturmował Opatów . Wyemigrował do Szwajcarii.;;;;NOT_FOUND;
Gen. Walery Antoni Wróblewski (ur. 27 grudnia 1836 w Żołudku, zm. 5 sierpnia 1908 w Ouarville) – polski działacz rewolucyjno-demokratyczny, dowódca w powstaniu styczniowym, generał Komuny Paryskiej, działacz Związku Zagranicznego Socjalistów Polskich. Urodził się 15 grudnia (27 grudnia) 1836 r. w Dworze Żołudek, w powiecie lidzkim na Wileńszczyźnie. Był synem Antoniego Wróblewskiego i Róży z Jurowskich, miejscowej drobnej szlachty. Od 1844 r. wraz z rodziną zamieszkał w Wilnie, gdzie uczęszczał do gimnazjum – wileńskiego instytutu szlacheckiego. Od 1853 do 1856 r. studiował w Instytucie Leśnictwa i Miernictwa w Petersburgu. Po ukończeniu studiów i odbyciu rocznej praktyki w leśnictwie pod Grodnem, w 1857 r. został mianowany chorążym w Korpusie Leśnym. Został skierowany do pracy na stanowisko zastępcy kierownika szkoły leśnej w Sokółce, zaś w 1861 r. został kierownikiem szkoły i otrzymał nominację na podporucznika. W Sokółce wraz z Konstantym Kalinowskim był organizatorem rozgałęzionej sieci organizacji rewolucyjnych. Wraz z Kalinowskim wydawał pismo „Mużyckaja Prauda” (Chłopska Prawda), jeden z pierwszych periodyków w języku białoruskim (pisany łacinką). Po wybuchu powstania styczniowego został od kwietnia 1863 r. zastępcą generała Onufrego Duchińskiego naczelnika sił zbrojnych województw augustowskiego i grodzieńskiego jako zwolennik Czerwonych. W dniu 27 kwietnia 1863 r. dokonał przeglądu pierwszego oddziału powstańczego. Polecił odczytać zebranym manifest Rządu Narodowego i powstańczy dekret uwłaszczeniowy, po polsku i po białorusku. W następnych miesiącach dowodził oddziałami w bitwach m.in. pod wsią Waliły oraz pod Wielkim Węgłem (16 czerwca 1863). W pogoni za jego oddziałem wysłano w różnych kierunkach 4 kolumny piechoty i kawalerii. Z jedną z tych kolumn pod Żarkowszczyzną stoczył potyczkę (21 lipca), a następnie schronił się ze swoim oddziałem w Puszczy Białowieskiej. W sierpniu 1863 r. awansowany do stopnia pułkownika i w miejsce zwolnionego Duchińskiego został mianowany naczelnikiem województwa grodzieńskiego. Celem usprawnienia i wzmocnienia dowodzenia siłami powstańczymi na terenach wschodnich, pod przybranym nazwiskiem, we wrześniu 1863 r. przybył do Warszawy, gdzie prowadził rozmowy z dyktatorem powstania Romualdem Trauguttem. Pod koniec 1863 r. po powrocie z Warszawy , rozszerzył działania na Podlasie i Lubelszczyznę. W połowie stycznia 1864 r. przeszedł z oddziałem rzekę Wieprz pod Kockiem. 9 stycznia 1864 r., podczas marszu został zaatakowany przez kozaków pod Budką Korybutową . W trakcie bitwy został ciężko ranny (dwukrotnie cięty w głowę i w prawe ramię), osłaniając odwrót oddziału. Nierozpoznany przez Rosjan, został przeniesiony z pola bitwy, i ukryty w stodole przez miejscowego chłopa, a następnie przewieziony do dworu w Zawieprzycach . Krewna dzierżawcy Bolesława Skłodowska (ciotka przyszłej uczonej Marii Skłodowskiej-Curie), przewiozła rannego Wróblewskiego na stronę austriacką do Galicji, w przebraniu kobiecym. Po przekroczeniu granicy austriackiej przez pewien czas przebywał w szpitalu powstańczym, założonym u hrabiów Tarnowskich w Dzikowie . Następnie z Galicji wyjechał do Francji. W tym czasie władze carskie wydały na niego wyrok śmierci i konfiskatę dóbr w Sokółce. Po przyjeździe do Francji pracował jako nauczyciel, zecer oraz zapalał latarnie gazowe na ulicach. Jednocześnie aktywnie działał w środowiskach niepodległościowych. W 1865 r. został wybrany przewodniczącym Delegacji Litewskiej (organizacji skupiającej powstańców). W połowie 1867 r. wszedł do Komitetu reprezentacyjnego Zjednoczenia Emigracji Polskiej.;;;;NOT_FOUND;
Gen. Ludwik Adam Mierosławski (ur. 17 stycznia 1814 w Nemours, zm. 22 listopada 1878 w Paryżu) – polski generał, pisarz i poeta, działacz polityczny i narodowościowy, a także historyk wojskowości, brat Adama Piotra (1815-1851) – żeglarza i kapitana marynarki handlowej, syn płk Adama Kaspra. Urodził się w polsko-francuskiej rodzinie szlacheckiej. Ojcem Ludwika był płk Adam Kasper Mierosławski (1785-1837) herbu Leszczyc – adiutant gen. Davouta (który sam został ojcem chrzestnym Ludwika), matką – Francuzka Camilla Notté de Vaupleux (wnuczka angielskiego kapitana marynarki handlowej Stubbsa). W 1820 r. przywieziono go do Polski. Pobierał nauki w wojewódzkiej szkole pijarów w Łomży , a następnie w kaliskiej szkole kadetów. Ukończył ją w roku 1830, by w wieku 15 lat zostać podchorążym 5. Pułku Piechoty Liniowej. W stopniu porucznika, brał udział w powstaniu listopadowym walcząc w korpusie generała Samuela Różyckiego, z którym przedarł się do Galicji. Po klęsce powstania od 1833 r. przebywał na emigracji we Francji, gdzie zyskał sobie sławę wybitnego teoretyka wojskowości. Był jednym z przywódców Centralizacji Towarzystwa Demokratycznego Polskiego i członkiem Młodej Polski (starał się także, z polecenia Mazziniego, zorganizować Młodą Francję). W latach 1839-1840 prowadził wykłady z historii ludów słowiańskich we Francuskim Instytucie Historycznym w Paryżu. W lutym 1863 r. przybył do Polski, by zostać dyktatorem powstania styczniowego. Po dwóch przegranych starciach pod Krzywosądzem i Nową Wsią (Kujawy) oraz konflikcie z Marianem Langiewiczem postanowił złożyć dyktaturę i zdecydował się na powrót do Paryża, skąd rozprzestrzeniał informacje o fatalnym zorganizowaniu powstania w Polsce. Wycofał się z polityki po wojnie francusko-pruskiej. Był poetą i pisarzem. W 1841 r. pod panieńskim nazwiskiem matki wydał w Paryżu autobiografię. Najbardziej znanym dziełem Mierosławskiego jest jednak praca z gatunku teorii wojskowości – „Rozbiór krytyczny kampanii 1831 roku”. Zmarł 22 listopada 1878 r. w Paryżu. Został pochowany na cmentarzu Montparnasse. Autorem pomnika na grobie Mierosławskiego był polski rzeźbiarz – Cyprian Godebski.;;;;NOT_FOUND;
Gen. Marian Langiewicz (ur. 5 sierpnia 1827 w Krotoszynie , zm. 10 maja 1887 w Konstantynopolu) – generał i dyktator powstania styczniowego. Uczył się w gimnazjum w Trzemesznie. W 1860 brał udział w wyprawie Garibaldiego na Sycylię, gdzie odznaczył się męstwem i nieustępliwością. Był wykładowcą Polskiej Szkoły Wojskowej w Cuneo, gdzie stał się zajadłym przeciwnikiem Ludwika Mierosławskiego. Był związany z politycznym ugrupowaniem Białych. Przed wybuchem powstania z ramienia Komitetu Centralnego Narodowego sprowadzał do Polski karabiny z Niemiec i Belgii. 9 stycznia 1863 mianowany pułkownikiem województwa sandomierskiego. Miał przeprowadzić koncentrację sił powstańczych w Górach Świętokrzyskich i na ich czele uderzyć na Warszawę . 22 stycznia jego zgrupowanie przypuściło trzy zwycięskie ataki na siły rosyjskie w Jedlni , Bodzentynie i w Szydłowcu (gdzie uczestniczył osobiście), rozpoczynając kampanię, zwaną przez historyków kampanią Langiewicza. W obozie w klasztorze w Wąchocku zgromadził 1400 ludzi, formując z nich oddziały jazdy, piechoty i służb. Założył tam kancelarię sztabową, ambulans, drukarnię i fabryczkę broni. Rosjanie rozpoczęli za nim pościg, uderzając w kilku miejscach jednocześnie. 11 lutego pobił Rosjan w bitwie pod Słupią, zdobywając 1000 karabinów i 8 dział. Jego siły stale rosły. W Małogoszczy Langiewicz połączył swoje siły z oddziałem idącym z Mazowsza. Miał teraz ponad 2500 żołnierzy. Tu też wydał 24 lutego 1863 r. bitwę przeważającym liczebnie Rosjanom. Dzięki sprawnemu dowodzeniu wyrwał się z okrążenia prawie bez poważniejszych strat, tracąc 300 zabitych i 2 armaty. 11 marca 1863 r. w dworku w Goszczy ogłosił się dyktatorem powstania. Tydzień później po bitwach pod Chrobrzem i Grochowiskami , przeszedł 19 marca do Galicji. Aresztowany tegoż dnia przez Austriaków, przez dwa lata był więziony w twierdzy Josephstadt, a następnie przebywał na emigracji w Anglii i Szwajcarii. Później przebywał i służył w armii tureckiej jako Langie Bey. Zmarł w Konstantynopolu 10 maja 1887 r. i został pochowany na cmentarzu Haidar Pasha wraz ze swoją żoną angielskiego pochodzenia Suzanne. 19 czerwca 1937 r. minister spraw wojskowych nadał koszarom 56 Pułku Piechoty Wielkopolskiej w Krotoszynie imię Generała Mariana Langiewicza. W Muzeum Wojska Polskiego w Warszawie znajduje się jego szabla: angielska oficerska wz. 1857.;;;Mały Rynek 1, 63-700 Krotoszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1WWRx1VGBUcR96_8GHzB-Vo;51.6958904,17.4348387
Gen. Romuald Traugutt, ps. Michał Czarnecki (ur. 16 stycznia 1826 w Szostakowie powiat brzeski, zm. 5 sierpnia 1864 w Warszawie ) – polski generał, dyktator powstania styczniowego. Urodził się 16 stycznia 1826 r. w Szostakowie. Miejscowość ta leżała wówczas w granicach Imperium Rosyjskiego, wchodząc w skład guberni grodzieńskiej. Dzisiaj znajduje się na Białorusi. Był synem Ludwika i Alojzy z Błockich. Największy wpływ na jego wychowanie wywarła jednak babka – Justyna Błocka, która od najmłodszych lat wpajała Romualdowi wartości patriotyczne. W 1836 r. rozpoczął naukę w gimnazjum w Świsłoczy, którą ukończył w 1842 r. z dobrymi wynikami (srebrny medal za naukę i świadectwo dojrzałości dające prawo do 14. stopnia służbowego). Następnie próbował dostać się na studia. Od najmłodszych lat pragnął dostać się do Instytutu Inżynierów Dróg Komunikacyjnych w Petersburgu. Jednakże instytut uległ reorganizacji i Traugutt nie został przyjęty. Nie bez znaczenia był również jego wiek. Do czasu proklamowania powstania na Litwie (marzec 1863), Traugutt nie wyrażał chęci brania udziału w życiu politycznym. W poglądach zbliżony był jednak do stronnictwa białych, choć działania przez niego podejmowane odzwierciedlały raczej program czerwonych. Gdy powstanie wybuchło, sąsiedzi z Ostrowia namawiali go do objęcia komendy nad lokalnymi oddziałami. Traugutt nie był pośród nich szczególnie popularną osobą, ale większość znała jego dawne zasługi wojenne. Przez długi czas odmawiał przystąpienia do powstania styczniowego. Wszedł do walki w kwietniu 1863 r. Objął dowództwo nad oddziałem kobryńskim, z którym m.in. urządził 17 maja udaną zasadzkę na oddział rosyjski pod Horkami. Stoczył jeszcze kilka potyczek. Ostatnia miała miejsce 13 lipca pod Kołodnem i zakończyła się porażką. W lipcu 1863 r. przebywał w majątku Elizy Orzeszkowej pod Kobryniem. Później Traugutt postanowił udać się do Warszawy. W stolicy Królestwa stawił się przed Wydziałem Wojny Rządu Narodowego, do którego dyspozycji oddał się 15 sierpnia, otrzymał awans na generała. Następnie został wysłany do Paryża, gdzie miał szukać możliwości pozyskania pomocy dla powstańców ze strony Francji. Misja nie przyniosła jednak sukcesu. Po powrocie udało mu się uzyskać poparcie stronnictwa białych, którzy wysunęli jego kandydaturę na dyktatora powstania. Po upadku Rządu Narodowego czerwonych 17 października 1863 r. Romuald Traugutt został dowódcą powstania. Jego przywództwo miało charakter tajny. Siedzibą dyktatora było mieszkanie przy ul. Smolnej 3 , a sam Traugutt przybrał pseudonim Michał Czarnecki. Przyjął również wymyśloną tożsamość konspiracyjną, podając się za kupca pochodzącego z Galicji. Romuald Traugutt podjął się próby reorganizacji sił powstańczych i przekształcenia słabo uzbrojonych i luźno zorganizowanych oddziałów partyzanckich w regularną armię. 27 grudnia 1863 r. wydał dekret powołujący delegatów terenowych w celu uwłaszczenia chłopów. Jako jeden z głównych celów wskazywał także konieczność poprawy sytuacji finansowej oddziałów powstańczych. Jego zabiegi o udzielenie pożyczki w kraju i zagranicą skończyły się jednak niepowodzeniem. Prowadził także szeroko zakrojoną politykę zagraniczną. Najpierw próbował uzyskać pomoc militarną od krajów Europy Zachodniej. Kiedy okazało się, iż nadzieje na to były zupełnie bezpodstawne, nawiązał kontakty z innymi europejskimi rewolucjonistami. Korespondował m.in. z Giuseppe Garibaldim. Pomimo swej głębokiej religijności i słania listów do papieża Piusa IX z prośbą o apostolskie błogosławieństwo, sprzeciwiał się wysyłaniu do Rzymu funduszy, które miały przyspieszyć kanonizację błogosławionego Jozafata Kuncewicza. Romuald Traugutt został aresztowany przez rosyjską policję w nocy z 10 na 11 kwietnia 1864 r. w swojej warszawskiej kwaterze (został wydany przez Artura Goldmana). Początkowo przetrzymywany był na Pawiaku , a później więziono go w X pawilonie Cytadeli Warszawskiej . Próbowano wydobyć z niego informacje dotyczące dowództwa powstania, jednak Traugutt nie wydał nikogo.;;;;NOT_FOUND;
"Aleksander Waszkowski (ur. w 1841 w Tarnogrodzie , zm. 17 lutego 1865 w Warszawie ) – ostatni naczelnik Warszawy w powstaniu styczniowym. Był członkiem Warszawskiej Organizacji Miejskiej. W lutym 1863 r. przeprowadził akcję przejęcia map sztabowych, a w czerwcu tego samego roku – Kasy Głównej Komisji Rządowej Przychodów i Skarbu Królestwa Polskiego. Mianowany ostatnim powstańczym naczelnikiem Warszawy , funkcję tę pełnił od 10 grudnia 1863 r. do 19 grudnia 1864 r., kiedy to został przypadkowo aresztowany na ulicy Elektoralnej. Miał świadomość braku możliwości odwrócenia upadku powstania, ale wydawaniem rozkazów i odezw starał się utrzymać wrażenie, że organizacja miejska jeszcze funkcjonuje. Nie miał stałego miejsca zamieszkania; nocował w zabudowaniach młyna na Solcu , dnie zaś spędzał na czytaniu gazet w kawiarniach. Świadomie nie decydował się na wyjazd poza miasto Więziony był w X pawilonie Cytadeli Warszawskiej . Został stracony na jej stokach 17 lutego 1865 r. wraz z Emanuelem Szafarczykiem. Była to ostatnia w Warszawie publiczna egzekucja uczestników powstania.";;;;NOT_FOUND;
Matwiej Bezkiszkin – były kapitan rosyjskiej straży granicznej. W wojsku powstańczym uczył musztry i sztuki wojennej. Dowódca oddziału powstańczego. Walczył na terenie powiatu opoczyńskiego. 27 kwietnia 1864 r. wpadł w ręce Rosjan. W czasie przesłuchania uderzył w twarz oficera śledczego. Skazany na śmierć został powieszony 17 maja 1864 r. w Radomiu .;;;;NOT_FOUND;
