nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
BARCZEWO, pow. olsztyński, woj. warmińsko-mazurskie, członek sieci od 2013 r.;;;11-010 Barczewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJvas882Rw4kYRamP2wlIsm-o;53.82999,20.6905801
BARTOSZYCE, miasto powiatowe w woj. warmińsko-mazurskim, członek sieci od 2015;;;;NOT_FOUND;
BIAŁA PISKA, pow. piski, woj. warmińsko-mazurskie, członek sieci od 2023 r.;;;Biała Piska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJYUdO6bXc4UYR10sMA4bXPC8;53.6115,22.06311
BISKUPIEC, pow. olsztyński, woj. warmińsko-mazurskie, członek sieci od 2007 r.;;;;NOT_FOUND;
BISZTYNEK, pow. bartoszycki, woj. warmińsko-mazurskie, członek sieci od 2007 r.;;;11-230 Bisztynek, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGzbpX0FD4kYREdo5umxn1IQ;54.0858374,20.9038564
BRANIEWO, miasto powiatowe w woj. warmińsko-mazurskim, członek sieci od 2019 r.;;;;NOT_FOUND;
DOBRE MIASTO, pow. olsztyński, woj. warmińsko-mazurskie, członek sieci od 2013 r.;;;Dobre Miasto, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ330SMT6J4kYRjicn332FOe0;53.9867,20.39746
DZIAŁDOWO, miasto powiatowe w woj. warmińsko-mazurskim, członek sieci od 2015 r.;;;Działdowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJgWd0Sl6lHUcROqYHA5Ib0ms;53.2356765,20.1799787
GŁUBCZYCE, miasto powiatowe w woj. opolskim, członek sieci od 2016 r.;;;;NOT_FOUND;
GOLUB-DOBRZYŃ, miasto powiatowe w woj. kujawsko-pomorskim, członek sieci od 2023 r. (możliwość zaliczania miasta tylko do końca 2025 r.);;;;NOT_FOUND;
GOŁDAP, miasto powiatowe w woj. warmińsko-mazurskim, członek sieci od 2013 r.;;;;NOT_FOUND;
GÓROWO IŁAWECKIE, pow. bartoszycki, woj. warmińsko-mazurskie, członek sieci od 2014 r.;;;Górowo Iławeckie, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6XmuiZX64kYRnVd1UvgCDhQ;54.28534,20.49296
JEZIORANY, pow. olsztyński, woj. warmińsko-mazurskie, członek sieci od 2016 r.;;;;NOT_FOUND;
KALETY, pow. tarnogórski, woj. śląskie, członek sieci od 2014 r.;;;;NOT_FOUND;
KĘTRZYN - miasto powiatowe w woj. warmińsko-mazurskim, członek sieci od 2025 r. (możliwość zaliczania miasta od 15 listopada 2025 r.);;;;NOT_FOUND;
KISIELICE, pow. iławski, woj. warmińsko-mazurskie, członek sieci od 2022 r.;;;Kisielice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJB_3PY65JHUcR1RqLqpz_4qQ;53.6085352,19.2636541
LIDZBARK, pow. działdowski, woj. warmińsko-mazurskie, członek sieci od 2015 r.;;;;NOT_FOUND;
