nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Drewniany pałac myśliwski;;;Pałacowa 1, 63-421 Antonin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJW8Iklu-aI0cR2Bae3QnzJrw;51.5166505,17.8505315
Park Jurajski;;;Puszczyka 18, 02-785 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJQ8BRJZMyGUcRNNSnLQ726pI;52.160919,21.0238235
Miejsce wielkiej wiktorii;;;;NOT_FOUND;
Skansen filmowych dekoracji;;;Aleksandra Rybickiego 3, 38-500 Sanok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyTY2nYVtPEcRU6B3mYnO-Cs;49.5742967,22.2080073
Rezerwat „Skamieniałe Miasto”;;;Krynicka, 33-190 Ciężkowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtbrTHUCVPUcRP5VqK_5zJAc;49.7770525,20.9644766
Tajemnicza rezydencja;;;;NOT_FOUND;
Wierna rzeka;;;Wierna Rzeka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf6DiEXB_F0cRt1TRWhaWFr8;50.863345,20.30621
Podziemne miasto;;;Świerkowa 29d, 58-340 Sierpnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh83IIlBFDkcRyp2oqrE6HlI;50.669639,16.418246
Baśniowy zamek;;;Osiedle Bolesława Chrobrego 106, 60-681 Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJaybZsEBDBEcRU3JFdMC307A;52.45419589999999,16.912772
Kształtny pałac;;;Pałac Ballestremów, Gliwicka 46, 44-171 Pławniowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJx3Ii2dsiEUcRbcOW88Vzjg8;50.3847432,18.4773771
Zagroda;;;Aleja Niepodległości 625, 81-855 Sopot, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ52Inj8cK_UYRuZsSVs3pkNk;54.4240361,18.5646941
Kryształowe jezioro;;;7VGF+X6, Osieczki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJI91qWADhAUcRp82j8ZnBRhE;54.2773917,16.87311
Park miniatur;;;Krajno-Zagórze 43c, 26-008 Krajno-Zagórze, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVVVVVaUhGEcRiRElYlXGbAg;50.8964425,20.8564744
Jaskinia Niedźwiedzia;;;Stronie Lasy 18, 57-550, Polska;https://www.google.com/maps/place/?q=place_id:ChIJVVMqKm7nO0cRWCPg5NtmM_Y;50.234414,16.842811
Kraina zegarów;;;Galeria Panorama, Aleja Wincentego Witosa 31/lokal 108, 00-710 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJs7b5HjjNHkcRxM1T_mTf4eE;52.1971898,21.0482392
Kurpiowska stolica;;;07-430 Wykrot, Polska;https://www.google.com/maps/place/?q=place_id:ChIJJc0pNOwPHkcR5r1x-a71dmM;53.3570683,21.4249008
Kanał Augustowski;;;Kanał Augustowski;https://www.google.com/maps/place/?q=place_id:ChIJecYmoRFZ4EYR3Y-scrChEEw;53.8918899,23.3386028
Kanał Ostródzko-Elbląski;;;Kanał Elbląski (Warmiński), Polska;https://www.google.com/maps/place/?q=place_id:ChIJf7d49auv4kYR0-ER69Jpdus;54.0270075,19.5942878
Muzeum Indian;;;Spytkowo 48, 11-500 Giżycko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJceSLSRqH4UYRwPbvgBfXML4;54.0854749,21.8246427
Zamek;;;Piastów Śląskich 1, 58-306 Wałbrzych, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_8-gefFUDkcROJcI7PFONBc;50.8423154,16.2915673
Piramida „Arianka”;;;22-302 Krynica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJAR70r-yfI0cR9YcaeZk4nJY;51.0635427,23.2459739
Park pełen niespodzianek;;;Zdrojowa 16, 43-450 Ustroń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJmb91UwgcFEcRW2ETb3MxB0U;49.7197228,18.8297922
Rzeka elektryczna;;;86-150 Stara Rzeka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJN1FGpdztAkcRlPaU85Mo2Rg;53.6457894,18.3047608
Twierdza;;;Grodzisko 1, 57-300 Kłodzko, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEShMrQAXDkcRm4CoG54TAvg;50.4410854,16.6534216
Tajemniczy rezerwat;;;Meteorytowa 1, Poznań, Polska;https://www.google.com/maps/place/?q=place_id:ChIJffzpBPhCBEcRTpIULusO5jg;52.4900898,16.896038
Miasteczko na rubieżach;;;;NOT_FOUND;
Międzyrzecki Rejon Umocniony;;;Pniewo 1, 66-300 Międzyrzecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGdkYCyKSG0cRPutoaDY-u9Y;52.371933,15.5058239
Krzywy las;;;Przemysłowa 25, 74-105 Nowe Czarnowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJGcj3uzoAqkcRBjN7TOq-Ii8;53.2141141,14.4758344
Wiklinowe królestwo;;;Wygoda 58, 37-420 Kopki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJu6lQYeLQPEcRx-UuCSi4bvM;50.4055514,22.2892503
Kamienne kręgi;;;Odry, Polska;https://www.google.com/maps/place/?q=place_id:ChIJo74KOWlkAkcRa5gP4p4fZAs;53.8983077,17.9935455
Muzeum motoryzacji;;;Templariuszy 1, 55-040 Ślęza, Polska;https://www.google.com/maps/place/?q=place_id:ChIJV5F80-jFD0cRhhZ2PsKTbZU;51.0341017,16.9913073
Bocianie królestwo;;;Żywkowo 7, 11-220 Żywkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWRFfMl_84kYRqbwmma7pCUM;54.3706095,20.5930822
Enklawa spokoju;;;Poręba 68A, 57-520, Polska;https://www.google.com/maps/place/?q=place_id:ChIJkdQ9sWgJDkcRJ_Jfl7Owslk;50.2242476,16.5705072
Rezerwat geologiczny;;;47-154 Góra Świętej Anny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY6dhARAFEUcR8FX33Po8H5c;50.4527019,18.1674707
Skansen;;;Aleksandra Rybickiego 3, 38-500 Sanok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyTY2nYVtPEcRU6B3mYnO-Cs;49.5742967,22.2080073
Podwodna elektrownia wodna;;;Pilchowice 67a, 59-616 Pilchowice, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWzbhPabYDkcRP2FUCzCy22M;50.9638733,15.6445313
Kaktusiarnia;;;Partyzantów 2, 84-230 Rumia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJt94JzRCl_UYR78WGz1nFLVU;54.5860137,18.4016554
Skamieniałe drzewa;;;Siedliska 65, 22-680 Siedliska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJt_WldktLO0cRom0mWdCi2vE;50.2656357,23.5552567
Pałac;;;Jana Kilińskiego 1, 15-089 Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJY_kR2QL8H0cRB_vcKieuy5I;53.13060489999999,23.1651389
Górska twierdza;;;Kręta 4, 57-215 Srebrna Góra, Polska;https://www.google.com/maps/place/?q=place_id:ChIJUdvsQ0w5DkcRYvLTLex2Hck;50.5740737,16.6427538
Wiadukty;;;Generała Franciszka Kleeberga 44, 41-218 Sosnowiec, Polska;https://www.google.com/maps/place/?q=place_id:ChIJub7rwo_bFkcRF9h_02aDG_Q;50.265522,19.198362
Muzeum rolnictwa;;;Dworcowa 5, 62-052 Szreniawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJA3a2i6JPBEcRuC7EVExGDog;52.3165035,16.7977973
ZOO Safari;;;Borysew 25, 99-200 Praga, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc5a8YoeqG0cRruCheJDKBA8;51.8819813,18.9366119
Muzeum komunizmu;;;Piękna 28/34, 00-547 Warszawa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJT2JZBrXNHkcRddoMSrO3sHs;52.2234186,21.0164752
Wał Pomorski;;;Kęszyca Leśna 3, 66-305 Kęszyca Leśna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJm8urWa33BkcRhF_4LmyXdc4;52.40853809999999,15.4772908
Dzika rzeka;;;Dzik, Polska;https://www.google.com/maps/place/?q=place_id:ChIJEXB5b2w_DkcRfIAFO7b6Nvc;50.543754,16.5392439
Muzeum Kolei Wąskotorowej;;;Licealna 18, 96-500 Sochaczew, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhdeOdZb9G0cRKRUz0V3lZ-g;52.219478,20.2386299
Skansen;;;Aleksandra Rybickiego 3, 38-500 Sanok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJyTY2nYVtPEcRU6B3mYnO-Cs;49.5742967,22.2080073
