nazwa_obiektu;region;kategoria_obiektu;adres;maps_url;lokalizacja
Białowieża;;;Białowieża, Polska;https://www.google.com/maps/place/?q=place_id:ChIJL6Nw_mFdIEcR8qiYx9S0gX4;52.7007132,23.8676724
Babia Góra;;;Babia Góra;https://www.google.com/maps/place/?q=place_id:ChIJ15b-TmrRFUcR4VG5Zr3TqpU;49.5731628,19.5307964
Białystok;;;Białystok, Polska;https://www.google.com/maps/place/?q=place_id:ChIJHZdBjwT8H0cRLHvwi8x9MXI;53.13248859999999,23.1688403
Bodzanów;;;09-470 Bodzanów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJg4Jmz0sMHEcRiBwYuT9SY3I;52.49984569999999,20.0301549
Bohoniki;;;Bohoniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJg_Sz_CHi30YRhUdvq27YK2U;53.3915271,23.5925168
Borkowo;;;Borkowo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ07qLLE9x_UYRUUVjXysFWlU;54.2960392,18.5937685
Chełm;;;Chełm, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ36UeUliaI0cR9vky0FB9vlI;51.1431232,23.4711986
Chełmska Góra;;;Góra Chełmska, Koszalin, Polska;https://www.google.com/maps/place/?q=place_id:ChIJzedMEJrNAUcR3juk5C3-GEc;54.2,16.233333
Chęciny;;;Chęciny, Polska;https://www.google.com/maps/place/?q=place_id:ChIJSSIAT4OGF0cRgrAGynPVtCc;50.8050467,20.4762284
Cieszyn;;;Cieszyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtd7hQfIDFEcR8gl_Serl1c4;49.7497638,18.6354709
Chełmno;;;Chełmno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ75bbtGLfAkcRS03MZULwB_A;53.34842,18.4249899
Chlewiska;;;26-510 Chlewiska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJe_pWX2hJGEcRjaUCZ9qhooM;51.2459295,20.763088
Choroszcz;;;Choroszcz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc5rgnZXkH0cRbH42xnrAHsA;53.14292,22.98815
Chwarszczany;;;Chwarszczany, Polska;https://www.google.com/maps/place/?q=place_id:ChIJh54SNMVtB0cRxNHw5w0ScIA;52.6870657,14.6379337
Czerwińsk;;;Czerwińsk nad Wisłą, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ73HrL0MBHEcRC3RcogRtds0;52.39787949999999,20.3094785
Częstochowa;;;Częstochowa, Polska;https://www.google.com/maps/place/?q=place_id:ChIJr6gsTsW1EEcRNoIXGk0NT4U;50.8118195,19.1203094
Dobre Źródło;;;Świętej Anny 1, 58-564 Sosnówka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRc_6EajnDkcRAXRH1xkYzGo;50.8013716,15.7297911
Drohiczyn;;;Drohiczyn, Polska;https://www.google.com/maps/place/?q=place_id:ChIJlwh6uK9iH0cRPR9psznvsK8;52.4003253,22.6585778
Elbląg;;;Elbląg, Polska;https://www.google.com/maps/place/?q=place_id:ChIJhQ7fpZ9L_UYRqcOVuAk7f1o;54.1560613,19.4044897
Frombork;;;Frombork, Polska;https://www.google.com/maps/place/?q=place_id:ChIJn1WGo_zM4kYRfabkF0P5OLI;54.35770489999999,19.682088
Gajowniki;;;16-070 Gajowniki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJt4X89zrlH0cRL-rqZqw2WEQ;53.099978,22.9722813
Gdańsk;;;Gdańsk, Polska;https://www.google.com/maps/place/?q=place_id:ChIJb_rUFBxz_UYRjb63Y_H7uZs;54.35202520000001,18.6466384
Gdynia;;;Gdynia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJidceB0Wh_UYRNmYjiZn54t4;54.518352,18.5291931
Gidle;;;97-540 Gidle, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf-3QqVhRF0cRJgW5mEC3bNI;50.96192610000001,19.4712316
Giecz;;;63-012 Giecz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJRzw8QyvwBEcRGbahSq-RkFY;52.31987729999999,17.3709816
Gietrzwałd;;;11-036 Gietrzwałd, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ6-zBYDV-HUcRz62oJkB-NqY;53.7453358,20.2386597
Gniezno;;;Gniezno, Polska;https://www.google.com/maps/place/?q=place_id:ChIJc3vYEhWRBEcRcoFilLw4gfY;52.5349253,17.5826575
Gorzów Wielkopolski;;;Gorzów Wielkopolski, Polska;https://www.google.com/maps/place/?q=place_id:ChIJtxhBWgofB0cR3ZlXy_MN0V0;52.7325285,15.2369305
Gostyń;;;63-800 Gostyń, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ_RLoryQMBUcRzgXuB3njCf0;51.8786,17.01215
Gabowe Grądy;;;Gabowe Grądy, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ8a5in4JP4EYRJO3d2gxKjrg;53.7575829,22.9642388
Góra Strzelce;;;;NOT_FOUND;
Góra Radunia;;;Radunia, Polska;https://www.google.com/maps/place/?q=place_id:ChIJZUUU17zKD0cRVJq9kjJVtnw;50.82989629999999,16.707473
Grabarka;;;17-330 Grabarka, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnYB8YRrOIUcR78Moprw63Ho;52.4170562,22.9954909
Gredele;;;17-106 Gredele, Polska;https://www.google.com/maps/place/?q=place_id:ChIJTWsLN8E6IEcR2kyFHrm3BeY;52.6777727,23.238543
Grzybnica;;;Grzybnica, Polska;https://www.google.com/maps/place/?q=place_id:ChIJf4VYjyXHAUcRE_cnIQiO_Ls;54.04438200000001,16.4447938
Haćki;;;17-100 Haćki, Polska;https://www.google.com/maps/place/?q=place_id:ChIJk9j4GPkhIEcR4U4D3tM5_LM;52.8342037,23.1961049
Henryków;;;Henryków, Polska;https://www.google.com/maps/place/?q=place_id:ChIJi92b6_8oDkcRe7UZHixPVTY;50.6554854,17.0117993
Hodyszewo;;;18-212 Hodyszewo, Polska;https://www.google.com/maps/place/?q=place_id:ChIJnTAsqQiOH0cR_mmCw1Q2-2c;52.8312958,22.7772363
Inowrocław;;;Inowrocław, Polska;https://www.google.com/maps/place/?q=place_id:ChIJWcpK15JQA0cRftP92xBElJw;52.7993317,18.2562032
Jabłeczna;;;21-526 Jabłeczna, Polska;https://www.google.com/maps/place/?q=place_id:ChIJdbxAmNNkIUcR2qFXimIuLF8;51.8065758,23.599393
Jędrzejów;;;28-300 Jędrzejów, Polska;https://www.google.com/maps/place/?q=place_id:ChIJsbcrwEqZF0cRdNKt5qef5Y0;50.63936349999999,20.3038072
Kalisz;;;62-800 Kalisz, Polska;https://www.google.com/maps/place/?q=place_id:ChIJp-aTM5HFGkcR06o4rkCPn3E;51.76727990000001,18.0853462
Kalwaria Pacławska;;;Kalwaria Pacławska, Polska;https://www.google.com/maps/place/?q=place_id:ChIJ1wxQlDWEO0cRdQn5at3Oho0;49.6345697,22.706023
